 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Garchomp           | 26.52480% | 7265   | 22.935% | 
 | 2    | Dragonite          |  9.26397% | 3113   |  9.827% | 
 | 3    | Kyurem-Black       |  7.68814% | 2054   |  6.484% | 
 | 4    | Hydreigon          |  6.65328% | 2097   |  6.620% | 
 | 5    | Goodra             |  6.01845% | 1930   |  6.093% | 
 | 6    | Dragalge           |  5.44780% | 1985   |  6.266% | 
 | 7    | Garchomp-Mega      |  4.34462% | 1361   |  4.296% | 
 | 8    | Latios             |  4.18064% | 1078   |  3.403% | 
 | 9    | Salamence          |  4.12569% | 1476   |  4.660% | 
 | 10   | Druddigon          |  4.03681% | 1319   |  4.164% | 
 | 11   | Tyrantrum          |  3.75556% | 1546   |  4.881% | 
 | 12   | Kingdra            |  3.57115% | 1368   |  4.319% | 
 | 13   | Haxorus            |  3.53560% | 1259   |  3.974% | 
 | 14   | Noivern            |  3.21780% | 1137   |  3.589% | 
 | 15   | Latias-Mega        |  1.75833% | 512    |  1.616% | 
 | 16   | Latias             |  1.19286% | 389    |  1.228% | 
 | 17   | Latios-Mega        |  1.14970% | 398    |  1.256% | 
 | 18   | Flygon             |  1.14407% | 463    |  1.462% | 
 | 19   | Zygarde            |  1.10845% | 371    |  1.171% | 
 | 20   | Altaria            |  0.47716% | 246    |  0.777% | 
 | 21   | Kyurem             |  0.33189% | 106    |  0.335% | 
 | 22   | Dragonair          |  0.19925% | 72     |  0.227% | 
 | 23   | Shelgon            |  0.09508% | 39     |  0.123% | 
 | 24   | Gabite             |  0.05379% | 32     |  0.101% | 
 | 25   | Sliggoo            |  0.02686% | 10     |  0.032% | 
 | 26   | Fraxure            |  0.02172% | 9      |  0.028% | 
 | 27   | Vibrava            |  0.01857% | 14     |  0.044% | 
 | 28   | Axew               |  0.01339% | 5      |  0.016% | 
 | 29   | Zweilous           |  0.01064% | 3      |  0.009% | 
 | 30   | Tyrunt             |  0.00897% | 5      |  0.016% | 
 | 31   | Dratini            |  0.00649% | 4      |  0.013% | 
 | 32   | Gible              |  0.00637% | 3      |  0.009% | 
 | 33   | Bagon              |  0.00576% | 4      |  0.013% | 
 | 34   | Goomy              |  0.00424% | 3      |  0.009% | 
 | 35   | Deino              |  0.00212% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
