 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Rotom-Wash         | 27.18186% | 2259   |  9.117% | 
 | 2    | Magnezone          | 13.08764% | 1355   |  5.469% | 
 | 3    | Manectric-Mega     | 11.35314% | 2433   |  9.820% | 
 | 4    | Thundurus          | 10.19517% | 1519   |  6.131% | 
 | 5    | Raikou             | 10.03650% | 611    |  2.466% | 
 | 6    | Ampharos-Mega      |  8.11485% | 659    |  2.660% | 
 | 7    | Zapdos             |  5.50734% | 1255   |  5.065% | 
 | 8    | Stunfisk           |  4.27708% | 813    |  3.281% | 
 | 9    | Eelektross         |  3.06844% | 1238   |  4.997% | 
 | 10   | Galvantula         |  2.65122% | 4830   | 19.494% | 
 | 11   | Rotom-Mow          |  0.67434% | 242    |  0.977% | 
 | 12   | Pikachu            |  0.64378% | 497    |  2.006% | 
 | 13   | Jolteon            |  0.56168% | 707    |  2.853% | 
 | 14   | Electivire         |  0.55455% | 1264   |  5.102% | 
 | 15   | Luxray             |  0.40732% | 498    |  2.010% | 
 | 16   | Raichu             |  0.32500% | 416    |  1.679% | 
 | 17   | Rotom              |  0.31550% | 217    |  0.876% | 
 | 18   | Thundurus-Therian  |  0.26371% | 313    |  1.263% | 
 | 19   | Zebstrika          |  0.17427% | 139    |  0.561% | 
 | 20   | Heliolisk          |  0.16173% | 621    |  2.506% | 
 | 21   | Rotom-Heat         |  0.10840% | 350    |  1.413% | 
 | 22   | Electrode          |  0.10125% | 555    |  2.240% | 
 | 23   | Rotom-Frost        |  0.08421% | 174    |  0.702% | 
 | 24   | Eelektrik          |  0.05143% | 31     |  0.125% | 
 | 25   | Lanturn            |  0.05140% | 522    |  2.107% | 
 | 26   | Plusle             |  0.01647% | 40     |  0.161% | 
 | 27   | Dedenne            |  0.01179% | 270    |  1.090% | 
 | 28   | Magneton           |  0.00897% | 134    |  0.541% | 
 | 29   | Emolga             |  0.00737% | 335    |  1.352% | 
 | 30   | Pachirisu          |  0.00180% | 100    |  0.404% | 
 | 31   | Minun              |  0.00111% | 39     |  0.157% | 
 | 32   | Ampharos           |  0.00028% | 86     |  0.347% | 
 | 33   | Manectric          |  0.00019% | 80     |  0.323% | 
 | 34   | Magnemite          |  0.00011% | 19     |  0.077% | 
 | 35   | Rotom-Fan          |  0.00009% | 90     |  0.363% | 
 | 36   | Electrike          |  0.00000% | 1      |  0.004% | 
 | 37   | Electabuzz         |  0.00000% | 35     |  0.141% | 
 | 38   | Pichu              |  0.00000% | 14     |  0.057% | 
 | 39   | Mareep             |  0.00000% | 3      |  0.012% | 
 | 40   | Blitzle            |  0.00000% | 3      |  0.012% | 
 | 41   | Voltorb            |  0.00000% | 4      |  0.016% | 
 | 42   | Elekid             |  0.00000% | 3      |  0.012% | 
 | 43   | Chinchou           |  0.00000% | 1      |  0.004% | 
 | 44   | Helioptile         |  0.00000% | 1      |  0.004% | 
 | 45   | Luxio              |  0.00000% | 1      |  0.004% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
