 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Klefki             | 29.18194% | 7880   | 28.435% | 
 | 2    | Diancie-Mega       | 19.63595% | 4558   | 16.448% | 
 | 3    | Togekiss           |  8.65899% | 2273   |  8.202% | 
 | 4    | Clefable           |  8.17443% | 2185   |  7.885% | 
 | 5    | Whimsicott         |  6.76693% | 2007   |  7.242% | 
 | 6    | Azumarill          |  6.66707% | 2011   |  7.257% | 
 | 7    | Diancie            |  3.13789% | 828    |  2.988% | 
 | 8    | Sylveon            |  2.95720% | 875    |  3.157% | 
 | 9    | Gardevoir-Mega     |  2.39857% | 842    |  3.038% | 
 | 10   | Slurpuff           |  2.12904% | 740    |  2.670% | 
 | 11   | Gardevoir          |  2.07475% | 517    |  1.866% | 
 | 12   | Granbull           |  1.70604% | 533    |  1.923% | 
 | 13   | Carbink            |  1.21514% | 403    |  1.454% | 
 | 14   | Mawile             |  1.07515% | 369    |  1.332% | 
 | 15   | Dedenne            |  0.98893% | 420    |  1.516% | 
 | 16   | Florges            |  0.90225% | 324    |  1.169% | 
 | 17   | Wigglytuff         |  0.66565% | 257    |  0.927% | 
 | 18   | Mr. Mime           |  0.64470% | 304    |  1.097% | 
 | 19   | Aromatisse         |  0.49695% | 182    |  0.657% | 
 | 20   | Togetic            |  0.18040% | 82     |  0.296% | 
 | 21   | Clefairy           |  0.08793% | 30     |  0.108% | 
 | 22   | Cottonee           |  0.07428% | 22     |  0.079% | 
 | 23   | Jigglypuff         |  0.07100% | 21     |  0.076% | 
 | 24   | Cleffa             |  0.03516% | 10     |  0.036% | 
 | 25   | Snubbull           |  0.01976% | 14     |  0.051% | 
 | 26   | Mime Jr.           |  0.01883% | 7      |  0.025% | 
 | 27   | Spritzee           |  0.01218% | 5      |  0.018% | 
 | 28   | Togepi             |  0.00531% | 3      |  0.011% | 
 | 29   | Floette            |  0.00521% | 3      |  0.011% | 
 | 30   | Kirlia             |  0.00490% | 2      |  0.007% | 
 | 31   | Ralts              |  0.00245% | 1      |  0.004% | 
 | 32   | Azurill            |  0.00245% | 1      |  0.004% | 
 | 33   | Flabebe            |  0.00245% | 1      |  0.004% | 
 | 34   | Marill             |  0.00012% | 2      |  0.007% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
