 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Infernape          | 40.37469% | 9271   | 20.171% | 
 | 2    | Cobalion           | 18.39753% | 4562   |  9.926% | 
 | 3    | Breloom            | 10.70166% | 4135   |  8.997% | 
 | 4    | Keldeo             |  7.62997% | 2502   |  5.444% | 
 | 5    | Medicham-Mega      |  6.45341% | 2831   |  6.159% | 
 | 6    | Terrakion          |  4.18715% | 2110   |  4.591% | 
 | 7    | Hawlucha           |  1.83326% | 2634   |  5.731% | 
 | 8    | Heracross-Mega     |  1.72025% | 894    |  1.945% | 
 | 9    | Heracross          |  1.35460% | 657    |  1.429% | 
 | 10   | Machamp            |  1.14260% | 1989   |  4.327% | 
 | 11   | Combusken          |  1.10810% | 327    |  0.711% | 
 | 12   | Gallade-Mega       |  0.98106% | 1315   |  2.861% | 
 | 13   | Conkeldurr         |  0.87493% | 1611   |  3.505% | 
 | 14   | Toxicroak          |  0.50909% | 905    |  1.969% | 
 | 15   | Scrafty            |  0.48011% | 1623   |  3.531% | 
 | 16   | Hitmonlee          |  0.47342% | 1255   |  2.731% | 
 | 17   | Mienshao           |  0.35224% | 926    |  2.015% | 
 | 18   | Pangoro            |  0.27801% | 562    |  1.223% | 
 | 19   | Lucario            |  0.26702% | 1589   |  3.457% | 
 | 20   | Hariyama           |  0.21758% | 386    |  0.840% | 
 | 21   | Chesnaught         |  0.11564% | 692    |  1.506% | 
 | 22   | Emboar             |  0.11039% | 255    |  0.555% | 
 | 23   | Medicham           |  0.09848% | 308    |  0.670% | 
 | 24   | Gallade            |  0.09550% | 221    |  0.481% | 
 | 25   | Sawk               |  0.05767% | 226    |  0.492% | 
 | 26   | Hitmontop          |  0.05419% | 483    |  1.051% | 
 | 27   | Hitmonchan         |  0.04410% | 566    |  1.231% | 
 | 28   | Poliwrath          |  0.02103% | 459    |  0.999% | 
 | 29   | Primeape           |  0.01736% | 287    |  0.624% | 
 | 30   | Gurdurr            |  0.01682% | 15     |  0.033% | 
 | 31   | Virizion           |  0.01236% | 105    |  0.228% | 
 | 32   | Riolu              |  0.00906% | 59     |  0.128% | 
 | 33   | Throh              |  0.00725% | 100    |  0.218% | 
 | 34   | Pignite            |  0.00214% | 8      |  0.017% | 
 | 35   | Machoke            |  0.00120% | 36     |  0.078% | 
 | 36   | Scraggy            |  0.00009% | 13     |  0.028% | 
 | 37   | Monferno           |  0.00006% | 7      |  0.015% | 
 | 38   | Pancham            |  0.00000% | 4      |  0.009% | 
 | 39   | Tyrogue            |  0.00000% | 6      |  0.013% | 
 | 40   | Meditite           |  0.00000% | 19     |  0.041% | 
 | 41   | Mienfoo            |  0.00000% | 2      |  0.004% | 
 | 42   | Timburr            |  0.00000% | 3      |  0.007% | 
 | 43   | Mankey             |  0.00000% | 3      |  0.007% | 
 | 44   | Makuhita           |  0.00000% | 1      |  0.002% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
