 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Charizard-Mega-Y   | 14.57533% | 4577   | 13.714% | 
 | 2    | Infernape          | 14.19087% | 4232   | 12.680% | 
 | 3    | Torkoal            | 13.14893% | 3915   | 11.730% | 
 | 4    | Heatran            |  8.55631% | 2934   |  8.791% | 
 | 5    | Ninetales          |  8.52840% | 3016   |  9.037% | 
 | 6    | Rotom-Heat         |  6.46637% | 2022   |  6.058% | 
 | 7    | Victini            |  6.34313% | 1703   |  5.103% | 
 | 8    | Volcanion          |  4.97514% | 1581   |  4.737% | 
 | 9    | Volcarona          |  4.52835% | 1742   |  5.219% | 
 | 10   | Darmanitan         |  4.03308% | 1249   |  3.742% | 
 | 11   | Arcanine           |  2.74649% | 1117   |  3.347% | 
 | 12   | Chandelure         |  2.30032% | 995    |  2.981% | 
 | 13   | Entei              |  1.53104% | 446    |  1.336% | 
 | 14   | Delphox            |  0.84165% | 402    |  1.204% | 
 | 15   | Magmortar          |  0.71607% | 348    |  1.043% | 
 | 16   | Typhlosion         |  0.66997% | 318    |  0.953% | 
 | 17   | Emboar             |  0.59419% | 255    |  0.764% | 
 | 18   | Camerupt-Mega      |  0.56244% | 241    |  0.722% | 
 | 19   | Houndoom-Mega      |  0.54704% | 242    |  0.725% | 
 | 20   | Magcargo           |  0.54265% | 285    |  0.854% | 
 | 21   | Moltres            |  0.54028% | 220    |  0.659% | 
 | 22   | Camerupt           |  0.48579% | 246    |  0.737% | 
 | 23   | Flareon            |  0.46896% | 206    |  0.617% | 
 | 24   | Pyroar             |  0.39404% | 190    |  0.569% | 
 | 25   | Charizard          |  0.35874% | 197    |  0.590% | 
 | 26   | Houndoom           |  0.29486% | 140    |  0.419% | 
 | 27   | Fletchinder        |  0.24057% | 81     |  0.243% | 
 | 28   | Combusken          |  0.21467% | 104    |  0.312% | 
 | 29   | Rapidash           |  0.18867% | 96     |  0.288% | 
 | 30   | Braixen            |  0.12143% | 63     |  0.189% | 
 | 31   | Magmar             |  0.07015% | 39     |  0.117% | 
 | 32   | Simisear           |  0.04538% | 30     |  0.090% | 
 | 33   | Charmeleon         |  0.03869% | 14     |  0.042% | 
 | 34   | Numel              |  0.03628% | 54     |  0.162% | 
 | 35   | Heatmor            |  0.03336% | 28     |  0.084% | 
 | 36   | Charmander         |  0.01445% | 11     |  0.033% | 
 | 37   | Pignite            |  0.00862% | 5      |  0.015% | 
 | 38   | Monferno           |  0.00785% | 3      |  0.009% | 
 | 39   | Vulpix             |  0.00724% | 9      |  0.027% | 
 | 40   | Torchic            |  0.00718% | 3      |  0.009% | 
 | 41   | Litleo             |  0.00627% | 3      |  0.009% | 
 | 42   | Chimchar           |  0.00584% | 3      |  0.009% | 
 | 43   | Lampent            |  0.00572% | 2      |  0.006% | 
 | 44   | Cyndaquil          |  0.00373% | 4      |  0.012% | 
 | 45   | Quilava            |  0.00213% | 1      |  0.003% | 
 | 46   | Tepig              |  0.00116% | 1      |  0.003% | 
 | 47   | Larvesta           |  0.00013% | 1      |  0.003% | 
 | 48   | Litwick            |  0.00004% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
