 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 15.20982% | 3248   |  7.942% | 
 | 2    | Zapdos             | 12.94260% | 1895   |  4.633% | 
 | 3    | Skarmory           | 11.02228% | 7649   | 18.703% | 
 | 4    | Thundurus          |  9.53667% | 1823   |  4.457% | 
 | 5    | Charizard-Mega-Y   |  9.27807% | 2302   |  5.629% | 
 | 6    | Aerodactyl         |  8.29783% | 936    |  2.289% | 
 | 7    | Togekiss           |  7.87755% | 2212   |  5.409% | 
 | 8    | Landorus           |  3.64422% | 787    |  1.924% | 
 | 9    | Tornadus-Therian   |  3.52331% | 884    |  2.161% | 
 | 10   | Thundurus-Therian  |  3.12901% | 1061   |  2.594% | 
 | 11   | Gyarados-Mega      |  2.71680% | 658    |  1.609% | 
 | 12   | Dragonite          |  2.57468% | 1411   |  3.450% | 
 | 13   | Gliscor            |  2.34313% | 2741   |  6.702% | 
 | 14   | Yanmega            |  1.00893% | 248    |  0.606% | 
 | 15   | Aerodactyl-Mega    |  0.89751% | 518    |  1.267% | 
 | 16   | Archeops           |  0.78159% | 297    |  0.726% | 
 | 17   | Pidgeot-Mega       |  0.72842% | 1235   |  3.020% | 
 | 18   | Gyarados           |  0.70384% | 944    |  2.308% | 
 | 19   | Xatu               |  0.59804% | 400    |  0.978% | 
 | 20   | Staraptor          |  0.51443% | 928    |  2.269% | 
 | 21   | Hawlucha           |  0.51063% | 1429   |  3.494% | 
 | 22   | Articuno           |  0.36115% | 268    |  0.655% | 
 | 23   | Honchkrow          |  0.26641% | 331    |  0.809% | 
 | 24   | Mandibuzz          |  0.21996% | 268    |  0.655% | 
 | 25   | Salamence          |  0.21866% | 349    |  0.853% | 
 | 26   | Masquerain         |  0.14893% | 153    |  0.374% | 
 | 27   | Mantyke            |  0.12468% | 10     |  0.024% | 
 | 28   | Crobat             |  0.12337% | 706    |  1.726% | 
 | 29   | Vivillon           |  0.11370% | 361    |  0.883% | 
 | 30   | Emolga             |  0.09809% | 211    |  0.516% | 
 | 31   | Sigilyph           |  0.09457% | 488    |  1.193% | 
 | 32   | Noivern            |  0.08249% | 395    |  0.966% | 
 | 33   | Swellow            |  0.05420% | 213    |  0.521% | 
 | 34   | Scyther            |  0.03836% | 214    |  0.523% | 
 | 35   | Chatot             |  0.03812% | 623    |  1.523% | 
 | 36   | Murkrow            |  0.03301% | 145    |  0.355% | 
 | 37   | Moltres            |  0.02689% | 206    |  0.504% | 
 | 38   | Ninjask            |  0.01644% | 190    |  0.465% | 
 | 39   | Mantine            |  0.01562% | 97     |  0.237% | 
 | 40   | Tornadus           |  0.01420% | 99     |  0.242% | 
 | 41   | Gligar             |  0.01221% | 139    |  0.340% | 
 | 42   | Togetic            |  0.01142% | 75     |  0.183% | 
 | 43   | Rotom-Fan          |  0.00946% | 100    |  0.245% | 
 | 44   | Braviary           |  0.00649% | 78     |  0.191% | 
 | 45   | Jumpluff           |  0.00524% | 72     |  0.176% | 
 | 46   | Fearow             |  0.00417% | 64     |  0.156% | 
 | 47   | Charizard          |  0.00415% | 176    |  0.430% | 
 | 48   | Farfetch'd         |  0.00323% | 62     |  0.152% | 
 | 49   | Noctowl            |  0.00267% | 98     |  0.240% | 
 | 50   | Drifblim           |  0.00202% | 235    |  0.575% | 
 | 51   | Swoobat            |  0.00202% | 141    |  0.345% | 
 | 52   | Altaria            |  0.00166% | 48     |  0.117% | 
 | 53   | Golbat             |  0.00153% | 43     |  0.105% | 
 | 54   | Tropius            |  0.00112% | 62     |  0.152% | 
 | 55   | Butterfree         |  0.00085% | 81     |  0.198% | 
 | 56   | Vespiquen          |  0.00078% | 63     |  0.154% | 
 | 57   | Fletchinder        |  0.00076% | 37     |  0.090% | 
 | 58   | Delibird           |  0.00065% | 48     |  0.117% | 
 | 59   | Beautifly          |  0.00062% | 26     |  0.064% | 
 | 60   | Swanna             |  0.00030% | 82     |  0.200% | 
 | 61   | Unfezant           |  0.00028% | 76     |  0.186% | 
 | 62   | Natu               |  0.00006% | 1      |  0.002% | 
 | 63   | Fletchling         |  0.00006% | 2      |  0.005% | 
 | 64   | Dodrio             |  0.00002% | 60     |  0.147% | 
 | 65   | Noibat             |  0.00000% | 3      |  0.007% | 
 | 66   | Pidgeot            |  0.00000% | 14     |  0.034% | 
 | 67   | Pelipper           |  0.00000% | 20     |  0.049% | 
 | 68   | Ledian             |  0.00000% | 18     |  0.044% | 
 | 69   | Doduo              |  0.00000% | 9      |  0.022% | 
 | 70   | Taillow            |  0.00000% | 6      |  0.015% | 
 | 71   | Ducklett           |  0.00000% | 2      |  0.005% | 
 | 72   | Woobat             |  0.00000% | 4      |  0.010% | 
 | 73   | Mothim             |  0.00000% | 2      |  0.005% | 
 | 74   | Yanma              |  0.00000% | 1      |  0.002% | 
 | 75   | Drifloon           |  0.00000% | 1      |  0.002% | 
 | 76   | Staravia           |  0.00000% | 3      |  0.007% | 
 | 77   | Archen             |  0.00000% | 1      |  0.002% | 
 | 78   | Starly             |  0.00000% | 5      |  0.012% | 
 | 79   | Swablu             |  0.00000% | 3      |  0.007% | 
 | 80   | Hoothoot           |  0.00000% | 1      |  0.002% | 
 | 81   | Wingull            |  0.00000% | 1      |  0.002% | 
 | 82   | Zubat              |  0.00000% | 2      |  0.005% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
