 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Golurk             | 54.78621% | 3987   | 14.828% | 
 | 2    | Sableye            | 16.92788% | 4281   | 15.921% | 
 | 3    | Chandelure         | 12.12481% | 2190   |  8.145% | 
 | 4    | Froslass           |  4.57479% | 3306   | 12.295% | 
 | 5    | Gengar             |  2.74565% | 1924   |  7.155% | 
 | 6    | Jellicent          |  1.62808% | 1045   |  3.886% | 
 | 7    | Gourgeist-Super    |  1.38144% | 417    |  1.551% | 
 | 8    | Cofagrigus         |  1.35047% | 2194   |  8.159% | 
 | 9    | Hoopa              |  1.03253% | 326    |  1.212% | 
 | 10   | Banette-Mega       |  1.01065% | 1569   |  5.835% | 
 | 11   | Rotom              |  0.66753% | 295    |  1.097% | 
 | 12   | Doublade           |  0.29907% | 528    |  1.964% | 
 | 13   | Dusclops           |  0.29680% | 645    |  2.399% | 
 | 14   | Drifblim           |  0.28559% | 600    |  2.231% | 
 | 15   | Gourgeist-Large    |  0.24356% | 20     |  0.074% | 
 | 16   | Spiritomb          |  0.18926% | 519    |  1.930% | 
 | 17   | Shedinja           |  0.15413% | 995    |  3.700% | 
 | 18   | Trevenant          |  0.13288% | 711    |  2.644% | 
 | 19   | Mismagius          |  0.07883% | 563    |  2.094% | 
 | 20   | Dusknoir           |  0.06524% | 590    |  2.194% | 
 | 21   | Misdreavus         |  0.02223% | 17     |  0.063% | 
 | 22   | Gourgeist          |  0.00116% | 26     |  0.097% | 
 | 23   | Lampent            |  0.00060% | 4      |  0.015% | 
 | 24   | Frillish           |  0.00045% | 13     |  0.048% | 
 | 25   | Banette            |  0.00012% | 34     |  0.126% | 
 | 26   | Yamask             |  0.00002% | 9      |  0.033% | 
 | 27   | Pumpkaboo-Super    |  0.00002% | 5      |  0.019% | 
 | 28   | Duskull            |  0.00000% | 1      |  0.004% | 
 | 29   | Gastly             |  0.00000% | 8      |  0.030% | 
 | 30   | Golett             |  0.00000% | 10     |  0.037% | 
 | 31   | Haunter            |  0.00000% | 31     |  0.115% | 
 | 32   | Pumpkaboo-Small    |  0.00000% | 1      |  0.004% | 
 | 33   | Pumpkaboo-Large    |  0.00000% | 2      |  0.007% | 
 | 34   | Phantump           |  0.00000% | 1      |  0.004% | 
 | 35   | Drifloon           |  0.00000% | 3      |  0.011% | 
 | 36   | Honedge            |  0.00000% | 1      |  0.004% | 
 | 37   | Shuppet            |  0.00000% | 2      |  0.007% | 
 | 38   | Litwick            |  0.00000% | 1      |  0.004% | 
 | 39   | Gourgeist-Small    |  0.00000% | 15     |  0.056% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
