 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Breloom            | 18.68211% | 4437   | 14.075% | 
 | 2    | Venusaur-Mega      | 14.74564% | 2045   |  6.487% | 
 | 3    | Ferrothorn         | 14.26143% | 7350   | 23.316% | 
 | 4    | Cradily            | 13.04194% | 2544   |  8.070% | 
 | 5    | Rotom-Mow          | 11.05648% | 1436   |  4.555% | 
 | 6    | Whimsicott         | 10.93460% | 2278   |  7.226% | 
 | 7    | Celebi             |  3.26477% | 507    |  1.608% | 
 | 8    | Gourgeist-Super    |  2.32810% | 261    |  0.828% | 
 | 9    | Shiftry            |  2.10403% | 466    |  1.478% | 
 | 10   | Serperior          |  1.79693% | 1301   |  4.127% | 
 | 11   | Roserade           |  1.23104% | 718    |  2.278% | 
 | 12   | Ludicolo           |  1.18831% | 1148   |  3.642% | 
 | 13   | Trevenant          |  1.00665% | 381    |  1.209% | 
 | 14   | Sceptile-Mega      |  0.96482% | 599    |  1.900% | 
 | 15   | Amoonguss          |  0.68882% | 368    |  1.167% | 
 | 16   | Leavanny           |  0.65276% | 667    |  2.116% | 
 | 17   | Virizion           |  0.40625% | 232    |  0.736% | 
 | 18   | Tangrowth          |  0.35893% | 455    |  1.443% | 
 | 19   | Abomasnow          |  0.22903% | 156    |  0.495% | 
 | 20   | Torterra           |  0.22758% | 688    |  2.182% | 
 | 21   | Shaymin            |  0.20953% | 84     |  0.266% | 
 | 22   | Meganium           |  0.11868% | 269    |  0.853% | 
 | 23   | Jumpluff           |  0.09377% | 237    |  0.752% | 
 | 24   | Abomasnow-Mega     |  0.07019% | 112    |  0.355% | 
 | 25   | Chesnaught         |  0.06771% | 362    |  1.148% | 
 | 26   | Lilligant          |  0.06283% | 278    |  0.882% | 
 | 27   | Cacturne           |  0.05165% | 146    |  0.463% | 
 | 28   | Exeggutor          |  0.03023% | 274    |  0.869% | 
 | 29   | Sceptile           |  0.02524% | 215    |  0.682% | 
 | 30   | Bellossom          |  0.01902% | 82     |  0.260% | 
 | 31   | Leafeon            |  0.01126% | 174    |  0.552% | 
 | 32   | Victreebel         |  0.01062% | 161    |  0.511% | 
 | 33   | Venusaur           |  0.01005% | 127    |  0.403% | 
 | 34   | Gloom              |  0.00888% | 7      |  0.022% | 
 | 35   | Tangela            |  0.00882% | 83     |  0.263% | 
 | 36   | Sewaddle           |  0.00795% | 4      |  0.013% | 
 | 37   | Vileplume          |  0.00578% | 80     |  0.254% | 
 | 38   | Sunflora           |  0.00564% | 25     |  0.079% | 
 | 39   | Tropius            |  0.00371% | 133    |  0.422% | 
 | 40   | Gogoat             |  0.00195% | 57     |  0.181% | 
 | 41   | Roselia            |  0.00151% | 30     |  0.095% | 
 | 42   | Cottonee           |  0.00147% | 76     |  0.241% | 
 | 43   | Swadloon           |  0.00108% | 15     |  0.048% | 
 | 44   | Parasect           |  0.00051% | 77     |  0.244% | 
 | 45   | Grotle             |  0.00038% | 5      |  0.016% | 
 | 46   | Gourgeist          |  0.00027% | 37     |  0.117% | 
 | 47   | Ivysaur            |  0.00024% | 11     |  0.035% | 
 | 48   | Carnivine          |  0.00023% | 18     |  0.057% | 
 | 49   | Sawsbuck           |  0.00018% | 50     |  0.159% | 
 | 50   | Cacnea             |  0.00016% | 7      |  0.022% | 
 | 51   | Gourgeist-Small    |  0.00015% | 13     |  0.041% | 
 | 52   | Cherrim            |  0.00005% | 73     |  0.232% | 
 | 53   | Grovyle            |  0.00003% | 7      |  0.022% | 
 | 54   | Maractus           |  0.00001% | 35     |  0.111% | 
 | 55   | Turtwig            |  0.00001% | 12     |  0.038% | 
 | 56   | Simisage           |  0.00000% | 30     |  0.095% | 
 | 57   | Chikorita          |  0.00000% | 6      |  0.019% | 
 | 58   | Wormadam           |  0.00000% | 13     |  0.041% | 
 | 59   | Exeggcute          |  0.00000% | 2      |  0.006% | 
 | 60   | Ferroseed          |  0.00000% | 14     |  0.044% | 
 | 61   | Lileep             |  0.00000% | 12     |  0.038% | 
 | 62   | Lombre             |  0.00000% | 2      |  0.006% | 
 | 63   | Gourgeist-Large    |  0.00000% | 1      |  0.003% | 
 | 64   | Bayleef            |  0.00000% | 2      |  0.006% | 
 | 65   | Chespin            |  0.00000% | 1      |  0.003% | 
 | 66   | Snivy              |  0.00000% | 2      |  0.006% | 
 | 67   | Shroomish          |  0.00000% | 1      |  0.003% | 
 | 68   | Snover             |  0.00000% | 3      |  0.010% | 
 | 69   | Budew              |  0.00000% | 1      |  0.003% | 
 | 70   | Deerling           |  0.00000% | 2      |  0.006% | 
 | 71   | Bellsprout         |  0.00000% | 1      |  0.003% | 
 | 72   | Oddish             |  0.00000% | 1      |  0.003% | 
 | 73   | Weepinbell         |  0.00000% | 5      |  0.016% | 
 | 74   | Quilladin          |  0.00000% | 5      |  0.016% | 
 | 75   | Servine            |  0.00000% | 7      |  0.022% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
