 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Hippowdon          | 35.56339% | 8883   | 34.595% | 
 | 2    | Mamoswine          |  7.19059% | 1548   |  6.029% | 
 | 3    | Landorus           |  6.94000% | 1334   |  5.195% | 
 | 4    | Gliscor            |  4.83031% | 1442   |  5.616% | 
 | 5    | Nidoking           |  4.60384% | 1150   |  4.479% | 
 | 6    | Garchomp-Mega      |  4.17590% | 942    |  3.669% | 
 | 7    | Landorus-Therian   |  3.73938% | 872    |  3.396% | 
 | 8    | Garchomp           |  3.71081% | 934    |  3.637% | 
 | 9    | Excadrill          |  2.91585% | 776    |  3.022% | 
 | 10   | Seismitoad         |  2.62638% | 604    |  2.352% | 
 | 11   | Gastrodon          |  2.37428% | 555    |  2.161% | 
 | 12   | Camerupt-Mega      |  2.03910% | 524    |  2.041% | 
 | 13   | Krookodile         |  1.80873% | 570    |  2.220% | 
 | 14   | Diggersby          |  1.62731% | 408    |  1.589% | 
 | 15   | Nidoqueen          |  1.50857% | 420    |  1.636% | 
 | 16   | Golem              |  1.43134% | 441    |  1.717% | 
 | 17   | Steelix-Mega       |  1.36245% | 407    |  1.585% | 
 | 18   | Golurk             |  1.07972% | 367    |  1.429% | 
 | 19   | Swampert-Mega      |  1.02120% | 314    |  1.223% | 
 | 20   | Donphan            |  1.00064% | 357    |  1.390% | 
 | 21   | Claydol            |  0.89593% | 309    |  1.203% | 
 | 22   | Dugtrio            |  0.88447% | 282    |  1.098% | 
 | 23   | Swampert           |  0.77099% | 207    |  0.806% | 
 | 24   | Quagsire           |  0.74487% | 247    |  0.962% | 
 | 25   | Torterra           |  0.72059% | 267    |  1.040% | 
 | 26   | Stunfisk           |  0.63625% | 174    |  0.678% | 
 | 27   | Rhyperior          |  0.54618% | 230    |  0.896% | 
 | 28   | Flygon             |  0.45723% | 186    |  0.724% | 
 | 29   | Zygarde            |  0.41711% | 92     |  0.358% | 
 | 30   | Steelix            |  0.38443% | 128    |  0.499% | 
 | 31   | Sandslash          |  0.34599% | 123    |  0.479% | 
 | 32   | Marowak            |  0.34519% | 117    |  0.456% | 
 | 33   | Camerupt           |  0.30009% | 111    |  0.432% | 
 | 34   | Piloswine          |  0.22070% | 61     |  0.238% | 
 | 35   | Rhydon             |  0.14859% | 60     |  0.234% | 
 | 36   | Gligar             |  0.14295% | 47     |  0.183% | 
 | 37   | Hippopotas         |  0.12409% | 38     |  0.148% | 
 | 38   | Wormadam-Sandy     |  0.09917% | 35     |  0.136% | 
 | 39   | Onix               |  0.05836% | 24     |  0.093% | 
 | 40   | Whiscash           |  0.05263% | 29     |  0.113% | 
 | 41   | Numel              |  0.03440% | 14     |  0.055% | 
 | 42   | Palpitoad          |  0.02766% | 8      |  0.031% | 
 | 43   | Marshtomp          |  0.01994% | 7      |  0.027% | 
 | 44   | Graveler           |  0.01931% | 9      |  0.035% | 
 | 45   | Cubone             |  0.01204% | 5      |  0.019% | 
 | 46   | Diglett            |  0.01027% | 4      |  0.016% | 
 | 47   | Larvitar           |  0.00692% | 4      |  0.016% | 
 | 48   | Trapinch           |  0.00573% | 2      |  0.008% | 
 | 49   | Swinub             |  0.00487% | 2      |  0.008% | 
 | 50   | Pupitar            |  0.00456% | 2      |  0.008% | 
 | 51   | Sandshrew          |  0.00434% | 1      |  0.004% | 
 | 52   | Wooper             |  0.00434% | 1      |  0.004% | 
 | 53   | Rhyhorn            |  0.00000% | 1      |  0.004% | 
 | 54   | Vibrava            |  0.00000% | 2      |  0.008% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
