 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Froslass           | 18.43122% | 3922   | 16.794% | 
 | 2    | Aurorus            | 14.90647% | 3224   | 13.806% | 
 | 3    | Mamoswine          | 14.17982% | 3092   | 13.240% | 
 | 4    | Abomasnow-Mega     | 10.18283% | 2484   | 10.637% | 
 | 5    | Cloyster           |  7.35389% | 2007   |  8.594% | 
 | 6    | Weavile            |  7.11924% | 1868   |  7.999% | 
 | 7    | Piloswine          |  4.14190% | 785    |  3.361% | 
 | 8    | Kyurem-Black       |  3.09081% | 615    |  2.633% | 
 | 9    | Rotom-Frost        |  3.00488% | 703    |  3.010% | 
 | 10   | Lapras             |  2.95540% | 638    |  2.732% | 
 | 11   | Abomasnow          |  2.80151% | 703    |  3.010% | 
 | 12   | Avalugg            |  1.97247% | 534    |  2.287% | 
 | 13   | Jynx               |  1.91394% | 458    |  1.961% | 
 | 14   | Articuno           |  1.36896% | 354    |  1.516% | 
 | 15   | Glalie-Mega        |  1.27538% | 335    |  1.435% | 
 | 16   | Walrein            |  1.25394% | 316    |  1.353% | 
 | 17   | Regice             |  1.09783% | 289    |  1.238% | 
 | 18   | Cryogonal          |  0.80095% | 268    |  1.148% | 
 | 19   | Glaceon            |  0.64665% | 218    |  0.933% | 
 | 20   | Kyurem             |  0.31122% | 73     |  0.313% | 
 | 21   | Vanilluxe          |  0.30685% | 106    |  0.454% | 
 | 22   | Delibird           |  0.20026% | 62     |  0.265% | 
 | 23   | Glalie             |  0.15776% | 75     |  0.321% | 
 | 24   | Dewgong            |  0.13790% | 56     |  0.240% | 
 | 25   | Sneasel            |  0.10071% | 46     |  0.197% | 
 | 26   | Beartic            |  0.09523% | 58     |  0.248% | 
 | 27   | Bergmite           |  0.06122% | 21     |  0.090% | 
 | 28   | Amaura             |  0.04519% | 14     |  0.060% | 
 | 29   | Smoochum           |  0.04217% | 10     |  0.043% | 
 | 30   | Sealeo             |  0.02071% | 6      |  0.026% | 
 | 31   | Swinub             |  0.01184% | 5      |  0.021% | 
 | 32   | Snover             |  0.00783% | 7      |  0.030% | 
 | 33   | Snorunt            |  0.00302% | 1      |  0.004% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
