 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Lopunny-Mega       | 15.03393% | 5996   | 13.122% | 
 | 2    | Smeargle           | 11.19410% | 4775   | 10.450% | 
 | 3    | Chansey            |  7.74610% | 3130   |  6.850% | 
 | 4    | Ambipom            |  6.08514% | 3010   |  6.587% | 
 | 5    | Staraptor          |  5.83099% | 2315   |  5.066% | 
 | 6    | Porygon2           |  5.82544% | 2231   |  4.882% | 
 | 7    | Diggersby          |  4.51209% | 1735   |  3.797% | 
 | 8    | Pidgeot-Mega       |  3.77941% | 1518   |  3.322% | 
 | 9    | Porygon-Z          |  3.61822% | 1704   |  3.729% | 
 | 10   | Heliolisk          |  3.31775% | 1464   |  3.204% | 
 | 11   | Ditto              |  3.06205% | 1445   |  3.162% | 
 | 12   | Cinccino           |  2.69862% | 1307   |  2.860% | 
 | 13   | Meloetta           |  2.59463% | 1072   |  2.346% | 
 | 14   | Snorlax            |  2.16211% | 1185   |  2.593% | 
 | 15   | Miltank            |  2.12640% | 1071   |  2.344% | 
 | 16   | Kecleon            |  2.04533% | 968    |  2.118% | 
 | 17   | Exploud            |  1.66499% | 897    |  1.963% | 
 | 18   | Pyroar             |  1.57963% | 849    |  1.858% | 
 | 19   | Chatot             |  1.32693% | 708    |  1.549% | 
 | 20   | Tauros             |  0.96144% | 460    |  1.007% | 
 | 21   | Blissey            |  0.83936% | 515    |  1.127% | 
 | 22   | Linoone            |  0.81790% | 461    |  1.009% | 
 | 23   | Wigglytuff         |  0.68762% | 417    |  0.913% | 
 | 24   | Persian            |  0.66407% | 408    |  0.893% | 
 | 25   | Slaking            |  0.66235% | 374    |  0.818% | 
 | 26   | Ursaring           |  0.60387% | 345    |  0.755% | 
 | 27   | Zangoose           |  0.57101% | 302    |  0.661% | 
 | 28   | Lopunny            |  0.57008% | 224    |  0.490% | 
 | 29   | Dunsparce          |  0.56461% | 355    |  0.777% | 
 | 30   | Swellow            |  0.56241% | 299    |  0.654% | 
 | 31   | Bibarel            |  0.54647% | 336    |  0.735% | 
 | 32   | Regigigas          |  0.53033% | 389    |  0.851% | 
 | 33   | Lickilicky         |  0.50565% | 264    |  0.578% | 
 | 34   | Audino-Mega        |  0.43137% | 240    |  0.525% | 
 | 35   | Furfrou            |  0.40281% | 207    |  0.453% | 
 | 36   | Kangaskhan         |  0.39437% | 267    |  0.584% | 
 | 37   | Sawsbuck           |  0.31477% | 205    |  0.449% | 
 | 38   | Braviary           |  0.27492% | 179    |  0.392% | 
 | 39   | Rattata            |  0.27125% | 200    |  0.438% | 
 | 40   | Spinda             |  0.26724% | 212    |  0.464% | 
 | 41   | Raticate           |  0.24535% | 162    |  0.355% | 
 | 42   | Stoutland          |  0.23154% | 170    |  0.372% | 
 | 43   | Bouffalant         |  0.20745% | 145    |  0.317% | 
 | 44   | Dodrio             |  0.16237% | 101    |  0.221% | 
 | 45   | Purugly            |  0.15773% | 90     |  0.197% | 
 | 46   | Girafarig          |  0.14481% | 101    |  0.221% | 
 | 47   | Furret             |  0.13565% | 158    |  0.346% | 
 | 48   | Fearow             |  0.12017% | 78     |  0.171% | 
 | 49   | Unfezant           |  0.08599% | 44     |  0.096% | 
 | 50   | Castform           |  0.08052% | 70     |  0.153% | 
 | 51   | Vigoroth           |  0.07832% | 50     |  0.109% | 
 | 52   | Noctowl            |  0.06597% | 51     |  0.112% | 
 | 53   | Delcatty           |  0.06462% | 49     |  0.107% | 
 | 54   | Eevee              |  0.06360% | 52     |  0.114% | 
 | 55   | Stantler           |  0.05866% | 42     |  0.092% | 
 | 56   | Audino             |  0.04734% | 21     |  0.046% | 
 | 57   | Pidgeot            |  0.04652% | 32     |  0.070% | 
 | 58   | Lickitung          |  0.04302% | 29     |  0.063% | 
 | 59   | Munchlax           |  0.03389% | 15     |  0.033% | 
 | 60   | Farfetch'd         |  0.03242% | 26     |  0.057% | 
 | 61   | Staravia           |  0.02829% | 14     |  0.031% | 
 | 62   | Porygon            |  0.02698% | 14     |  0.031% | 
 | 63   | Watchog            |  0.02643% | 19     |  0.042% | 
 | 64   | Aipom              |  0.02463% | 19     |  0.042% | 
 | 65   | Fletchling         |  0.02010% | 6      |  0.013% | 
 | 66   | Meowth             |  0.01732% | 15     |  0.033% | 
 | 67   | Taillow            |  0.01339% | 11     |  0.024% | 
 | 68   | Rufflet            |  0.01110% | 3      |  0.007% | 
 | 69   | Starly             |  0.00963% | 10     |  0.022% | 
 | 70   | Azurill            |  0.00879% | 5      |  0.011% | 
 | 71   | Bidoof             |  0.00858% | 10     |  0.022% | 
 | 72   | Minccino           |  0.00852% | 6      |  0.013% | 
 | 73   | Buneary            |  0.00725% | 5      |  0.011% | 
 | 74   | Bunnelby           |  0.00501% | 3      |  0.007% | 
 | 75   | Igglybuff          |  0.00482% | 3      |  0.007% | 
 | 76   | Helioptile         |  0.00418% | 3      |  0.007% | 
 | 77   | Pidgeotto          |  0.00347% | 5      |  0.011% | 
 | 78   | Glameow            |  0.00317% | 3      |  0.007% | 
 | 79   | Teddiursa          |  0.00316% | 2      |  0.004% | 
 | 80   | Jigglypuff         |  0.00316% | 2      |  0.004% | 
 | 81   | Doduo              |  0.00301% | 6      |  0.013% | 
 | 82   | Sentret            |  0.00282% | 2      |  0.004% | 
 | 83   | Herdier            |  0.00144% | 1      |  0.002% | 
 | 84   | Swablu             |  0.00106% | 1      |  0.002% | 
 | 85   | Skitty             |  0.00000% | 1      |  0.002% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
