 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Tentacruel         | 10.70184% | 3737   | 10.702% | 
 | 2    | Nidoking           |  9.97731% | 3484   |  9.977% | 
 | 3    | Nidoqueen          |  9.25564% | 3232   |  9.255% | 
 | 4    | Crobat             |  8.45379% | 2952   |  8.454% | 
 | 5    | Scolipede          |  8.39938% | 2933   |  8.399% | 
 | 6    | Drapion            |  8.08437% | 2823   |  8.084% | 
 | 7    | Weezing            |  6.54081% | 2284   |  6.541% | 
 | 8    | Gengar             |  6.20575% | 2167   |  6.206% | 
 | 9    | Venusaur-Mega      |  5.24926% | 1833   |  5.249% | 
 | 10   | Beedrill-Mega      |  5.16907% | 1805   |  5.169% | 
 | 11   | Dragalge           |  3.39068% | 1184   |  3.391% | 
 | 12   | Toxicroak          |  3.33627% | 1165   |  3.336% | 
 | 13   | Ariados            |  2.91025% | 1017   |  2.912% | 
 | 14   | Roserade           |  2.25950% | 789    |  2.259% | 
 | 15   | Amoonguss          |  1.62375% | 567    |  1.624% | 
 | 16   | Muk                |  1.40324% | 490    |  1.403% | 
 | 17   | Qwilfish           |  1.11114% | 388    |  1.111% | 
 | 18   | Skuntank           |  1.08250% | 378    |  1.082% | 
 | 19   | Venomoth           |  1.01950% | 356    |  1.019% | 
 | 20   | Garbodor           |  0.71594% | 250    |  0.716% | 
 | 21   | Golbat             |  0.64434% | 225    |  0.644% | 
 | 22   | Arbok              |  0.54125% | 189    |  0.541% | 
 | 23   | Whirlipede         |  0.24628% | 86     |  0.246% | 
 | 24   | Seviper            |  0.24342% | 85     |  0.243% | 
 | 25   | Swalot             |  0.19474% | 68     |  0.195% | 
 | 26   | Venusaur           |  0.17469% | 61     |  0.175% | 
 | 27   | Roselia            |  0.16610% | 58     |  0.166% | 
 | 28   | Victreebel         |  0.15464% | 54     |  0.155% | 
 | 29   | Beedrill           |  0.12601% | 44     |  0.126% | 
 | 30   | Koffing            |  0.12028% | 42     |  0.120% | 
 | 31   | Vileplume          |  0.07446% | 26     |  0.074% | 
 | 32   | Haunter            |  0.07159% | 25     |  0.072% | 
 | 33   | Nidorina           |  0.06014% | 21     |  0.060% | 
 | 34   | Dustox             |  0.05441% | 19     |  0.054% | 
 | 35   | Ekans              |  0.05441% | 19     |  0.054% | 
 | 36   | Trubbish           |  0.02005% | 7      |  0.020% | 
 | 37   | Croagunk           |  0.02005% | 7      |  0.020% | 
 | 38   | Venipede           |  0.01432% | 5      |  0.014% | 
 | 39   | Grimer             |  0.01432% | 5      |  0.014% | 
 | 40   | NidoranF           |  0.01432% | 5      |  0.014% | 
 | 41   | Ivysaur            |  0.01146% | 4      |  0.011% | 
 | 42   | Gastly             |  0.01146% | 4      |  0.011% | 
 | 43   | Weedle             |  0.01146% | 4      |  0.011% | 
 | 44   | Spinarak           |  0.00859% | 3      |  0.009% | 
 | 45   | Skrelp             |  0.00859% | 3      |  0.009% | 
 | 46   | Foongus            |  0.00859% | 3      |  0.009% | 
 | 47   | Tentacool          |  0.00573% | 2      |  0.006% | 
 | 48   | Kakuna             |  0.00573% | 2      |  0.006% | 
 | 49   | Gloom              |  0.00573% | 2      |  0.006% | 
 | 50   | Nidorino           |  0.00573% | 2      |  0.006% | 
 | 51   | Oddish             |  0.00286% | 1      |  0.003% | 
 | 52   | Bellsprout         |  0.00286% | 1      |  0.003% | 
 | 53   | Skorupi            |  0.00286% | 1      |  0.003% | 
 | 54   | Zubat              |  0.00286% | 1      |  0.003% | 
 | 55   | Venonat            |  0.00286% | 1      |  0.003% | 
 | 56   | NidoranM           |  0.00286% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
