 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Shuckle            | 20.84412% | 3205   | 18.015% | 
 | 2    | Diancie-Mega       | 10.58661% | 1521   |  8.549% | 
 | 3    | Tyranitar          |  9.84832% | 1719   |  9.662% | 
 | 4    | Aerodactyl         |  7.44312% | 1094   |  6.149% | 
 | 5    | Omastar            |  5.82135% | 1127   |  6.335% | 
 | 6    | Cradily            |  3.78569% | 752    |  4.227% | 
 | 7    | Rhyperior          |  3.03860% | 555    |  3.120% | 
 | 8    | Terrakion          |  2.70034% | 451    |  2.535% | 
 | 9    | Aerodactyl-Mega    |  2.63147% | 601    |  3.378% | 
 | 10   | Golem              |  2.59126% | 504    |  2.833% | 
 | 11   | Gigalith           |  2.54755% | 443    |  2.490% | 
 | 12   | Tyrantrum          |  2.51207% | 496    |  2.788% | 
 | 13   | Tyranitar-Mega     |  2.49582% | 485    |  2.726% | 
 | 14   | Archeops           |  2.47401% | 426    |  2.394% | 
 | 15   | Bastiodon          |  2.45519% | 530    |  2.979% | 
 | 16   | Regirock           |  1.75637% | 342    |  1.922% | 
 | 17   | Aurorus            |  1.49299% | 266    |  1.495% | 
 | 18   | Aggron-Mega        |  1.44239% | 217    |  1.220% | 
 | 19   | Carracosta         |  1.35123% | 270    |  1.518% | 
 | 20   | Aggron             |  1.18077% | 283    |  1.591% | 
 | 21   | Solrock            |  0.96336% | 181    |  1.017% | 
 | 22   | Barbaracle         |  0.90435% | 194    |  1.090% | 
 | 23   | Crustle            |  0.87756% | 183    |  1.029% | 
 | 24   | Diancie            |  0.87556% | 163    |  0.916% | 
 | 25   | Onix               |  0.80797% | 235    |  1.321% | 
 | 26   | Armaldo            |  0.71518% | 126    |  0.708% | 
 | 27   | Rampardos          |  0.70895% | 168    |  0.944% | 
 | 28   | Magcargo           |  0.70852% | 129    |  0.725% | 
 | 29   | Kabutops           |  0.65353% | 157    |  0.882% | 
 | 30   | Lunatone           |  0.58144% | 145    |  0.815% | 
 | 31   | Probopass          |  0.55974% | 180    |  1.012% | 
 | 32   | Rhydon             |  0.48646% | 128    |  0.719% | 
 | 33   | Lairon             |  0.44441% | 71     |  0.399% | 
 | 34   | Sudowoodo          |  0.40797% | 103    |  0.579% | 
 | 35   | Carbink            |  0.37265% | 97     |  0.545% | 
 | 36   | Relicanth          |  0.26535% | 78     |  0.438% | 
 | 37   | Corsola            |  0.18682% | 47     |  0.264% | 
 | 38   | Nosepass           |  0.16108% | 41     |  0.230% | 
 | 39   | Lileep             |  0.09010% | 17     |  0.096% | 
 | 40   | Aron               |  0.06839% | 14     |  0.079% | 
 | 41   | Boldore            |  0.04604% | 8      |  0.045% | 
 | 42   | Omanyte            |  0.02547% | 4      |  0.022% | 
 | 43   | Archen             |  0.02082% | 4      |  0.022% | 
 | 44   | Graveler           |  0.01804% | 12     |  0.067% | 
 | 45   | Bonsly             |  0.01261% | 6      |  0.034% | 
 | 46   | Geodude            |  0.01031% | 6      |  0.034% | 
 | 47   | Pupitar            |  0.00709% | 1      |  0.006% | 
 | 48   | Rhyhorn            |  0.00653% | 2      |  0.011% | 
 | 49   | Roggenrola         |  0.00420% | 1      |  0.006% | 
 | 50   | Cranidos           |  0.00420% | 1      |  0.006% | 
 | 51   | Tirtouga           |  0.00420% | 1      |  0.006% | 
 | 52   | Dwebble            |  0.00183% | 1      |  0.006% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
