 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Skarmory           | 30.59537% | 6920   | 18.890% | 
 | 2    | Magnezone          | 13.77887% | 2288   |  6.246% | 
 | 3    | Ferrothorn         | 12.11404% | 4080   | 11.137% | 
 | 4    | Heatran            | 10.61616% | 3773   | 10.299% | 
 | 5    | Jirachi            | 10.42383% | 1541   |  4.206% | 
 | 6    | Excadrill          |  4.51126% | 1381   |  3.770% | 
 | 7    | Scizor-Mega        |  3.20061% | 1373   |  3.748% | 
 | 8    | Empoleon           |  2.93708% | 1989   |  5.429% | 
 | 9    | Scizor             |  2.15589% | 380    |  1.037% | 
 | 10   | Bisharp            |  1.94460% | 1152   |  3.145% | 
 | 11   | Registeel          |  1.92821% | 438    |  1.196% | 
 | 12   | Klefki             |  1.36489% | 2987   |  8.154% | 
 | 13   | Bronzong           |  1.08340% | 1288   |  3.516% | 
 | 14   | Lucario            |  0.62348% | 815    |  2.225% | 
 | 15   | Cobalion           |  0.55756% | 390    |  1.065% | 
 | 16   | Forretress         |  0.39424% | 1099   |  3.000% | 
 | 17   | Doublade           |  0.32960% | 416    |  1.136% | 
 | 18   | Durant             |  0.30148% | 286    |  0.781% | 
 | 19   | Aggron-Mega        |  0.22636% | 923    |  2.520% | 
 | 20   | Metagross          |  0.21805% | 680    |  1.856% | 
 | 21   | Magneton           |  0.19556% | 163    |  0.445% | 
 | 22   | Aron               |  0.13742% | 56     |  0.153% | 
 | 23   | Steelix-Mega       |  0.10174% | 457    |  1.247% | 
 | 24   | Aggron             |  0.07704% | 390    |  1.065% | 
 | 25   | Bastiodon          |  0.07030% | 234    |  0.639% | 
 | 26   | Probopass          |  0.05756% | 180    |  0.491% | 
 | 27   | Steelix            |  0.03921% | 384    |  1.048% | 
 | 28   | Klinklang          |  0.00760% | 213    |  0.581% | 
 | 29   | Mawile             |  0.00446% | 142    |  0.388% | 
 | 30   | Escavalier         |  0.00359% | 73     |  0.199% | 
 | 31   | Lairon             |  0.00031% | 19     |  0.052% | 
 | 32   | Magnemite          |  0.00014% | 45     |  0.123% | 
 | 33   | Bronzor            |  0.00008% | 26     |  0.071% | 
 | 34   | Honedge            |  0.00000% | 20     |  0.055% | 
 | 35   | Ferroseed          |  0.00000% | 8      |  0.022% | 
 | 36   | Pawniard           |  0.00000% | 1      |  0.003% | 
 | 37   | Beldum             |  0.00000% | 1      |  0.003% | 
 | 38   | Metang             |  0.00000% | 9      |  0.025% | 
 | 39   | Klang              |  0.00000% | 1      |  0.003% | 
 | 40   | Wormadam-Trash     |  0.00000% | 8      |  0.022% | 
 | 41   | Shieldon           |  0.00000% | 5      |  0.014% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
