 Total leads: 630662
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Politoed           | 19.45244% | 9631   | 19.515% | 
 | 2    | Rotom-Wash         |  6.83445% | 2973   |  6.024% | 
 | 3    | Empoleon           |  5.93881% | 2709   |  5.489% | 
 | 4    | Cloyster           |  5.51299% | 2827   |  5.728% | 
 | 5    | Swampert           |  5.28616% | 2156   |  4.369% | 
 | 6    | Volcanion          |  4.85852% | 2042   |  4.138% | 
 | 7    | Azumarill          |  4.84749% | 2409   |  4.881% | 
 | 8    | Tentacruel         |  4.51553% | 2471   |  5.007% | 
 | 9    | Keldeo             |  4.30046% | 1643   |  3.329% | 
 | 10   | Starmie            |  3.71264% | 1777   |  3.601% | 
 | 11   | Swampert-Mega      |  3.64987% | 1761   |  3.568% | 
 | 12   | Gyarados-Mega      |  2.94235% | 1369   |  2.774% | 
 | 13   | Kingdra            |  2.46357% | 1151   |  2.332% | 
 | 14   | Lanturn            |  2.40171% | 1089   |  2.207% | 
 | 15   | Manaphy            |  1.97264% | 860    |  1.743% | 
 | 16   | Ludicolo           |  1.47512% | 876    |  1.775% | 
 | 17   | Gyarados           |  1.47220% | 749    |  1.518% | 
 | 18   | Slowbro            |  1.18428% | 603    |  1.222% | 
 | 19   | Seismitoad         |  1.09867% | 651    |  1.319% | 
 | 20   | Blastoise-Mega     |  1.04938% | 582    |  1.179% | 
 | 21   | Vaporeon           |  1.01606% | 500    |  1.013% | 
 | 22   | Milotic            |  0.94464% | 517    |  1.048% | 
 | 23   | Sharpedo-Mega      |  0.82536% | 435    |  0.881% | 
 | 24   | Crawdaunt          |  0.78455% | 406    |  0.823% | 
 | 25   | Omastar            |  0.72168% | 431    |  0.873% | 
 | 26   | Quagsire           |  0.71198% | 406    |  0.823% | 
 | 27   | Sharpedo           |  0.65570% | 302    |  0.612% | 
 | 28   | Jellicent          |  0.61286% | 400    |  0.811% | 
 | 29   | Feraligatr         |  0.60680% | 391    |  0.792% | 
 | 30   | Blastoise          |  0.53551% | 273    |  0.553% | 
 | 31   | Qwilfish           |  0.46617% | 303    |  0.614% | 
 | 32   | Gastrodon          |  0.45463% | 267    |  0.541% | 
 | 33   | Suicune            |  0.45155% | 223    |  0.452% | 
 | 34   | Lapras             |  0.43128% | 308    |  0.624% | 
 | 35   | Relicanth          |  0.41713% | 223    |  0.452% | 
 | 36   | Slowking           |  0.41657% | 228    |  0.462% | 
 | 37   | Kingler            |  0.40973% | 257    |  0.521% | 
 | 38   | Kabutops           |  0.40114% | 200    |  0.405% | 
 | 39   | Clawitzer          |  0.38638% | 258    |  0.523% | 
 | 40   | Carracosta         |  0.32731% | 232    |  0.470% | 
 | 41   | Surskit            |  0.30161% | 168    |  0.340% | 
 | 42   | Alomomola          |  0.29646% | 149    |  0.302% | 
 | 43   | Poliwrath          |  0.23809% | 191    |  0.387% | 
 | 44   | Floatzel           |  0.23110% | 177    |  0.359% | 
 | 45   | Wailord            |  0.21097% | 152    |  0.308% | 
 | 46   | Seaking            |  0.17908% | 150    |  0.304% | 
 | 47   | Barbaracle         |  0.16731% | 117    |  0.237% | 
