 Total battles: 315331
 Avg. weight/team: 0.081
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Volcarona          | 86.83777% | 44408  | 86.836% | 30124  | 83.818% | 
 | 2    | Galvantula         | 66.93897% | 34232  | 66.938% | 27014  | 75.165% | 
 | 3    | Scizor             | 48.46766% | 24787  | 48.469% | 16801  | 46.748% | 
 | 4    | Forretress         | 44.35774% | 22685  | 44.359% | 19293  | 53.682% | 
 | 5    | Pinsir-Mega        | 41.42408% | 21184  | 41.424% | 13961  | 38.846% | 
 | 6    | Heracross          | 40.42875% | 20676  | 40.430% | 13436  | 37.385% | 
 | 7    | Scolipede          | 31.03125% | 15869  | 31.031% | 10646  | 29.622% | 
 | 8    | Yanmega            | 27.31392% | 13968  | 27.313% | 9224   | 25.665% | 
 | 9    | Armaldo            | 24.99428% | 12782  | 24.994% | 9401   | 26.158% | 
 | 10   | Heracross-Mega     | 22.05372% | 11278  | 22.053% | 7347   | 20.443% | 
 | 11   | Shuckle            | 21.82493% | 11161  | 21.824% | 9161   | 25.490% | 
 | 12   | Scizor-Mega        | 18.19363% | 9304   | 18.193% | 6338   | 17.635% | 
 | 13   | Crustle            | 14.77939% | 7558   | 14.779% | 5187   | 14.433% | 
 | 14   | Vivillon           | 14.37852% | 7353   | 14.378% | 5048   | 14.046% | 
 | 15   | Beedrill-Mega      | 13.52399% | 6917   | 13.526% | 4339   | 12.073% | 
 | 16   | Durant             |  7.96656% | 4074   |  7.966% | 2573   |  7.159% | 
 | 17   | Shedinja           |  7.76906% | 3974   |  7.771% | 2489   |  6.925% | 
 | 18   | Scyther            |  7.46987% | 3820   |  7.470% | 2481   |  6.903% | 
 | 19   | Escavalier         |  7.35059% | 3759   |  7.350% | 2463   |  6.853% | 
 | 20   | Accelgor           |  7.00838% | 3584   |  7.008% | 2434   |  6.772% | 
 | 21   | Venomoth           |  6.10496% | 3122   |  6.105% | 1941   |  5.401% | 
 | 22   | Ninjask            |  5.54178% | 2834   |  5.542% | 2001   |  5.568% | 
 | 23   | Volbeat            |  4.54645% | 2325   |  4.546% | 1836   |  5.109% | 
 | 24   | Leavanny           |  4.19643% | 2146   |  4.196% | 1408   |  3.918% | 
 | 25   | Vespiquen          |  3.17176% | 1622   |  3.172% | 976    |  2.716% | 
 | 26   | Masquerain         |  2.49713% | 1277   |  2.497% | 902    |  2.510% | 
