 Total battles: 315331
 Avg. weight/team: 0.005
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mandibuzz          | 69.98991% | 17148  | 40.239% | 13125  | 42.829% | 
 | 2    | Bisharp            | 66.04638% | 23971  | 56.250% | 17145  | 55.947% | 
 | 3    | Hoopa-Unbound      | 60.97318% | 11137  | 26.134% | 7840   | 25.583% | 
 | 4    | Sableye            | 52.08361% | 16422  | 38.536% | 13477  | 43.977% | 
 | 5    | Hydreigon          | 50.70099% | 22359  | 52.467% | 15706  | 51.251% | 
 | 6    | Tyranitar          | 49.18766% | 12208  | 28.647% | 9774   | 31.894% | 
 | 7    | Sharpedo-Mega      | 38.69827% | 9228   | 21.654% | 6518   | 21.269% | 
 | 8    | Weavile            | 37.64305% | 19557  | 45.892% | 14191  | 46.307% | 
 | 9    | Krookodile         | 22.52419% | 10554  | 24.766% | 7810   | 25.485% | 
 | 10   | Tyranitar-Mega     | 18.98210% | 8738   | 20.505% | 6192   | 20.205% | 
 | 11   | Houndoom-Mega      | 18.63344% | 9822   | 23.048% | 6677   | 21.788% | 
 | 12   | Crawdaunt          | 17.87861% | 7382   | 17.323% | 5128   | 16.733% | 
 | 13   | Umbreon            | 16.05538% | 14312  | 33.584% | 9750   | 31.816% | 
 | 14   | Honchkrow          | 13.89842% | 9265   | 21.741% | 6514   | 21.256% | 
 | 15   | Spiritomb          | 10.51537% | 4720   | 11.076% | 3674   | 11.989% | 
 | 16   | Absol-Mega         | 10.43975% | 8761   | 20.558% | 6444   | 21.028% | 
 | 17   | Drapion            |  7.27653% | 8354   | 19.603% | 6272   | 20.466% | 
 | 18   | Liepard            |  7.13848% | 3403   |  7.985% | 2696   |  8.797% | 
 | 19   | Zoroark            |  7.06620% | 8442   | 19.810% | 3920   | 12.792% | 
 | 20   | Sharpedo           |  6.36012% | 3607   |  8.464% | 2505   |  8.174% | 
 | 21   | Scrafty            |  3.91946% | 5997   | 14.073% | 4224   | 13.784% | 
 | 22   | Malamar            |  3.49751% | 5267   | 12.359% | 3896   | 12.713% | 
 | 23   | Houndoom           |  2.85397% | 3995   |  9.375% | 2677   |  8.735% | 
 | 24   | Shiftry            |  2.19559% | 2240   |  5.256% | 1488   |  4.856% | 
 | 25   | Murkrow            |  1.67988% | 1080   |  2.534% | 828    |  2.702% | 
 | 26   | Cacturne           |  1.56198% | 1765   |  4.142% | 1236   |  4.033% | 
 | 27   | Pangoro            |  0.80418% | 1850   |  4.341% | 1328   |  4.333% | 
 | 28   | Skuntank           |  0.70923% | 1614   |  3.787% | 1174   |  3.831% | 
 | 29   | Absol              |  0.37291% | 1081   |  2.537% | 788    |  2.571% | 
 | 30   | Mightyena          |  0.10234% | 746    |  1.751% | 562    |  1.834% | 
 | 31   | Pawniard           |  0.08990% | 39     |  0.092% | 29     |  0.095% | 
 | 32   | Vullaby            |  0.04450% | 57     |  0.134% | 39     |  0.127% | 
 | 33   | Zorua              |  0.03083% | 33     |  0.077% | 12     |  0.039% | 
 | 34   | Sneasel            |  0.00717% | 102    |  0.239% | 69     |  0.225% | 
 | 35   | Inkay              |  0.00265% | 38     |  0.089% | 35     |  0.114% | 
 | 36   | Scraggy            |  0.00265% | 44     |  0.103% | 33     |  0.108% | 
 | 37   | Poochyena          |  0.00060% | 9      |  0.021% | 6      |  0.020% | 
 | 38   | Zweilous           |  0.00035% | 25     |  0.059% | 20     |  0.065% | 
 | 39   | Deino              |  0.00012% | 7      |  0.016% | 7      |  0.023% | 
 | 40   | Nuzleaf            |  0.00012% | 10     |  0.023% | 8      |  0.026% | 
 | 41   | Stunky             |  0.00008% | 10     |  0.023% | 7      |  0.023% | 
 | 42   | Carvanha           |  0.00001% | 31     |  0.073% | 23     |  0.075% | 
 | 43   | Sandile            |  0.00001% | 5      |  0.012% | 4      |  0.013% | 
 | 44   | Houndour           |  0.00000% | 3      |  0.007% | 1      |  0.003% | 
 | 45   | Purrloin           |  0.00000% | 17     |  0.040% | 17     |  0.055% | 
 | 46   | Krokorok           |  0.00000% | 3      |  0.007% | 3      |  0.010% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
