 Total battles: 315331
 Avg. weight/team: 0.028
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragonite          | 79.57652% | 24589  | 77.624% | 17665  | 78.329% | 
 | 2    | Garchomp           | 61.92158% | 17637  | 55.678% | 14565  | 64.583% | 
 | 3    | Kyurem-Black       | 58.75530% | 15954  | 50.365% | 11398  | 50.540% | 
 | 4    | Hydreigon          | 51.94299% | 16683  | 52.666% | 11336  | 50.265% | 
 | 5    | Goodra             | 41.22666% | 13342  | 42.119% | 9525   | 42.235% | 
 | 6    | Salamence          | 39.88472% | 12683  | 40.039% | 8886   | 39.402% | 
 | 7    | Latios             | 37.88979% | 10076  | 31.809% | 6921   | 30.689% | 
 | 8    | Dragalge           | 36.22721% | 11672  | 36.847% | 8251   | 36.586% | 
 | 9    | Latias-Mega        | 25.86309% | 7134   | 22.521% | 4729   | 20.969% | 
 | 10   | Garchomp-Mega      | 22.95050% | 8265   | 26.091% | 5893   | 26.130% | 
 | 11   | Haxorus            | 22.73634% | 8370   | 26.423% | 5661   | 25.102% | 
 | 12   | Kingdra            | 21.85449% | 7898   | 24.933% | 5681   | 25.190% | 
 | 13   | Noivern            | 18.73989% | 6866   | 21.675% | 4928   | 21.851% | 
 | 14   | Latias             | 17.57469% | 4966   | 15.677% | 3386   | 15.014% | 
 | 15   | Tyrantrum          | 16.30418% | 6554   | 20.690% | 4673   | 20.721% | 
 | 16   | Latios-Mega        | 15.73795% | 5209   | 16.444% | 3247   | 14.398% | 
 | 17   | Druddigon          |  7.89337% | 2854   |  9.010% | 2362   | 10.473% | 
 | 18   | Zygarde            |  6.87523% | 2346   |  7.406% | 1703   |  7.551% | 
 | 19   | Flygon             |  6.62128% | 2903   |  9.164% | 2039   |  9.041% | 
 | 20   | Altaria            |  4.01710% | 1909   |  6.026% | 1246   |  5.525% | 
 | 21   | Kyurem             |  2.28100% | 759    |  2.396% | 547    |  2.425% | 
 | 22   | Dragonair          |  0.83325% | 322    |  1.017% | 244    |  1.082% | 
 | 23   | Shelgon            |  0.69884% | 286    |  0.903% | 196    |  0.869% | 
 | 24   | Sliggoo            |  0.16487% | 77     |  0.243% | 55     |  0.244% | 
 | 25   | Fraxure            |  0.11934% | 49     |  0.155% | 30     |  0.133% | 
 | 26   | Gabite             |  0.11123% | 65     |  0.205% | 49     |  0.217% | 
 | 27   | Zweilous           |  0.08988% | 34     |  0.107% | 22     |  0.098% | 
 | 28   | Vibrava            |  0.03992% | 27     |  0.085% | 21     |  0.093% | 
 | 29   | Bagon              |  0.03436% | 16     |  0.051% | 10     |  0.044% | 
 | 30   | Axew               |  0.03361% | 16     |  0.051% | 12     |  0.053% | 
 | 31   | Tyrunt             |  0.02168% | 12     |  0.038% | 11     |  0.049% | 
 | 32   | Goomy              |  0.01910% | 8      |  0.025% | 5      |  0.022% | 
 | 33   | Gible              |  0.01775% | 8      |  0.025% | 5      |  0.022% | 
 | 34   | Deino              |  0.01609% | 7      |  0.022% | 3      |  0.013% | 
 | 35   | Dratini            |  0.01504% | 10     |  0.032% | 8      |  0.035% | 
 | 36   | Noibat             |  0.01020% | 6      |  0.019% | 1      |  0.004% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
