 Total battles: 315331
 Avg. weight/team: 0.019
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Zapdos             | 64.29130% | 13954  | 56.318% | 10768  | 57.537% | 
 | 2    | Rotom-Wash         | 61.92978% | 13397  | 54.070% | 10768  | 57.537% | 
 | 3    | Magnezone          | 55.65539% | 12456  | 50.272% | 9376   | 50.099% | 
 | 4    | Manectric-Mega     | 53.77877% | 12385  | 49.986% | 9313   | 49.762% | 
 | 5    | Thundurus          | 47.91564% | 9138   | 36.881% | 6983   | 37.312% | 
 | 6    | Electivire         | 45.45905% | 12329  | 49.760% | 8879   | 47.443% | 
 | 7    | Eelektross         | 37.20820% | 9824   | 39.650% | 7509   | 40.123% | 
 | 8    | Ampharos-Mega      | 34.20748% | 8828   | 35.630% | 6017   | 32.151% | 
 | 9    | Galvantula         | 33.54041% | 8664   | 34.968% | 7454   | 39.829% | 
 | 10   | Raikou             | 24.03306% | 5195   | 20.967% | 3782   | 20.208% | 
 | 11   | Luxray             | 23.19472% | 6034   | 24.353% | 4386   | 23.436% | 
 | 12   | Jolteon            | 16.22120% | 4885   | 19.716% | 3534   | 18.883% | 
 | 13   | Lanturn            | 12.56559% | 4313   | 17.407% | 3117   | 16.655% | 
 | 14   | Heliolisk          | 11.94505% | 3688   | 14.885% | 2562   | 13.690% | 
 | 15   | Stunfisk           | 10.12296% | 2227   |  8.988% | 1920   | 10.259% | 
 | 16   | Thundurus-Therian  |  9.59055% | 2467   |  9.957% | 1822   |  9.736% | 
 | 17   | Raichu             |  7.32037% | 2269   |  9.158% | 1677   |  8.961% | 
 | 18   | Rotom-Mow          |  7.08952% | 1628   |  6.571% | 1218   |  6.508% | 
 | 19   | Rotom-Heat         |  5.68999% | 1685   |  6.801% | 1339   |  7.155% | 
 | 20   | Pikachu            |  5.36339% | 1846   |  7.450% | 1449   |  7.742% | 
 | 21   | Dedenne            |  4.45330% | 1749   |  7.059% | 1232   |  6.583% | 
 | 22   | Electrode          |  4.14194% | 1549   |  6.252% | 1259   |  6.727% | 
 | 23   | Magneton           |  4.01297% | 1185   |  4.783% | 842    |  4.499% | 
 | 24   | Emolga             |  3.57054% | 1292   |  5.215% | 1041   |  5.562% | 
 | 25   | Zebstrika          |  3.22546% | 953    |  3.846% | 688    |  3.676% | 
 | 26   | Rotom-Frost        |  2.66464% | 693    |  2.797% | 538    |  2.875% | 
 | 27   | Rotom              |  2.54313% | 1053   |  4.250% | 788    |  4.211% | 
 | 28   | Ampharos           |  1.44679% | 519    |  2.095% | 365    |  1.950% | 
 | 29   | Pachirisu          |  1.14955% | 437    |  1.764% | 313    |  1.672% | 
 | 30   | Manectric          |  1.12303% | 433    |  1.748% | 317    |  1.694% | 
 | 31   | Rotom-Fan          |  1.10326% | 382    |  1.542% | 322    |  1.721% | 
 | 32   | Plusle             |  0.73257% | 228    |  0.920% | 157    |  0.839% | 
 | 33   | Minun              |  0.71103% | 226    |  0.912% | 153    |  0.818% | 
 | 34   | Electabuzz         |  0.65139% | 236    |  0.952% | 167    |  0.892% | 
 | 35   | Eelektrik          |  0.35077% | 107    |  0.432% | 89     |  0.476% | 
 | 36   | Magnemite          |  0.16286% | 44     |  0.178% | 33     |  0.176% | 
 | 37   | Pichu              |  0.10439% | 44     |  0.178% | 33     |  0.176% | 
 | 38   | Flaaffy            |  0.06769% | 20     |  0.081% | 13     |  0.069% | 
 | 39   | Elekid             |  0.04301% | 14     |  0.057% | 13     |  0.069% | 
 | 40   | Blitzle            |  0.03646% | 14     |  0.057% | 11     |  0.059% | 
 | 41   | Shinx              |  0.03104% | 9      |  0.036% | 7      |  0.037% | 
 | 42   | Voltorb            |  0.02571% | 9      |  0.036% | 9      |  0.048% | 
 | 43   | Chinchou           |  0.02512% | 8      |  0.032% | 7      |  0.037% | 
 | 44   | Luxio              |  0.02331% | 10     |  0.040% | 9      |  0.048% | 
 | 45   | Joltik             |  0.01683% | 5      |  0.020% | 4      |  0.021% | 
 | 46   | Helioptile         |  0.01541% | 5      |  0.020% | 1      |  0.005% | 
 | 47   | Mareep             |  0.01172% | 6      |  0.024% | 4      |  0.021% | 
 | 48   | Electrike          |  0.00057% | 3      |  0.012% | 2      |  0.011% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
