 Total battles: 315331
 Avg. weight/team: 0.065
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Skarmory           | 59.93913% | 24514  | 59.939% | 20267  | 69.768% | 
 | 2    | Dragonite          | 49.84625% | 20386  | 49.846% | 13480  | 46.404% | 
 | 3    | Togekiss           | 42.43451% | 17355  | 42.435% | 12135  | 41.774% | 
 | 4    | Charizard-Mega-Y   | 39.63484% | 16210  | 39.635% | 11385  | 39.192% | 
 | 5    | Gliscor            | 38.60056% | 15787  | 38.601% | 11407  | 39.268% | 
 | 6    | Zapdos             | 37.32909% | 15267  | 37.329% | 11154  | 38.397% | 
 | 7    | Landorus-Therian   | 28.19470% | 11531  | 28.195% | 9125   | 31.412% | 
 | 8    | Hawlucha           | 24.70551% | 10104  | 24.705% | 6778   | 23.333% | 
 | 9    | Pidgeot-Mega       | 23.90595% | 9777   | 23.906% | 6496   | 22.362% | 
 | 10   | Staraptor          | 19.64166% | 8033   | 19.642% | 5233   | 18.014% | 
 | 11   | Gyarados           | 18.89834% | 7729   | 18.898% | 5371   | 18.489% | 
 | 12   | Thundurus          | 18.38731% | 7520   | 18.387% | 5452   | 18.768% | 
 | 13   | Gyarados-Mega      | 16.21360% | 6631   | 16.214% | 4778   | 16.448% | 
 | 14   | Thundurus-Therian  | 14.32352% | 5858   | 14.323% | 4126   | 14.204% | 
 | 15   | Landorus           | 13.44817% | 5500   | 13.448% | 3779   | 13.009% | 
 | 16   | Crobat             | 13.05939% | 5341   | 13.059% | 3554   | 12.235% | 
 | 17   | Salamence          | 11.57463% | 4734   | 11.575% | 3071   | 10.572% | 
 | 18   | Honchkrow          | 11.23778% | 4596   | 11.238% | 3029   | 10.427% | 
 | 19   | Aerodactyl-Mega    | 10.31841% | 4220   | 10.318% | 2823   |  9.718% | 
 | 20   | Mandibuzz          |  9.21566% | 3769   |  9.216% | 2614   |  8.999% | 
 | 21   | Tornadus-Therian   |  8.72419% | 3568   |  8.724% | 2491   |  8.575% | 
 | 22   | Noivern            |  8.12514% | 3323   |  8.125% | 2164   |  7.449% | 
 | 23   | Sigilyph           |  6.33286% | 2590   |  6.333% | 1692   |  5.825% | 
 | 24   | Aerodactyl         |  5.53575% | 2264   |  5.536% | 1786   |  6.148% | 
 | 25   | Articuno           |  4.58216% | 1874   |  4.582% | 1287   |  4.430% | 
 | 26   | Yanmega            |  4.40122% | 1800   |  4.401% | 1211   |  4.169% | 
 | 27   | Swellow            |  4.28874% | 1754   |  4.289% | 1197   |  4.121% | 
 | 28   | Xatu               |  3.99533% | 1634   |  3.995% | 1238   |  4.262% | 
 | 29   | Chatot             |  3.75082% | 1534   |  3.751% | 1232   |  4.241% | 
 | 30   | Vivillon           |  3.38405% | 1384   |  3.384% | 944    |  3.250% | 
 | 31   | Scyther            |  3.12242% | 1277   |  3.122% | 884    |  3.043% | 
 | 32   | Drifblim           |  2.72631% | 1115   |  2.726% | 815    |  2.806% | 
 | 33   | Moltres            |  2.67985% | 1096   |  2.680% | 791    |  2.723% | 
 | 34   | Mantine            |  2.55760% | 1046   |  2.558% | 725    |  2.496% | 
 | 35   | Braviary           |  2.54293% | 1040   |  2.543% | 663    |  2.282% | 
 | 36   | Archeops           |  2.49647% | 1021   |  2.496% | 737    |  2.537% | 
 | 37   | Emolga             |  2.41333% | 987    |  2.413% | 740    |  2.547% | 
 | 38   | Charizard          |  2.30330% | 942    |  2.303% | 663    |  2.282% | 
 | 39   | Tropius            |  1.77760% | 727    |  1.778% | 463    |  1.594% | 
 | 40   | Swoobat            |  1.66757% | 682    |  1.668% | 460    |  1.584% | 
 | 41   | Ninjask            |  1.51353% | 619    |  1.514% | 453    |  1.559% | 
 | 42   | Rotom-Fan          |  1.51109% | 618    |  1.511% | 423    |  1.456% | 
 | 43   | Tornadus           |  1.29836% | 531    |  1.298% | 326    |  1.122% | 
 | 44   | Noctowl            |  1.23968% | 507    |  1.240% | 369    |  1.270% | 
 | 45   | Gligar             |  1.23234% | 504    |  1.232% | 386    |  1.329% | 
 | 46   | Swanna             |  1.21523% | 497    |  1.215% | 338    |  1.164% | 
 | 47   | Altaria            |  1.18833% | 486    |  1.188% | 321    |  1.105% | 
 | 48   | Murkrow            |  1.14187% | 467    |  1.142% | 336    |  1.157% | 
 | 49   | Unfezant           |  1.07096% | 438    |  1.071% | 285    |  0.981% | 
 | 50   | Togetic            |  0.99516% | 407    |  0.995% | 278    |  0.957% | 
 | 51   | Jumpluff           |  0.85824% | 351    |  0.858% | 263    |  0.905% | 
 | 52   | Golbat             |  0.74332% | 304    |  0.743% | 232    |  0.799% | 
 | 53   | Butterfree         |  0.73109% | 299    |  0.731% | 221    |  0.761% | 
 | 54   | Dodrio             |  0.69686% | 285    |  0.697% | 203    |  0.699% | 
 | 55   | Vespiquen          |  0.65529% | 268    |  0.655% | 182    |  0.627% | 
 | 56   | Pelipper           |  0.58927% | 241    |  0.589% | 149    |  0.513% | 
 | 57   | Masquerain         |  0.55993% | 229    |  0.560% | 212    |  0.730% | 
 | 58   | Pidgeot            |  0.55749% | 228    |  0.557% | 148    |  0.509% | 
 | 59   | Farfetch'd         |  0.45479% | 186    |  0.455% | 146    |  0.503% | 
 | 60   | Fletchinder        |  0.45235% | 185    |  0.452% | 151    |  0.520% | 
 | 61   | Fearow             |  0.44990% | 184    |  0.450% | 139    |  0.479% | 
 | 62   | Delibird           |  0.35454% | 145    |  0.355% | 124    |  0.427% | 
 | 63   | Mothim             |  0.23718% | 97     |  0.237% | 68     |  0.234% | 
 | 64   | Beautifly          |  0.21273% | 87     |  0.213% | 66     |  0.227% | 
 | 65   | Doduo              |  0.18583% | 76     |  0.186% | 50     |  0.172% | 
 | 66   | Ledian             |  0.15404% | 63     |  0.154% | 46     |  0.158% | 
 | 67   | Mantyke            |  0.14915% | 61     |  0.149% | 44     |  0.151% | 
 | 68   | Staravia           |  0.04401% | 18     |  0.044% | 15     |  0.052% | 
 | 69   | Woobat             |  0.02934% | 12     |  0.029% | 11     |  0.038% | 
 | 70   | Noibat             |  0.02934% | 12     |  0.029% | 10     |  0.034% | 
 | 71   | Zubat              |  0.02934% | 12     |  0.029% | 11     |  0.038% | 
 | 72   | Taillow            |  0.02201% | 9      |  0.022% | 7      |  0.024% | 
 | 73   | Starly             |  0.01712% | 7      |  0.017% | 6      |  0.021% | 
 | 74   | Vullaby            |  0.01712% | 7      |  0.017% | 7      |  0.024% | 
 | 75   | Combee             |  0.01467% | 6      |  0.015% | 4      |  0.014% | 
 | 76   | Ducklett           |  0.01223% | 5      |  0.012% | 5      |  0.017% | 
 | 77   | Swablu             |  0.01223% | 5      |  0.012% | 3      |  0.010% | 
 | 78   | Drifloon           |  0.00978% | 4      |  0.010% | 4      |  0.014% | 
 | 79   | Natu               |  0.00734% | 3      |  0.007% | 2      |  0.007% | 
 | 80   | Archen             |  0.00489% | 2      |  0.005% | 2      |  0.007% | 
 | 81   | Yanma              |  0.00489% | 2      |  0.005% | 1      |  0.003% | 
 | 82   | Fletchling         |  0.00489% | 2      |  0.005% | 2      |  0.007% | 
 | 83   | Pidgeotto          |  0.00245% | 1      |  0.002% | 1      |  0.003% | 
 | 84   | Hoothoot           |  0.00245% | 1      |  0.002% | 1      |  0.003% | 
 | 85   | Skiploom           |  0.00245% | 1      |  0.002% | 1      |  0.003% | 
 | 86   | Hoppip             |  0.00245% | 1      |  0.002% | 1      |  0.003% | 
 | 87   | Wingull            |  0.00245% | 1      |  0.002% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
