 Total battles: 315331
 Avg. weight/team: 0.02
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Gengar             | 83.69267% | 21519  | 80.029% | 15187  | 77.036% | 
 | 2    | Chandelure         | 76.25730% | 19889  | 73.967% | 14343  | 72.755% | 
 | 3    | Golurk             | 57.78038% | 14033  | 52.189% | 10781  | 54.687% | 
 | 4    | Jellicent          | 53.03033% | 12822  | 47.685% | 9247   | 46.905% | 
 | 5    | Sableye            | 52.67818% | 13157  | 48.931% | 10558  | 53.555% | 
 | 6    | Banette-Mega       | 46.10897% | 13067  | 48.596% | 9106   | 46.190% | 
 | 7    | Doublade           | 38.62968% | 8830   | 32.839% | 6531   | 33.128% | 
 | 8    | Cofagrigus         | 28.85988% | 8244   | 30.659% | 6457   | 32.753% | 
 | 9    | Froslass           | 26.11608% | 8122   | 30.206% | 6466   | 32.799% | 
 | 10   | Trevenant          | 24.95032% | 7915   | 29.436% | 5289   | 26.828% | 
 | 11   | Gourgeist-Super    | 16.85981% | 3758   | 13.976% | 2818   | 14.294% | 
 | 12   | Dusclops           | 16.76384% | 4612   | 17.152% | 3481   | 17.657% | 
 | 13   | Dusknoir           | 12.97811% | 4265   | 15.862% | 3099   | 15.720% | 
 | 14   | Spiritomb          | 12.50083% | 4018   | 14.943% | 2932   | 14.873% | 
 | 15   | Mismagius          | 12.29129% | 3904   | 14.519% | 2744   | 13.919% | 
 | 16   | Hoopa              | 11.56699% | 3132   | 11.648% | 2163   | 10.972% | 
 | 17   | Drifblim           | 10.41432% | 3431   | 12.760% | 2514   | 12.752% | 
 | 18   | Shedinja           |  8.41194% | 2884   | 10.726% | 2027   | 10.282% | 
 | 19   | Rotom              |  4.21748% | 1513   |  5.627% | 1150   |  5.833% | 
 | 20   | Gourgeist-Small    |  1.05534% | 252    |  0.937% | 164    |  0.832% | 
 | 21   | Banette            |  0.89557% | 377    |  1.402% | 260    |  1.319% | 
 | 22   | Misdreavus         |  0.87676% | 288    |  1.071% | 214    |  1.086% | 
 | 23   | Haunter            |  0.74700% | 411    |  1.529% | 295    |  1.496% | 
 | 24   | Gourgeist          |  0.66454% | 188    |  0.699% | 136    |  0.690% | 
 | 25   | Gourgeist-Large    |  0.43462% | 107    |  0.398% | 81     |  0.411% | 
 | 26   | Frillish           |  0.15761% | 72     |  0.268% | 59     |  0.299% | 
 | 27   | Lampent            |  0.13796% | 51     |  0.190% | 34     |  0.172% | 
 | 28   | Pumpkaboo-Super    |  0.06959% | 33     |  0.123% | 18     |  0.091% | 
 | 29   | Gastly             |  0.05186% | 33     |  0.123% | 23     |  0.117% | 
 | 30   | Drifloon           |  0.04877% | 19     |  0.071% | 16     |  0.081% | 
 | 31   | Golett             |  0.03835% | 26     |  0.097% | 21     |  0.107% | 
 | 32   | Shuppet            |  0.03154% | 10     |  0.037% | 8      |  0.041% | 
 | 33   | Honedge            |  0.02607% | 26     |  0.097% | 19     |  0.096% | 
 | 34   | Phantump           |  0.02523% | 8      |  0.030% | 6      |  0.030% | 
 | 35   | Yamask             |  0.02487% | 22     |  0.082% | 16     |  0.081% | 
 | 36   | Pumpkaboo-Small    |  0.02329% | 15     |  0.056% | 7      |  0.036% | 
 | 37   | Litwick            |  0.02237% | 12     |  0.045% | 11     |  0.056% | 
 | 38   | Duskull            |  0.00997% | 4      |  0.015% | 2      |  0.010% | 
 | 39   | Pumpkaboo-Large    |  0.00469% | 5      |  0.019% | 2      |  0.010% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
