 Total battles: 315331
 Avg. weight/team: 0.003
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 93.18155% | 22191  | 70.394% | 18502  | 82.553% | 
 | 2    | Venusaur-Mega      | 84.32485% | 20566  | 65.239% | 14415  | 64.317% | 
 | 3    | Breloom            | 70.70061% | 21286  | 67.523% | 15448  | 68.926% | 
 | 4    | Cradily            | 68.82748% | 13336  | 42.304% | 10112  | 45.118% | 
 | 5    | Whimsicott         | 59.75643% | 11738  | 37.235% | 8380   | 37.390% | 
 | 6    | Serperior          | 38.78927% | 15636  | 49.600% | 10562  | 47.126% | 
 | 7    | Rotom-Mow          | 37.46777% | 6002   | 19.039% | 4410   | 19.677% | 
 | 8    | Celebi             | 19.51407% | 4779   | 15.160% | 3066   | 13.680% | 
 | 9    | Shiftry            | 17.57777% | 3834   | 12.162% | 2637   | 11.766% | 
 | 10   | Ludicolo           | 15.61773% | 8486   | 26.919% | 5945   | 26.526% | 
 | 11   | Trevenant          | 14.71109% | 4171   | 13.231% | 2686   | 11.984% | 
 | 12   | Gourgeist-Super    | 14.19970% | 2412   |  7.651% | 1718   |  7.665% | 
 | 13   | Sceptile-Mega      | 12.00774% | 7621   | 24.175% | 5036   | 22.470% | 
 | 14   | Roserade           |  6.49571% | 4448   | 14.110% | 2942   | 13.127% | 
 | 15   | Virizion           |  6.05839% | 2065   |  6.551% | 1336   |  5.961% | 
 | 16   | Tangrowth          |  5.76773% | 4073   | 12.920% | 2682   | 11.967% | 
 | 17   | Amoonguss          |  5.47525% | 3498   | 11.096% | 2305   | 10.285% | 
 | 18   | Sceptile           |  3.10704% | 1590   |  5.044% | 1072   |  4.783% | 
 | 19   | Leavanny           |  2.75864% | 1553   |  4.926% | 1226   |  5.470% | 
 | 20   | Torterra           |  2.47293% | 3337   | 10.586% | 2410   | 10.753% | 
