 Total battles: 315331
 Avg. weight/team: 0.005
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Excadrill          | 85.97201% | 16715  | 65.097% | 12356  | 65.232% | 
 | 2    | Hippowdon          | 83.03505% | 17697  | 68.922% | 15457  | 81.603% | 
 | 3    | Landorus           | 68.63621% | 8835   | 34.408% | 6502   | 34.326% | 
 | 4    | Mamoswine          | 62.29513% | 10904  | 42.466% | 7721   | 40.762% | 
 | 5    | Gastrodon          | 50.08265% | 9332   | 36.344% | 6935   | 36.612% | 
 | 6    | Garchomp-Mega      | 42.87663% | 10792  | 42.030% | 7331   | 38.703% | 
 | 7    | Garchomp           | 31.26068% | 6800   | 26.483% | 4939   | 26.075% | 
 | 8    | Nidoking           | 27.10718% | 10000  | 38.945% | 6827   | 36.042% | 
 | 9    | Seismitoad         | 26.63063% | 4937   | 19.227% | 3704   | 19.555% | 
 | 10   | Gliscor            | 24.13698% | 10352  | 40.316% | 7544   | 39.828% | 
 | 11   | Landorus-Therian   | 13.89724% | 4483   | 17.459% | 3373   | 17.807% | 
 | 12   | Diggersby          | 12.12982% | 2395   |  9.327% | 1695   |  8.949% | 
 | 13   | Camerupt-Mega      | 10.64310% | 3726   | 14.511% | 2535   | 13.383% | 
 | 14   | Zygarde            | 10.01841% | 1450   |  5.647% | 1009   |  5.327% | 
 | 15   | Krookodile         |  9.35797% | 5153   | 20.069% | 3589   | 18.948% | 
 | 16   | Swampert-Mega      |  6.01394% | 2644   | 10.297% | 1838   |  9.703% | 
 | 17   | Quagsire           |  5.99192% | 2888   | 11.247% | 2144   | 11.319% | 
 | 18   | Nidoqueen          |  5.50360% | 1711   |  6.664% | 1306   |  6.895% | 
 | 19   | Steelix-Mega       |  5.04765% | 2711   | 10.558% | 2042   | 10.780% | 
 | 20   | Torterra           |  2.20119% | 2223   |  8.658% | 1524   |  8.046% | 
 | 21   | Donphan            |  2.10836% | 1620   |  6.309% | 1207   |  6.372% | 
 | 22   | Golem              |  1.94120% | 1205   |  4.693% | 957    |  5.052% | 
 | 23   | Claydol            |  1.69777% | 2008   |  7.820% | 1495   |  7.893% | 
 | 24   | Golurk             |  1.67333% | 1628   |  6.340% | 1203   |  6.351% | 
 | 25   | Dugtrio            |  1.56479% | 1386   |  5.398% | 1008   |  5.322% | 
 | 26   | Piloswine          |  1.32449% | 276    |  1.075% | 220    |  1.161% | 
 | 27   | Swampert           |  1.10577% | 1278   |  4.977% | 968    |  5.110% | 
 | 28   | Sandslash          |  1.06238% | 1074   |  4.183% | 738    |  3.896% | 
 | 29   | Rhyperior          |  0.86687% | 1581   |  6.157% | 1027   |  5.422% | 
 | 30   | Flygon             |  0.75667% | 1756   |  6.839% | 1281   |  6.763% | 
 | 31   | Stunfisk           |  0.69077% | 858    |  3.342% | 643    |  3.395% | 
 | 32   | Marowak            |  0.68910% | 801    |  3.120% | 552    |  2.914% | 
 | 33   | Rhydon             |  0.37659% | 475    |  1.850% | 340    |  1.795% | 
 | 34   | Numel              |  0.35962% | 98     |  0.382% | 71     |  0.375% | 
 | 35   | Steelix            |  0.28056% | 549    |  2.138% | 402    |  2.122% | 
 | 36   | Camerupt           |  0.20049% | 800    |  3.116% | 574    |  3.030% | 
 | 37   | Gligar             |  0.17370% | 180    |  0.701% | 141    |  0.744% | 
 | 38   | Wormadam-Sandy     |  0.08429% | 73     |  0.284% | 68     |  0.359% | 
 | 39   | Marshtomp          |  0.06642% | 30     |  0.117% | 22     |  0.116% | 
 | 40   | Whiscash           |  0.02888% | 192    |  0.748% | 135    |  0.713% | 
 | 41   | Hippopotas         |  0.02481% | 70     |  0.273% | 58     |  0.306% | 
 | 42   | Graveler           |  0.01461% | 14     |  0.055% | 13     |  0.069% | 
 | 43   | Sandshrew          |  0.01405% | 11     |  0.043% | 10     |  0.053% | 
 | 44   | Onix               |  0.01303% | 60     |  0.234% | 44     |  0.232% | 
 | 45   | Pupitar            |  0.01067% | 27     |  0.105% | 17     |  0.090% | 
 | 46   | Geodude            |  0.00930% | 11     |  0.043% | 8      |  0.042% | 
 | 47   | Palpitoad          |  0.00682% | 19     |  0.074% | 16     |  0.084% | 
 | 48   | Swinub             |  0.00140% | 4      |  0.016% | 4      |  0.021% | 
 | 49   | Sandile            |  0.00000% | 1      |  0.004% | 1      |  0.005% | 
 | 50   | Trapinch           |  0.00000% | 12     |  0.047% | 12     |  0.063% | 
 | 51   | Rhyhorn            |  0.00000% | 4      |  0.016% | 2      |  0.011% | 
 | 52   | Krokorok           |  0.00000% | 5      |  0.019% | 4      |  0.021% | 
 | 53   | Larvitar           |  0.00000% | 7      |  0.027% | 6      |  0.032% | 
 | 54   | Cubone             |  0.00000% | 10     |  0.039% | 9      |  0.048% | 
 | 55   | Vibrava            |  0.00000% | 20     |  0.078% | 9      |  0.048% | 
 | 56   | Wooper             |  0.00000% | 8      |  0.031% | 6      |  0.032% | 
 | 57   | Diglett            |  0.00000% | 8      |  0.031% | 5      |  0.026% | 
 | 58   | Gabite             |  0.00000% | 1      |  0.004% | 1      |  0.005% | 
 | 59   | Baltoy             |  0.00000% | 2      |  0.008% | 1      |  0.005% | 
 | 60   | Nincada            |  0.00000% | 1      |  0.004% | 1      |  0.005% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
