 Total battles: 315331
 Avg. weight/team: 0.037
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Lopunny-Mega       | 64.40076% | 28175  | 61.660% | 21778  | 65.020% | 
 | 2    | Staraptor          | 56.47538% | 22395  | 49.011% | 16099  | 48.065% | 
 | 3    | Chansey            | 48.88148% | 19369  | 42.388% | 14737  | 43.998% | 
 | 4    | Porygon2           | 47.11777% | 18044  | 39.489% | 13823  | 41.269% | 
 | 5    | Ditto              | 37.40293% | 15144  | 33.142% | 11078  | 33.074% | 
 | 6    | Diggersby          | 34.55722% | 13859  | 30.330% | 9628   | 28.745% | 
 | 7    | Meloetta           | 31.36410% | 12453  | 27.253% | 8504   | 25.389% | 
 | 8    | Porygon-Z          | 27.50453% | 12682  | 27.754% | 8666   | 25.873% | 
 | 9    | Pidgeot-Mega       | 24.23595% | 10693  | 23.401% | 7863   | 23.475% | 
 | 10   | Snorlax            | 22.62534% | 12082  | 26.441% | 8519   | 25.434% | 
 | 11   | Heliolisk          | 21.61281% | 10259  | 22.452% | 7079   | 21.135% | 
 | 12   | Ambipom            | 16.43769% | 8297   | 18.158% | 6677   | 19.935% | 
 | 13   | Smeargle           | 16.10237% | 6858   | 15.009% | 6232   | 18.606% | 
 | 14   | Cinccino           | 14.59715% | 7540   | 16.501% | 5293   | 15.803% | 
 | 15   | Pyroar             | 12.30686% | 6644   | 14.540% | 4469   | 13.342% | 
 | 16   | Exploud            | 11.33384% | 5730   | 12.540% | 4098   | 12.235% | 
 | 17   | Miltank            | 10.60178% | 5171   | 11.317% | 4028   | 12.026% | 
 | 18   | Blissey            |  8.10140% | 4407   |  9.645% | 3103   |  9.264% | 
 | 19   | Kecleon            |  7.87626% | 3797   |  8.310% | 3022   |  9.022% | 
 | 20   | Slaking            |  7.07602% | 3761   |  8.231% | 2786   |  8.318% | 
