 Total battles: 315331
 Avg. weight/team: 0.008
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Victini            | 73.00333% | 20039  | 48.745% | 14695  | 49.304% | 
 | 2    | Slowbro            | 71.10023% | 19210  | 46.728% | 14285  | 47.928% | 
 | 3    | Hoopa-Unbound      | 51.00022% | 12008  | 29.209% | 8148   | 27.338% | 
 | 4    | Jirachi            | 44.98867% | 13814  | 33.603% | 10518  | 35.289% | 
 | 5    | Mew                | 43.76745% | 10897  | 26.507% | 8825   | 29.609% | 
 | 6    | Medicham-Mega      | 41.96145% | 12065  | 29.348% | 9412   | 31.578% | 
 | 7    | Latios             | 37.54319% | 10119  | 24.614% | 6777   | 22.738% | 
 | 8    | Gardevoir-Mega     | 33.69277% | 12662  | 30.800% | 8484   | 28.465% | 
 | 9    | Gardevoir          | 20.46478% | 7178   | 17.460% | 4939   | 16.571% | 
 | 10   | Meloetta           | 16.05632% | 4885   | 11.883% | 3524   | 11.823% | 
 | 11   | Metagross          | 14.58134% | 12722  | 30.946% | 9418   | 31.599% | 
 | 12   | Gallade-Mega       | 14.45211% | 7540   | 18.341% | 5415   | 18.168% | 
 | 13   | Alakazam           | 12.01768% | 8696   | 21.153% | 5800   | 19.460% | 
 | 14   | Starmie            | 11.99975% | 8426   | 20.496% | 5696   | 19.111% | 
 | 15   | Azelf              | 11.77105% | 4990   | 12.138% | 4296   | 14.414% | 
 | 16   | Deoxys-Speed       | 10.41046% | 2522   |  6.135% | 2330   |  7.817% | 
 | 17   | Latias             |  9.48389% | 4181   | 10.170% | 2858   |  9.589% | 
 | 18   | Espeon             |  7.62537% | 8768   | 21.328% | 6379   | 21.402% | 
 | 19   | Meowstic           |  7.59643% | 3688   |  8.971% | 3063   | 10.277% | 
 | 20   | Bronzong           |  6.28479% | 3112   |  7.570% | 2527   |  8.478% | 
 | 21   | Cresselia          |  4.88141% | 2922   |  7.108% | 2008   |  6.737% | 
 | 22   | Alakazam-Mega      |  4.77271% | 5146   | 12.518% | 3505   | 11.760% | 
 | 23   | Malamar            |  4.54409% | 7094   | 17.256% | 5179   | 17.376% | 
 | 24   | Latias-Mega        |  4.33307% | 1762   |  4.286% | 1209   |  4.056% | 
 | 25   | Deoxys-Defense     |  3.98135% | 2184   |  5.313% | 1882   |  6.314% | 
 | 26   | Wobbuffet          |  3.70417% | 2407   |  5.855% | 1828   |  6.133% | 
 | 27   | Gothitelle         |  3.66460% | 1029   |  2.503% | 757    |  2.540% | 
 | 28   | Delphox            |  3.32358% | 4371   | 10.632% | 2999   | 10.062% | 
 | 29   | Gallade            |  3.27661% | 3700   |  9.000% | 2602   |  8.730% | 
 | 30   | Gothorita          |  2.92435% | 344    |  0.837% | 302    |  1.013% | 
 | 31   | Medicham           |  2.77153% | 2329   |  5.665% | 1646   |  5.523% | 
 | 32   | Celebi             |  2.63896% | 2190   |  5.327% | 1539   |  5.164% | 
 | 33   | Latios-Mega        |  2.54707% | 1133   |  2.756% | 710    |  2.382% | 
 | 34   | Sigilyph           |  2.36556% | 3792   |  9.224% | 2609   |  8.754% | 
 | 35   | Wynaut             |  1.93376% | 205    |  0.499% | 196    |  0.658% | 
 | 36   | Claydol            |  1.70104% | 1919   |  4.668% | 1486   |  4.986% | 
 | 37   | Reuniclus          |  1.24169% | 2381   |  5.792% | 1576   |  5.288% | 
 | 38   | Hoopa              |  1.17695% | 1086   |  2.642% | 746    |  2.503% | 
