 Total battles: 315331
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 93.70997% | 10171  | 57.169% | 7355   | 57.700% | 
 | 2    | Terrakion          | 90.46123% | 8053   | 45.264% | 5411   | 42.449% | 
 | 3    | Rhyperior          | 78.84226% | 5522   | 31.038% | 3871   | 30.368% | 
 | 4    | Shuckle            | 73.00976% | 6315   | 35.495% | 5467   | 42.889% | 
 | 5    | Omastar            | 64.91328% | 7780   | 43.730% | 5400   | 42.363% | 
 | 6    | Aggron-Mega        | 51.40909% | 1902   | 10.691% | 1514   | 11.877% | 
 | 7    | Cradily            | 43.96836% | 9437   | 53.044% | 6442   | 50.537% | 
 | 8    | Diancie-Mega       | 37.60617% | 7358   | 41.358% | 5466   | 42.881% | 
 | 9    | Aerodactyl         | 13.79904% | 3455   | 19.420% | 2701   | 21.189% | 
 | 10   | Aurorus            |  9.71922% | 2989   | 16.801% | 1882   | 14.764% | 
 | 11   | Aerodactyl-Mega    |  7.65338% | 5560   | 31.252% | 4131   | 32.408% | 
 | 12   | Diancie            |  7.56613% | 1387   |  7.796% | 954    |  7.484% | 
 | 13   | Tyrantrum          |  6.48750% | 5964   | 33.523% | 3799   | 29.803% | 
 | 14   | Archeops           |  2.74201% | 2807   | 15.778% | 2046   | 16.051% | 
 | 15   | Solrock            |  2.41457% | 498    |  2.799% | 402    |  3.154% | 
 | 16   | Rampardos          |  2.30294% | 1929   | 10.843% | 1251   |  9.814% | 
 | 17   | Sudowoodo          |  1.58650% | 356    |  2.001% | 278    |  2.181% | 
 | 18   | Tyranitar-Mega     |  1.50389% | 2369   | 13.316% | 1668   | 13.085% | 
 | 19   | Rhydon             |  1.40979% | 914    |  5.137% | 609    |  4.778% | 
 | 20   | Golem              |  1.38910% | 2589   | 14.552% | 1892   | 14.843% | 
 | 21   | Kabutops           |  1.29545% | 2230   | 12.534% | 1518   | 11.909% | 
 | 22   | Magcargo           |  0.99830% | 813    |  4.570% | 601    |  4.715% | 
 | 23   | Barbaracle         |  0.81503% | 1518   |  8.532% | 972    |  7.625% | 
 | 24   | Regirock           |  0.79953% | 1682   |  9.454% | 1259   |  9.877% | 
 | 25   | Gigalith           |  0.62078% | 1309   |  7.358% | 1057   |  8.292% | 
 | 26   | Crustle            |  0.55491% | 1147   |  6.447% | 762    |  5.978% | 
 | 27   | Armaldo            |  0.52256% | 1294   |  7.273% | 955    |  7.492% | 
 | 28   | Aggron             |  0.39285% | 2043   | 11.483% | 1445   | 11.336% | 
 | 29   | Bastiodon          |  0.33592% | 1326   |  7.453% | 1075   |  8.433% | 
 | 30   | Probopass          |  0.28651% | 1069   |  6.009% | 752    |  5.899% | 
 | 31   | Carracosta         |  0.27655% | 1688   |  9.488% | 1292   | 10.136% | 
 | 32   | Carbink            |  0.21357% | 269    |  1.512% | 211    |  1.655% | 
 | 33   | Lunatone           |  0.20934% | 678    |  3.811% | 503    |  3.946% | 
 | 34   | Aron               |  0.05720% | 393    |  2.209% | 246    |  1.930% | 
 | 35   | Onix               |  0.04189% | 445    |  2.501% | 385    |  3.020% | 
 | 36   | Relicanth          |  0.02689% | 519    |  2.917% | 363    |  2.848% | 
 | 37   | Nosepass           |  0.02614% | 95     |  0.534% | 83     |  0.651% | 
 | 38   | Pupitar            |  0.01015% | 31     |  0.174% | 18     |  0.141% | 
 | 39   | Geodude            |  0.01015% | 20     |  0.112% | 17     |  0.133% | 
 | 40   | Anorith            |  0.00695% | 26     |  0.146% | 16     |  0.126% | 
 | 41   | Lairon             |  0.00254% | 136    |  0.764% | 125    |  0.981% | 
 | 42   | Archen             |  0.00112% | 6      |  0.034% | 6      |  0.047% | 
 | 43   | Graveler           |  0.00043% | 36     |  0.202% | 26     |  0.204% | 
 | 44   | Omanyte            |  0.00043% | 24     |  0.135% | 18     |  0.141% | 
 | 45   | Corsola            |  0.00022% | 148    |  0.832% | 106    |  0.832% | 
 | 46   | Boldore            |  0.00012% | 28     |  0.157% | 24     |  0.188% | 
 | 47   | Lileep             |  0.00011% | 76     |  0.427% | 51     |  0.400% | 
 | 48   | Dwebble            |  0.00004% | 1      |  0.006% | 1      |  0.008% | 
 | 49   | Rhyhorn            |  0.00000% | 9      |  0.051% | 4      |  0.031% | 
 | 50   | Tyrunt             |  0.00000% | 11     |  0.062% | 8      |  0.063% | 
 | 51   | Bonsly             |  0.00000% | 22     |  0.124% | 17     |  0.133% | 
 | 52   | Tirtouga           |  0.00000% | 6      |  0.034% | 5      |  0.039% | 
 | 53   | Roggenrola         |  0.00000% | 7      |  0.039% | 6      |  0.047% | 
 | 54   | Amaura             |  0.00000% | 1      |  0.006% | 1      |  0.008% | 
 | 55   | Cranidos           |  0.00000% | 13     |  0.073% | 11     |  0.086% | 
 | 56   | Larvitar           |  0.00000% | 1      |  0.006% | 1      |  0.008% | 
 | 57   | Kabuto             |  0.00000% | 7      |  0.039% | 3      |  0.024% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
