 Total battles: 315331
 Avg. weight/team: 0.033
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Heatran            | 80.50331% | 26443  | 72.182% | 20351  | 76.744% | 
 | 2    | Scizor-Mega        | 63.54479% | 21020  | 57.378% | 14547  | 54.857% | 
 | 3    | Skarmory           | 63.30872% | 21468  | 58.601% | 17580  | 66.294% | 
 | 4    | Bisharp            | 43.76759% | 16107  | 43.967% | 10345  | 39.011% | 
 | 5    | Magnezone          | 41.91644% | 14900  | 40.673% | 10351  | 39.034% | 
 | 6    | Excadrill          | 39.19641% | 13667  | 37.307% | 9324   | 35.161% | 
 | 7    | Ferrothorn         | 36.67393% | 13384  | 36.534% | 10591  | 39.939% | 
 | 8    | Empoleon           | 35.54527% | 14186  | 38.724% | 10086  | 38.034% | 
 | 9    | Jirachi            | 33.92158% | 11251  | 30.712% | 7878   | 29.708% | 
 | 10   | Doublade           | 27.57214% | 8734   | 23.841% | 6086   | 22.950% | 
 | 11   | Klefki             | 20.16734% | 7521   | 20.530% | 6088   | 22.958% | 
 | 12   | Lucario            | 19.25205% | 8057   | 21.993% | 5321   | 20.065% | 
 | 13   | Metagross          | 18.59438% | 8321   | 22.714% | 5521   | 20.820% | 
 | 14   | Aggron-Mega        | 11.90176% | 5466   | 14.921% | 3814   | 14.383% | 
 | 15   | Bronzong           |  9.74961% | 4162   | 11.361% | 3350   | 12.633% | 
 | 16   | Scizor             |  9.37326% | 3826   | 10.444% | 2672   | 10.076% | 
 | 17   | Steelix-Mega       |  5.23979% | 2746   |  7.496% | 1953   |  7.365% | 
 | 18   | Forretress         |  5.06779% | 2167   |  5.915% | 1862   |  7.022% | 
 | 19   | Cobalion           |  5.04863% | 2051   |  5.599% | 1398   |  5.272% | 
 | 20   | Durant             |  4.79211% | 2053   |  5.604% | 1380   |  5.204% | 
 | 21   | Aggron             |  4.61449% | 2169   |  5.921% | 1512   |  5.702% | 
 | 22   | Registeel          |  4.26760% | 1735   |  4.736% | 1275   |  4.808% | 
 | 23   | Klinklang          |  2.64941% | 1389   |  3.792% | 907    |  3.420% | 
 | 24   | Steelix            |  2.64828% | 1387   |  3.786% | 1032   |  3.892% | 
 | 25   | Magneton           |  2.46050% | 1021   |  2.787% | 712    |  2.685% | 
 | 26   | Mawile             |  1.97862% | 1131   |  3.087% | 771    |  2.907% | 
 | 27   | Probopass          |  1.69995% | 798    |  2.178% | 598    |  2.255% | 
 | 28   | Escavalier         |  1.64886% | 922    |  2.517% | 630    |  2.376% | 
 | 29   | Bastiodon          |  1.56656% | 952    |  2.599% | 698    |  2.632% | 
 | 30   | Aron               |  0.36138% | 186    |  0.508% | 140    |  0.528% | 
 | 31   | Magnemite          |  0.18014% | 98     |  0.268% | 82     |  0.309% | 
 | 32   | Lairon             |  0.16355% | 77     |  0.210% | 62     |  0.234% | 
 | 33   | Bronzor            |  0.11858% | 40     |  0.109% | 36     |  0.136% | 
 | 34   | Metang             |  0.06609% | 43     |  0.117% | 28     |  0.106% | 
 | 35   | Klang              |  0.06012% | 37     |  0.101% | 28     |  0.106% | 
 | 36   | Wormadam-Trash     |  0.04310% | 42     |  0.115% | 30     |  0.113% | 
 | 37   | Honedge            |  0.03878% | 29     |  0.079% | 25     |  0.094% | 
 | 38   | Ferroseed          |  0.03059% | 16     |  0.044% | 16     |  0.060% | 
 | 39   | Shieldon           |  0.02698% | 27     |  0.074% | 19     |  0.072% | 
 | 40   | Pawniard           |  0.01335% | 7      |  0.019% | 5      |  0.019% | 
 | 41   | Beldum             |  0.00661% | 4      |  0.011% | 4      |  0.015% | 
 | 42   | Klink              |  0.00181% | 1      |  0.003% | 1      |  0.004% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
