 Total battles: 315331
 Avg. weight/team: 0.041
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Azumarill          | 51.38423% | 23929  | 48.486% | 16814  | 47.156% | 
 | 2    | Politoed           | 42.40670% | 19722  | 39.962% | 16715  | 46.879% | 
 | 3    | Swampert-Mega      | 38.47329% | 18618  | 37.725% | 13902  | 38.989% | 
 | 4    | Keldeo             | 33.83857% | 13765  | 27.891% | 9401   | 26.366% | 
 | 5    | Gyarados-Mega      | 30.44939% | 13619  | 27.596% | 9767   | 27.392% | 
 | 6    | Starmie            | 28.69717% | 13345  | 27.040% | 9247   | 25.934% | 
 | 7    | Volcanion          | 27.86526% | 12365  | 25.055% | 8817   | 24.728% | 
 | 8    | Kingdra            | 27.02849% | 13003  | 26.347% | 9244   | 25.926% | 
 | 9    | Tentacruel         | 26.99959% | 13523  | 27.401% | 10332  | 28.977% | 
 | 10   | Rotom-Wash         | 26.03854% | 12422  | 25.170% | 9396   | 26.352% | 
 | 11   | Cloyster           | 24.93547% | 12286  | 24.895% | 9036   | 25.342% | 
 | 12   | Empoleon           | 19.35905% | 9243   | 18.729% | 7237   | 20.297% | 
 | 13   | Lanturn            | 18.35758% | 9164   | 18.569% | 6570   | 18.426% | 
 | 14   | Ludicolo           | 16.33516% | 8818   | 17.868% | 6210   | 17.416% | 
 | 15   | Slowbro            | 14.53617% | 7039   | 14.263% | 4664   | 13.081% | 
 | 16   | Gyarados           | 14.34839% | 6932   | 14.046% | 4919   | 13.796% | 
 | 17   | Swampert           | 14.21393% | 6344   | 12.855% | 5097   | 14.295% | 
 | 18   | Manaphy            | 13.80982% | 6254   | 12.672% | 4229   | 11.861% | 
 | 19   | Sharpedo-Mega      | 11.56993% | 5415   | 10.972% | 3713   | 10.413% | 
 | 20   | Quagsire           |  9.64440% | 4672   |  9.467% | 3310   |  9.283% | 
 | 21   | Blastoise-Mega     |  8.78568% | 5541   | 11.228% | 3801   | 10.660% | 
 | 22   | Vaporeon           |  8.08166% | 4436   |  8.988% | 3091   |  8.669% | 
 | 23   | Milotic            |  7.95775% | 4667   |  9.457% | 3130   |  8.778% | 
 | 24   | Feraligatr         |  6.10199% | 3595   |  7.284% | 2333   |  6.543% | 
 | 25   | Crawdaunt          |  6.04870% | 3225   |  6.535% | 2234   |  6.265% | 
 | 26   | Suicune            |  4.82325% | 2448   |  4.960% | 1602   |  4.493% | 
 | 27   | Lapras             |  4.23845% | 2907   |  5.890% | 1997   |  5.601% | 
 | 28   | Seismitoad         |  4.19264% | 2295   |  4.650% | 1828   |  5.127% | 
 | 29   | Kabutops           |  4.13424% | 2033   |  4.119% | 1411   |  3.957% | 
 | 30   | Jellicent          |  4.03809% | 2522   |  5.110% | 1786   |  5.009% | 
 | 31   | Alomomola          |  3.99845% | 1743   |  3.532% | 1255   |  3.520% | 
 | 32   | Gastrodon          |  3.90132% | 2076   |  4.207% | 1495   |  4.193% | 
 | 33   | Slowking           |  3.89317% | 2140   |  4.336% | 1415   |  3.968% | 
 | 34   | Sharpedo           |  3.69229% | 1917   |  3.884% | 1328   |  3.724% | 
 | 35   | Poliwrath          |  3.01150% | 2139   |  4.334% | 1419   |  3.980% | 
 | 36   | Clawitzer          |  2.86896% | 1929   |  3.909% | 1325   |  3.716% | 
 | 37   | Blastoise          |  2.74299% | 1661   |  3.366% | 1163   |  3.262% | 
 | 38   | Floatzel           |  2.14262% | 1203   |  2.438% | 859    |  2.409% | 
 | 39   | Omastar            |  2.09286% | 1229   |  2.490% | 894    |  2.507% | 
 | 40   | Kingler            |  1.90598% | 1295   |  2.624% | 891    |  2.499% | 
 | 41   | Carracosta         |  1.85838% | 1187   |  2.405% | 824    |  2.311% | 
 | 42   | Seaking            |  1.63832% | 1048   |  2.124% | 736    |  2.064% | 
 | 43   | Barbaracle         |  1.26839% | 878    |  1.779% | 600    |  1.683% | 
 | 44   | Samurott           |  1.17368% | 892    |  1.807% | 575    |  1.613% | 
 | 45   | Mantine            |  1.15139% | 737    |  1.493% | 534    |  1.498% | 
 | 46   | Swanna             |  1.11095% | 702    |  1.422% | 489    |  1.371% | 
 | 47   | Relicanth          |  1.07909% | 653    |  1.323% | 511    |  1.433% | 
 | 48   | Wailord            |  1.01970% | 783    |  1.587% | 547    |  1.534% | 
 | 49   | Qwilfish           |  0.92957% | 645    |  1.307% | 546    |  1.531% | 
 | 50   | Golduck            |  0.86404% | 716    |  1.451% | 486    |  1.363% | 
 | 51   | Gorebyss           |  0.75550% | 514    |  1.041% | 344    |  0.965% | 
 | 52   | Walrein            |  0.71798% | 601    |  1.218% | 402    |  1.127% | 
 | 53   | Pelipper           |  0.61069% | 449    |  0.910% | 332    |  0.931% | 
 | 54   | Palpitoad          |  0.56315% | 211    |  0.428% | 191    |  0.536% | 
 | 55   | Surskit            |  0.49454% | 255    |  0.517% | 230    |  0.645% | 
 | 56   | Octillery          |  0.46448% | 383    |  0.776% | 259    |  0.726% | 
 | 57   | Whiscash           |  0.43975% | 355    |  0.719% | 263    |  0.738% | 
 | 58   | Basculin           |  0.42525% | 279    |  0.565% | 173    |  0.485% | 
 | 59   | Wartortle          |  0.40608% | 217    |  0.440% | 155    |  0.435% | 
 | 60   | Huntail            |  0.39570% | 344    |  0.697% | 233    |  0.653% | 
 | 61   | Dewgong            |  0.36802% | 285    |  0.577% | 199    |  0.558% | 
 | 62   | Frogadier          |  0.29685% | 217    |  0.440% | 180    |  0.505% | 
 | 63   | Bibarel            |  0.26291% | 165    |  0.334% | 98     |  0.275% | 
 | 64   | Corsola            |  0.25492% | 222    |  0.450% | 182    |  0.510% | 
 | 65   | Simipour           |  0.20295% | 140    |  0.284% | 92     |  0.258% | 
 | 66   | Lumineon           |  0.14979% | 121    |  0.245% | 84     |  0.236% | 
 | 67   | Mantyke            |  0.12643% | 66     |  0.134% | 53     |  0.149% | 
 | 68   | Luvdisc            |  0.11900% | 123    |  0.249% | 103    |  0.289% | 
 | 69   | Seadra             |  0.07675% | 71     |  0.144% | 53     |  0.149% | 
 | 70   | Magikarp           |  0.07424% | 57     |  0.115% | 43     |  0.121% | 
 | 71   | Psyduck            |  0.06001% | 56     |  0.113% | 43     |  0.121% | 
 | 72   | Prinplup           |  0.05680% | 35     |  0.071% | 31     |  0.087% | 
 | 73   | Croconaw           |  0.05531% | 60     |  0.122% | 44     |  0.123% | 
 | 74   | Tentacool          |  0.05310% | 22     |  0.045% | 11     |  0.031% | 
 | 75   | Wooper             |  0.05183% | 20     |  0.041% | 16     |  0.045% | 
 | 76   | Phione             |  0.05157% | 28     |  0.057% | 17     |  0.048% | 
 | 77   | Clamperl           |  0.04736% | 36     |  0.073% | 28     |  0.079% | 
 | 78   | Marshtomp          |  0.04273% | 35     |  0.071% | 26     |  0.073% | 
 | 79   | Skrelp             |  0.03814% | 22     |  0.045% | 14     |  0.039% | 
 | 80   | Sealeo             |  0.03245% | 24     |  0.049% | 20     |  0.056% | 
 | 81   | Wingull            |  0.03209% | 32     |  0.065% | 25     |  0.070% | 
 | 82   | Dewott             |  0.03200% | 20     |  0.041% | 16     |  0.045% | 
 | 83   | Lombre             |  0.03094% | 29     |  0.059% | 18     |  0.050% | 
 | 84   | Squirtle           |  0.03071% | 27     |  0.055% | 17     |  0.048% | 
 | 85   | Frillish           |  0.02543% | 14     |  0.028% | 9      |  0.025% | 
 | 86   | Tirtouga           |  0.02510% | 16     |  0.032% | 14     |  0.039% | 
 | 87   | Poliwhirl          |  0.02480% | 17     |  0.034% | 13     |  0.036% | 
 | 88   | Ducklett           |  0.02187% | 15     |  0.030% | 13     |  0.036% | 
 | 89   | Staryu             |  0.02184% | 17     |  0.034% | 9      |  0.025% | 
 | 90   | Marill             |  0.02147% | 13     |  0.026% | 8      |  0.022% | 
 | 91   | Seel               |  0.01985% | 15     |  0.030% | 12     |  0.034% | 
 | 92   | Chinchou           |  0.01979% | 14     |  0.028% | 12     |  0.034% | 
 | 93   | Totodile           |  0.01936% | 27     |  0.055% | 24     |  0.067% | 
 | 94   | Wailmer            |  0.01923% | 12     |  0.024% | 8      |  0.022% | 
 | 95   | Omanyte            |  0.01834% | 15     |  0.030% | 13     |  0.036% | 
