 Total battles: 119351
 Avg. weight/team: 0.103
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mesprit            | 24.47225% | 30754  | 12.884% | 25419  | 14.006% | 
 | 2    | Hitmonchan         | 20.11099% | 37777  | 15.826% | 28593  | 15.754% | 
 | 3    | Xatu               | 18.21144% | 29347  | 12.294% | 23034  | 12.691% | 
 | 4    | Lanturn            | 17.63435% | 31036  | 13.002% | 24283  | 13.380% | 
 | 5    | Liepard            | 16.13786% | 29962  | 12.552% | 24785  | 13.656% | 
 | 6    | Skuntank           | 15.37222% | 20522  |  8.597% | 16063  |  8.851% | 
 | 7    | Steelix            | 14.99254% | 23437  |  9.819% | 19912  | 10.971% | 
 | 8    | Hariyama           | 14.12847% | 22632  |  9.481% | 18146  |  9.998% | 
 | 9    | Magmortar          | 13.39218% | 33097  | 13.865% | 24233  | 13.352% | 
 | 10   | Garbodor           | 13.23699% | 20103  |  8.422% | 16393  |  9.032% | 
 | 11   | Rhydon             | 12.84627% | 20834  |  8.728% | 16308  |  8.986% | 
 | 12   | Vileplume          | 12.50427% | 20830  |  8.726% | 16176  |  8.913% | 
 | 13   | Scyther            | 12.22779% | 28986  | 12.143% | 22070  | 12.160% | 
 | 14   | Tauros             | 11.87216% | 22664  |  9.495% | 15849  |  8.733% | 
 | 15   | Rotom              | 11.66795% | 15959  |  6.686% | 12912  |  7.114% | 
 | 16   | Audino-Mega        | 11.58244% | 31020  | 12.995% | 21186  | 11.673% | 
 | 17   | Archeops           | 10.73306% | 22826  |  9.563% | 18465  | 10.174% | 
 | 18   | Shiftry            | 10.32314% | 17795  |  7.455% | 13416  |  7.392% | 
 | 19   | Weezing            | 10.14571% | 26036  | 10.907% | 20965  | 11.551% | 
 | 20   | Swellow            |  9.99384% | 26630  | 11.156% | 19403  | 10.691% | 
 | 21   | Malamar            |  9.59487% | 29345  | 12.294% | 22611  | 12.458% | 
 | 22   | Pyroar             |  9.47753% | 24604  | 10.307% | 17754  |  9.782% | 
 | 23   | Samurott           |  9.33535% | 15741  |  6.594% | 11717  |  6.456% | 
 | 24   | Gastrodon          |  8.47797% | 22613  |  9.473% | 17415  |  9.595% | 
 | 25   | Claydol            |  7.79991% | 22874  |  9.583% | 18202  | 10.029% | 
 | 26   | Charizard          |  7.69409% | 25064  | 10.500% | 18516  | 10.202% | 
 | 27   | Mismagius          |  7.65346% | 24292  | 10.177% | 18100  |  9.973% | 
 | 28   | Vivillon           |  7.65220% | 20022  |  8.388% | 14674  |  8.085% | 
 | 29   | Jynx               |  7.54161% | 15354  |  6.432% | 11137  |  6.136% | 
 | 30   | Aurorus            |  7.18390% | 15546  |  6.513% | 11748  |  6.473% | 
 | 31   | Lilligant          |  7.10578% | 16306  |  6.831% | 11454  |  6.311% | 
 | 32   | Mantine            |  7.06869% | 15929  |  6.673% | 12452  |  6.861% | 
 | 33   | Regirock           |  6.78373% | 15232  |  6.381% | 12260  |  6.755% | 
 | 34   | Omastar            |  6.60838% | 12767  |  5.349% | 9516   |  5.243% | 
 | 35   | Miltank            |  6.24116% | 19622  |  8.220% | 14602  |  8.046% | 
 | 36   | Gurdurr            |  6.15540% | 12469  |  5.224% | 9868   |  5.437% | 
 | 37   | Golurk             |  6.11855% | 17690  |  7.411% | 14151  |  7.797% | 
 | 38   | Electivire         |  6.10273% | 29056  | 12.172% | 20616  | 11.359% | 
 | 39   | Kabutops           |  6.05719% | 12982  |  5.439% | 9407   |  5.183% | 
 | 40   | Ludicolo           |  5.71755% | 15418  |  6.459% | 11636  |  6.411% | 
 | 41   | Aggron             |  5.64591% | 21447  |  8.985% | 16471  |  9.075% | 
 | 42   | Kecleon            |  5.52464% | 13754  |  5.762% | 10828  |  5.966% | 
 | 43   | Haunter            |  5.47718% | 18809  |  7.880% | 13954  |  7.688% | 
 | 44   | Kangaskhan         |  5.43822% | 10247  |  4.293% | 8092   |  4.459% | 
 | 45   | Zangoose           |  5.40454% | 16375  |  6.860% | 11667  |  6.428% | 
 | 46   | Primeape           |  4.89162% | 13009  |  5.450% | 9992   |  5.505% | 
