 Total battles: 2826944
 Avg. weight/team: 0.038
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 35.76854% | 962285 | 17.020% | 795494 | 19.080% | 
 | 2    | Latios             | 21.05592% | 548837 |  9.707% | 382290 |  9.169% | 
 | 3    | Excadrill          | 18.96835% | 656252 | 11.607% | 473208 | 11.350% | 
 | 4    | Clefable           | 18.57329% | 641156 | 11.340% | 474080 | 11.371% | 
 | 5    | Rotom-Wash         | 17.46662% | 713431 | 12.618% | 580540 | 13.924% | 
 | 6    | Heatran            | 17.26509% | 648286 | 11.466% | 521478 | 12.508% | 
 | 7    | Keldeo             | 16.45243% | 450742 |  7.972% | 334665 |  8.027% | 
 | 8    | Garchomp           | 15.92013% | 645956 | 11.425% | 502253 | 12.046% | 
 | 9    | Tyranitar          | 14.21200% | 563296 |  9.963% | 433337 | 10.393% | 
 | 10   | Talonflame         | 13.52265% | 632560 | 11.188% | 451397 | 10.827% | 
 | 11   | Ferrothorn         | 10.87196% | 669390 | 11.839% | 552966 | 13.263% | 
 | 12   | Scizor-Mega        | 10.73121% | 339229 |  6.000% | 252636 |  6.059% | 
 | 13   | Bisharp            | 10.47840% | 487895 |  8.629% | 340383 |  8.164% | 
 | 14   | Skarmory           | 10.17993% | 426748 |  7.548% | 346821 |  8.318% | 
 | 15   | Tornadus-Therian   |  9.76230% | 229290 |  4.055% | 174624 |  4.188% | 
 | 16   | Manaphy            |  9.58499% | 251054 |  4.440% | 187587 |  4.499% | 
 | 17   | Lopunny-Mega       |  9.34905% | 397643 |  7.033% | 308027 |  7.388% | 
 | 18   | Azumarill          |  9.33291% | 519379 |  9.186% | 388049 |  9.307% | 
 | 19   | Jirachi            |  9.23876% | 285143 |  5.043% | 216578 |  5.195% | 
 | 20   | Weavile            |  9.12474% | 514256 |  9.096% | 366540 |  8.791% | 
