 Total battles: 48019
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 41.84702% | 33315  | 34.689% | 28576  | 37.348% | 
 | 2    | Latios             | 24.72785% | 20179  | 21.011% | 15198  | 19.864% | 
 | 3    | Excadrill          | 19.26498% | 16608  | 17.293% | 12466  | 16.293% | 
 | 4    | Clefable           | 18.64551% | 15136  | 15.760% | 12297  | 16.072% | 
 | 5    | Talonflame         | 17.38028% | 12479  | 12.994% | 9377   | 12.256% | 
 | 6    | Heatran            | 17.11389% | 13872  | 14.444% | 11733  | 15.335% | 
 | 7    | Keldeo             | 16.53587% | 16660  | 17.347% | 13052  | 17.059% | 
 | 8    | Manaphy            | 16.45290% | 8950   |  9.319% | 7078   |  9.251% | 
 | 9    | Rotom-Wash         | 16.33569% | 15732  | 16.381% | 13539  | 17.695% | 
 | 10   | Garchomp           | 16.22923% | 13911  | 14.485% | 11795  | 15.416% | 
 | 11   | Skarmory           | 14.69312% | 8108   |  8.442% | 7017   |  9.171% | 
 | 12   | Medicham-Mega      | 14.40896% | 9789   | 10.193% | 8504   | 11.115% | 
 | 13   | Scizor-Mega        | 13.76887% | 9293   |  9.676% | 7512   |  9.818% | 
 | 14   | Bisharp            | 13.28547% | 11422  | 11.893% | 8489   | 11.095% | 
 | 15   | Zapdos             | 13.07823% | 6499   |  6.767% | 5389   |  7.043% | 
 | 16   | Ferrothorn         | 12.84952% | 10109  | 10.526% | 8797   | 11.498% | 
 | 17   | Tyranitar          | 12.79273% | 12721  | 13.246% | 10220  | 13.357% | 
 | 18   | Tornadus-Therian   | 12.61309% | 9442   |  9.832% | 7673   | 10.028% | 
 | 19   | Azelf              | 10.73694% | 6159   |  6.413% | 5873   |  7.676% | 
 | 20   | Dragonite          | 10.51239% | 7903   |  8.229% | 5520   |  7.215% | 
 | 21   | Pinsir-Mega        | 10.38957% | 5538   |  5.766% | 4049   |  5.292% | 
 | 22   | Jirachi            | 10.03674% | 10468  | 10.900% | 8662   | 11.321% | 
 | 23   | Chansey            |  9.76610% | 4430   |  4.613% | 3526   |  4.608% | 
 | 24   | Weavile            |  9.20688% | 9240   |  9.621% | 6942   |  9.073% | 
 | 25   | Tangrowth          |  8.80774% | 5936   |  6.181% | 4975   |  6.502% | 
 | 26   | Dugtrio            |  8.78472% | 2259   |  2.352% | 1704   |  2.227% | 
 | 27   | Starmie            |  8.39287% | 8979   |  9.349% | 7005   |  9.155% | 
 | 28   | Thundurus          |  8.13870% | 7564   |  7.876% | 5885   |  7.692% | 
 | 29   | Lopunny-Mega       |  7.99790% | 8130   |  8.465% | 6684   |  8.736% | 
 | 30   | Venusaur-Mega      |  7.77870% | 3238   |  3.372% | 2602   |  3.401% | 
 | 31   | Magnezone          |  6.38411% | 5254   |  5.471% | 4254   |  5.560% | 
 | 32   | Metagross-Mega     |  6.32372% | 6718   |  6.995% | 5235   |  6.842% | 
 | 33   | Diancie-Mega       |  6.28305% | 6241   |  6.498% | 5278   |  6.898% | 
 | 34   | Amoonguss          |  6.25469% | 5072   |  5.281% | 4079   |  5.331% | 
 | 35   | Azumarill          |  6.11030% | 8856   |  9.221% | 6916   |  9.039% | 
 | 36   | Kyurem-Black       |  6.08722% | 6634   |  6.908% | 5045   |  6.594% | 
 | 37   | Klefki             |  5.17979% | 3636   |  3.786% | 3089   |  4.037% | 
 | 38   | Gengar             |  5.13586% | 8089   |  8.423% | 6065   |  7.927% | 
 | 39   | Latias             |  4.43280% | 5624   |  5.856% | 4165   |  5.444% | 
 | 40   | Slowbro            |  4.24996% | 4201   |  4.374% | 3399   |  4.442% | 
 | 41   | Slowbro-Mega       |  4.09854% | 1759   |  1.832% | 1435   |  1.876% | 
 | 42   | Hydreigon          |  4.07069% | 2526   |  2.630% | 1997   |  2.610% | 
 | 43   | Alakazam-Mega      |  3.97441% | 2684   |  2.795% | 2015   |  2.634% | 
 | 44   | Serperior          |  3.92988% | 6552   |  6.822% | 5027   |  6.570% | 
 | 45   | Breloom            |  3.84943% | 5018   |  5.225% | 3807   |  4.976% | 
 | 46   | Cresselia          |  3.65793% | 834    |  0.868% | 666    |  0.870% | 
 | 47   | Mew                |  3.59133% | 4195   |  4.368% | 3496   |  4.569% | 
 | 48   | Latias-Mega        |  3.57105% | 1669   |  1.738% | 1334   |  1.744% | 
 | 49   | Volcanion          |  3.40256% | 4522   |  4.709% | 3674   |  4.802% | 
 | 50   | Suicune            |  3.21528% | 2025   |  2.109% | 1566   |  2.047% | 
 | 51   | Manectric-Mega     |  3.13300% | 4007   |  4.172% | 3315   |  4.333% | 
 | 52   | Gardevoir-Mega     |  3.07638% | 3819   |  3.977% | 2998   |  3.918% | 
 | 53   | Heracross-Mega     |  3.04136% | 3556   |  3.703% | 2564   |  3.351% | 
 | 54   | Reuniclus          |  2.84315% | 1015   |  1.057% | 804    |  1.051% | 
 | 55   | Hippowdon          |  2.60191% | 3646   |  3.796% | 3168   |  4.141% | 
 | 56   | Diggersby          |  2.54155% | 1872   |  1.949% | 1454   |  1.900% | 
 | 57   | Raikou             |  2.46326% | 3798   |  3.955% | 3004   |  3.926% | 
 | 58   | Gliscor            |  2.43178% | 4663   |  4.855% | 3703   |  4.840% | 
 | 59   | Dragalge           |  2.34227% | 800    |  0.833% | 646    |  0.844% | 
 | 60   | Charizard-Mega-X   |  2.25309% | 5035   |  5.243% | 3783   |  4.944% | 
 | 61   | Terrakion          |  2.07886% | 3091   |  3.219% | 2295   |  3.000% | 
 | 62   | Crawdaunt          |  2.05056% | 1734   |  1.806% | 1303   |  1.703% | 
 | 63   | Conkeldurr         |  2.03819% | 1640   |  1.708% | 1322   |  1.728% | 
 | 64   | Charizard-Mega-Y   |  1.95931% | 4542   |  4.729% | 3654   |  4.776% | 
 | 65   | Kingdra            |  1.95140% | 1563   |  1.627% | 1118   |  1.461% | 
 | 66   | Politoed           |  1.88736% | 1832   |  1.908% | 1693   |  2.213% | 
 | 67   | Volcarona          |  1.86871% | 2663   |  2.773% | 1962   |  2.564% | 
 | 68   | Jellicent          |  1.66727% | 729    |  0.759% | 609    |  0.796% | 
 | 69   | Alomomola          |  1.47930% | 628    |  0.654% | 501    |  0.655% | 
 | 70   | Nidoking           |  1.41987% | 1814   |  1.889% | 1453   |  1.899% | 
 | 71   | Altaria-Mega       |  1.29967% | 2039   |  2.123% | 1561   |  2.040% | 
 | 72   | Scizor             |  1.26485% | 4409   |  4.591% | 3441   |  4.497% | 
 | 73   | Thundurus-Therian  |  1.25779% | 1524   |  1.587% | 1146   |  1.498% | 
 | 74   | Swampert-Mega      |  1.22412% | 1224   |  1.274% | 962    |  1.257% | 
 | 75   | Tentacruel         |  1.18260% | 2422   |  2.522% | 1995   |  2.607% | 
 | 76   | Scolipede          |  1.16530% | 2250   |  2.343% | 2000   |  2.614% | 
