 Total battles: 120686
 Avg. weight/team: 0.554
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Golem              | 13.85395% | 31042  | 12.861% | 26841  | 14.802% | 
 | 2    | Monferno           | 12.62732% | 26630  | 11.033% | 20470  | 11.288% | 
 | 3    | Floatzel           | 11.03886% | 24224  | 10.036% | 17888  |  9.865% | 
 | 4    | Cacturne           | 10.05688% | 23004  |  9.531% | 16905  |  9.322% | 
 | 5    | Leafeon            |  9.87444% | 21074  |  8.731% | 15868  |  8.751% | 
 | 6    | Armaldo            |  9.18187% | 21154  |  8.764% | 16813  |  9.272% | 
 | 7    | Muk                |  8.21525% | 19044  |  7.890% | 14460  |  7.974% | 
 | 8    | Dusknoir           |  8.20376% | 19991  |  8.282% | 15587  |  8.596% | 
 | 9    | Avalugg            |  7.94204% | 18965  |  7.857% | 14221  |  7.842% | 
 | 10   | Stoutland          |  7.85932% | 16277  |  6.744% | 12015  |  6.626% | 
 | 11   | Raichu             |  7.80980% | 18735  |  7.762% | 13841  |  7.633% | 
 | 12   | Mr. Mime           |  7.67849% | 17383  |  7.202% | 11774  |  6.493% | 
 | 13   | Ampharos           |  7.52181% | 18135  |  7.513% | 13714  |  7.563% | 
 | 14   | Arbok              |  7.45039% | 18967  |  7.858% | 13703  |  7.557% | 
 | 15   | Bouffalant         |  7.28697% | 16655  |  6.900% | 12310  |  6.788% | 
 | 16   | Zebstrika          |  7.16446% | 15693  |  6.502% | 11693  |  6.448% | 
 | 17   | Rotom-Frost        |  7.15396% | 14847  |  6.151% | 11781  |  6.497% | 
 | 18   | Ninetales          |  6.98793% | 16408  |  6.798% | 11911  |  6.568% | 
 | 19   | Lapras             |  6.78775% | 16805  |  6.962% | 12435  |  6.857% | 
 | 20   | Mawile             |  6.66059% | 14031  |  5.813% | 11227  |  6.191% | 
 | 21   | Marowak            |  6.62111% | 16103  |  6.671% | 12590  |  6.943% | 
 | 22   | Dodrio             |  6.60309% | 15213  |  6.303% | 10874  |  5.997% | 
 | 23   | Flareon            |  6.39967% | 16354  |  6.775% | 12048  |  6.644% | 
 | 24   | Chatot             |  6.34658% | 14761  |  6.115% | 10382  |  5.725% | 
 | 25   | Electrode          |  6.24223% | 14193  |  5.880% | 11171  |  6.160% | 
 | 26   | Kadabra            |  6.15915% | 14651  |  6.070% | 9816   |  5.413% | 
 | 27   | Gourgeist-Super    |  6.13832% | 14096  |  5.840% | 11019  |  6.077% | 
 | 28   | Probopass          |  6.13071% | 13574  |  5.624% | 11475  |  6.328% | 
 | 29   | Torkoal            |  6.10541% | 13993  |  5.797% | 11693  |  6.448% | 
 | 30   | Articuno           |  5.98174% | 15901  |  6.588% | 11422  |  6.299% | 
 | 31   | Clefairy           |  5.96134% | 13301  |  5.511% | 9753   |  5.378% | 
 | 32   | Rampardos          |  5.84053% | 12924  |  5.354% | 9348   |  5.155% | 
 | 33   | Lumineon           |  5.83560% | 11834  |  4.903% | 9524   |  5.252% | 
 | 34   | Rapidash           |  5.80374% | 14152  |  5.863% | 10257  |  5.656% | 
 | 35   | Altaria            |  5.54322% | 14673  |  6.079% | 10236  |  5.645% | 
 | 36   | Ursaring           |  5.50453% | 13119  |  5.435% | 9390   |  5.178% | 
 | 37   | Roselia            |  5.49324% | 11767  |  4.875% | 9256   |  5.104% | 
 | 38   | Audino             |  5.11884% | 11734  |  4.861% | 8844   |  4.877% | 
 | 39   | Drifblim           |  5.11490% | 13217  |  5.476% | 9741   |  5.372% | 
 | 40   | Misdreavus         |  5.07968% | 10550  |  4.371% | 8251   |  4.550% | 
 | 41   | Ninjask            |  4.95113% | 11984  |  4.965% | 9589   |  5.288% | 
 | 42   | Crustle            |  4.89232% | 11665  |  4.833% | 9333   |  5.147% | 
 | 43   | Smeargle           |  4.81644% | 11728  |  4.859% | 10013  |  5.522% | 
 | 44   | Cryogonal          |  4.75838% | 10697  |  4.432% | 7793   |  4.298% | 
 | 45   | Kingler            |  4.73434% | 11270  |  4.669% | 8145   |  4.492% | 
 | 46   | Grumpig            |  4.72459% | 10014  |  4.149% | 7370   |  4.064% | 
 | 47   | Ditto              |  4.66429% | 12284  |  5.089% | 9072   |  5.003% | 
 | 48   | Meowstic           |  4.61872% | 11974  |  4.961% | 9006   |  4.966% | 
 | 49   | Stunfisk           |  4.60894% | 9470   |  3.923% | 8081   |  4.456% | 
 | 50   | Basculin           |  4.53035% | 10813  |  4.480% | 7963   |  4.391% | 
 | 51   | Tangela            |  4.47896% | 9797   |  4.059% | 7660   |  4.224% | 
 | 52   | Pelipper           |  4.37279% | 8937   |  3.703% | 7059   |  3.893% | 
 | 53   | Camerupt           |  4.34960% | 10173  |  4.215% | 8157   |  4.498% | 
 | 54   | Gabite             |  4.29393% | 9927   |  4.113% | 8155   |  4.497% | 
 | 55   | Beheeyem           |  4.29218% | 10395  |  4.307% | 7168   |  3.953% | 
 | 56   | Leavanny           |  4.28639% | 10009  |  4.147% | 8590   |  4.737% | 
 | 57   | Regice             |  4.26175% | 10279  |  4.259% | 7440   |  4.103% | 
 | 58   | Luxray             |  4.23251% | 11283  |  4.675% | 8334   |  4.596% | 
 | 59   | Persian            |  4.07340% | 10844  |  4.493% | 8357   |  4.609% | 
 | 60   | Prinplup           |  4.04787% | 8308   |  3.442% | 7057   |  3.892% | 
 | 61   | Dusclops           |  3.83582% | 9474   |  3.925% | 7320   |  4.037% | 
 | 62   | Bastiodon          |  3.77994% | 10677  |  4.423% | 9007   |  4.967% | 
 | 63   | Metang             |  3.76397% | 8521   |  3.530% | 7057   |  3.892% | 
 | 64   | Slaking            |  3.75711% | 9430   |  3.907% | 6992   |  3.856% | 
 | 65   | Pawniard           |  3.75076% | 7819   |  3.239% | 5902   |  3.255% | 
