 Total battles: 5462324
 Avg. weight/team: 0.042
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Heatran            |  1.76359% | 188911 |  1.729% | 141754 |  1.816% | 
 | 2    | Haxorus            |  1.74811% | 189710 |  1.737% | 127000 |  1.627% | 
 | 3    | Dialga             |  1.74658% | 187723 |  1.718% | 132450 |  1.697% | 
 | 4    | Kyurem             |  1.74367% | 187310 |  1.715% | 125857 |  1.612% | 
 | 5    | Weavile            |  1.74326% | 189113 |  1.731% | 134462 |  1.722% | 
 | 6    | Scrafty            |  1.74222% | 187722 |  1.718% | 134043 |  1.717% | 
 | 7    | Terrakion          |  1.74219% | 188676 |  1.727% | 130060 |  1.666% | 
 | 8    | Aurorus            |  1.73709% | 188314 |  1.724% | 129209 |  1.655% | 
 | 9    | Regirock           |  1.73650% | 187541 |  1.717% | 131928 |  1.690% | 
 | 10   | Golurk             |  1.73589% | 188141 |  1.722% | 138300 |  1.772% | 
 | 11   | Mismagius          |  1.73526% | 188274 |  1.723% | 135263 |  1.733% | 
 | 12   | Tyrantrum          |  1.73513% | 188844 |  1.729% | 127909 |  1.639% | 
 | 13   | Rhyperior          |  1.73458% | 186212 |  1.705% | 134171 |  1.719% | 
 | 14   | Kyurem-White       |  1.73370% | 186241 |  1.705% | 125740 |  1.611% | 
 | 15   | Heliolisk          |  1.73315% | 186399 |  1.706% | 131819 |  1.689% | 
 | 16   | Cobalion           |  1.73290% | 186876 |  1.711% | 133428 |  1.709% | 
 | 17   | Froslass           |  1.73195% | 190484 |  1.744% | 136772 |  1.752% | 
 | 18   | Krookodile         |  1.72982% | 187826 |  1.719% | 135910 |  1.741% | 
 | 19   | Hydreigon          |  1.72749% | 188324 |  1.724% | 130604 |  1.673% | 
 | 20   | Emboar             |  1.72550% | 188084 |  1.722% | 133985 |  1.716% | 
 | 21   | Bisharp            |  1.72531% | 187467 |  1.716% | 133875 |  1.715% | 
 | 22   | Spiritomb          |  1.72447% | 188470 |  1.725% | 136596 |  1.750% | 
 | 23   | Zekrom             |  1.72412% | 187410 |  1.715% | 129948 |  1.665% | 
 | 24   | Zygarde            |  1.72358% | 186309 |  1.705% | 130363 |  1.670% | 
 | 25   | Goodra             |  1.72324% | 188792 |  1.728% | 132109 |  1.692% | 
 | 26   | Chandelure         |  1.72248% | 188587 |  1.726% | 136475 |  1.748% | 
 | 27   | Mamoswine          |  1.72230% | 188458 |  1.725% | 134517 |  1.723% | 
 | 28   | Registeel          |  1.72188% | 189279 |  1.733% | 138052 |  1.768% | 
 | 29   | Sandslash          |  1.72175% | 186839 |  1.710% | 130965 |  1.678% | 
 | 30   | Reshiram           |  1.72021% | 187255 |  1.714% | 130383 |  1.670% | 
 | 31   | Whimsicott         |  1.71918% | 186646 |  1.708% | 131382 |  1.683% | 
 | 32   | Skuntank           |  1.71902% | 187664 |  1.718% | 132897 |  1.702% | 
 | 33   | Kyurem-Black       |  1.71893% | 187651 |  1.718% | 127172 |  1.629% | 
 | 34   | Volcarona          |  1.71789% | 186076 |  1.703% | 130694 |  1.674% | 
 | 35   | Klefki             |  1.71740% | 187968 |  1.721% | 137000 |  1.755% | 
 | 36   | Pyroar             |  1.71693% | 186657 |  1.709% | 134352 |  1.721% | 
 | 37   | Drapion            |  1.71642% | 187184 |  1.713% | 135100 |  1.731% | 
 | 38   | Giratina           |  1.71610% | 187454 |  1.716% | 132476 |  1.697% | 
 | 39   | Klinklang          |  1.71206% | 189428 |  1.734% | 136464 |  1.748% | 
 | 40   | Magnezone          |  1.71161% | 188030 |  1.721% | 137861 |  1.766% | 
 | 41   | Toxicroak          |  1.71076% | 188479 |  1.725% | 134584 |  1.724% | 
 | 42   | Nidoqueen          |  1.70959% | 187055 |  1.712% | 135029 |  1.730% | 
 | 43   | Nidoking           |  1.70836% | 186582 |  1.708% | 133703 |  1.713% | 
 | 44   | Chesnaught         |  1.70614% | 184694 |  1.691% | 129911 |  1.664% | 
 | 45   | Cofagrigus         |  1.70597% | 187775 |  1.719% | 136544 |  1.749% | 
 | 46   | Liepard            |  1.70570% | 184528 |  1.689% | 127812 |  1.637% | 
 | 47   | Flygon             |  1.70511% | 185609 |  1.699% | 130933 |  1.677% | 
 | 48   | Giratina-Origin    |  1.70498% | 187533 |  1.717% | 134105 |  1.718% | 
 | 49   | Hippowdon          |  1.70482% | 187932 |  1.720% | 135147 |  1.731% | 
 | 50   | Dragalge           |  1.70334% | 188246 |  1.723% | 129805 |  1.663% | 
 | 51   | Torterra           |  1.70270% | 184393 |  1.688% | 128746 |  1.649% | 
 | 52   | Darkrai            |  1.70157% | 184315 |  1.687% | 129821 |  1.663% | 
 | 53   | Excadrill          |  1.70101% | 185528 |  1.698% | 131235 |  1.681% | 
 | 54   | Druddigon          |  1.70093% | 188478 |  1.725% | 129089 |  1.654% | 
 | 55   | Shuckle            |  1.70065% | 185118 |  1.694% | 137582 |  1.762% | 
 | 56   | Malamar            |  1.70042% | 183205 |  1.677% | 130542 |  1.672% | 
