 Total battles: 365004
 Avg. weight/team: 0.13
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Druddigon          |  1.81600% | 12756  |  1.747% | 0      |  0.000% | 
 | 2    | Cofagrigus         |  1.79087% | 12706  |  1.741% | 0      |  0.000% | 
 | 3    | Golurk             |  1.77430% | 12706  |  1.741% | 0      |  0.000% | 
 | 4    | Froslass           |  1.77355% | 12897  |  1.767% | 0      |  0.000% | 
 | 5    | Bisharp            |  1.77294% | 12549  |  1.719% | 0      |  0.000% | 
 | 6    | Hippowdon          |  1.76973% | 12632  |  1.730% | 0      |  0.000% | 
 | 7    | Aromatisse         |  1.76934% | 12382  |  1.696% | 0      |  0.000% | 
 | 8    | Shiftry            |  1.76632% | 12448  |  1.705% | 0      |  0.000% | 
 | 9    | Kyurem             |  1.76384% | 12681  |  1.737% | 0      |  0.000% | 
 | 10   | Regirock           |  1.75673% | 12609  |  1.727% | 0      |  0.000% | 
 | 11   | Giratina-Origin    |  1.75399% | 12502  |  1.713% | 0      |  0.000% | 
 | 12   | Scrafty            |  1.74910% | 12464  |  1.707% | 0      |  0.000% | 
 | 13   | Doublade           |  1.74479% | 12594  |  1.725% | 0      |  0.000% | 
 | 14   | Klefki             |  1.74340% | 12727  |  1.743% | 0      |  0.000% | 
 | 15   | Skuntank           |  1.74066% | 12467  |  1.708% | 0      |  0.000% | 
 | 16   | Giratina           |  1.74017% | 12489  |  1.711% | 0      |  0.000% | 
 | 17   | Weavile            |  1.73920% | 12806  |  1.754% | 0      |  0.000% | 
 | 18   | Chandelure         |  1.73903% | 12740  |  1.745% | 0      |  0.000% | 
 | 19   | Xerneas            |  1.73890% | 12173  |  1.668% | 0      |  0.000% | 
 | 20   | Excadrill          |  1.73711% | 12377  |  1.695% | 0      |  0.000% | 
 | 21   | Heatran            |  1.73593% | 12430  |  1.703% | 0      |  0.000% | 
 | 22   | Breloom            |  1.73558% | 12281  |  1.682% | 0      |  0.000% | 
 | 23   | Jynx               |  1.73188% | 12415  |  1.701% | 0      |  0.000% | 
 | 24   | Jellicent          |  1.73005% | 12274  |  1.681% | 0      |  0.000% | 
 | 25   | Tyrantrum          |  1.72971% | 12594  |  1.725% | 0      |  0.000% | 
 | 26   | Spiritomb          |  1.72837% | 12550  |  1.719% | 0      |  0.000% | 
 | 27   | Reshiram           |  1.72798% | 12537  |  1.717% | 0      |  0.000% | 
 | 28   | Haxorus            |  1.72703% | 12560  |  1.721% | 0      |  0.000% | 
 | 29   | Delphox            |  1.72680% | 12266  |  1.680% | 0      |  0.000% | 
 | 30   | Aurorus            |  1.72296% | 12686  |  1.738% | 0      |  0.000% | 
 | 31   | Dialga             |  1.72245% | 12459  |  1.707% | 0      |  0.000% | 
 | 32   | Mamoswine          |  1.72082% | 12450  |  1.705% | 0      |  0.000% | 
 | 33   | Sandslash          |  1.71931% | 12490  |  1.711% | 0      |  0.000% | 
 | 34   | Zekrom             |  1.71909% | 12704  |  1.740% | 0      |  0.000% | 
 | 35   | Emboar             |  1.71790% | 12800  |  1.753% | 0      |  0.000% | 
 | 36   | Mismagius          |  1.71770% | 12393  |  1.698% | 0      |  0.000% | 
 | 37   | Rhyperior          |  1.71548% | 12412  |  1.700% | 0      |  0.000% | 
 | 38   | Slurpuff           |  1.71499% | 12338  |  1.690% | 0      |  0.000% | 
 | 39   | Ferrothorn         |  1.71493% | 12530  |  1.716% | 0      |  0.000% | 
 | 40   | Pangoro            |  1.71453% | 12565  |  1.721% | 0      |  0.000% | 
 | 41   | Florges            |  1.71427% | 12352  |  1.692% | 0      |  0.000% | 
 | 42   | Weezing            |  1.71392% | 12422  |  1.702% | 0      |  0.000% | 
 | 43   | Dragalge           |  1.71169% | 12496  |  1.712% | 0      |  0.000% | 
 | 44   | Hydreigon          |  1.70955% | 12530  |  1.716% | 0      |  0.000% | 
 | 45   | Zygarde            |  1.70885% | 12510  |  1.714% | 0      |  0.000% | 
 | 46   | Magnezone          |  1.70779% | 12654  |  1.733% | 0      |  0.000% | 
 | 47   | Toxicroak          |  1.70735% | 12485  |  1.710% | 0      |  0.000% | 
 | 48   | Durant             |  1.70722% | 12221  |  1.674% | 0      |  0.000% | 
 | 49   | Nidoking           |  1.70674% | 12370  |  1.695% | 0      |  0.000% | 
 | 50   | Accelgor           |  1.70484% | 12266  |  1.680% | 0      |  0.000% | 
 | 51   | Torterra           |  1.70343% | 12332  |  1.689% | 0      |  0.000% | 
 | 52   | Goodra             |  1.70222% | 12689  |  1.738% | 0      |  0.000% | 
 | 53   | Mandibuzz          |  1.70185% | 11937  |  1.635% | 0      |  0.000% | 
 | 54   | Claydol            |  1.70126% | 12358  |  1.693% | 0      |  0.000% | 
 | 55   | Shuckle            |  1.70015% | 12444  |  1.705% | 0      |  0.000% | 
 | 56   | Donphan            |  1.69953% | 12398  |  1.698% | 0      |  0.000% | 
 | 57   | Rotom              |  1.69932% | 12387  |  1.697% | 0      |  0.000% | 
 | 58   | Cradily            |  1.69906% | 12471  |  1.708% | 0      |  0.000% | 
 | 59   | Machamp            |  1.69859% | 12104  |  1.658% | 0      |  0.000% | 
 | 60   | Drapion            |  1.69314% | 12611  |  1.728% | 0      |  0.000% | 
 | 61   | Trevenant          |  1.69266% | 12504  |  1.713% | 0      |  0.000% | 
 | 62   | Flygon             |  1.69152% | 12414  |  1.701% | 0      |  0.000% | 
 | 63   | Gastrodon          |  1.69091% | 11919  |  1.633% | 0      |  0.000% | 
 | 64   | Eelektross         |  1.68828% | 11902  |  1.630% | 0      |  0.000% | 
 | 65   | Amoonguss          |  1.68640% | 12288  |  1.683% | 0      |  0.000% | 
 | 66   | Sylveon            |  1.68585% | 12345  |  1.691% | 0      |  0.000% | 
 | 67   | Aegislash          |  1.68566% | 12270  |  1.681% | 0      |  0.000% | 
 | 68   | Nidoqueen          |  1.68479% | 12247  |  1.678% | 0      |  0.000% | 
 | 69   | Hariyama           |  1.68453% | 11909  |  1.631% | 0      |  0.000% | 
 | 70   | Umbreon            |  1.68374% | 12259  |  1.679% | 0      |  0.000% | 
 | 71   | Exeggutor          |  1.68182% | 12210  |  1.673% | 0      |  0.000% | 
 | 72   | Kingdra            |  1.68177% | 11951  |  1.637% | 0      |  0.000% | 
 | 73   | Whimsicott         |  1.68148% | 12320  |  1.688% | 0      |  0.000% | 
 | 74   | Bronzong           |  1.68023% | 12081  |  1.655% | 0      |  0.000% | 
 | 75   | Celebi             |  1.67892% | 12171  |  1.667% | 0      |  0.000% | 
 | 76   | Dugtrio            |  1.67832% | 12441  |  1.704% | 0      |  0.000% | 
 | 77   | Quagsire           |  1.67804% | 11762  |  1.611% | 0      |  0.000% | 
 | 78   | Garbodor           |  1.67778% | 12411  |  1.700% | 0      |  0.000% | 
 | 79   | Hawlucha           |  1.67686% | 11984  |  1.642% | 0      |  0.000% | 
 | 80   | Hitmonlee          |  1.67517% | 12081  |  1.655% | 0      |  0.000% | 
 | 81   | Volcarona          |  1.67507% | 12345  |  1.691% | 0      |  0.000% | 
 | 82   | Electivire         |  1.67409% | 11834  |  1.621% | 0      |  0.000% | 
 | 83   | Infernape          |  1.67306% | 12291  |  1.684% | 0      |  0.000% | 
 | 84   | Palkia             |  1.67184% | 11991  |  1.643% | 0      |  0.000% | 
 | 85   | Diggersby          |  1.67175% | 12209  |  1.672% | 0      |  0.000% | 
 | 86   | Roserade           |  1.67172% | 12150  |  1.664% | 0      |  0.000% | 
 | 87   | Arcanine           |  1.67142% | 11995  |  1.643% | 0      |  0.000% | 
 | 88   | Kyurem-Black       |  1.67091% | 12482  |  1.710% | 0      |  0.000% | 
 | 89   | Scolipede          |  1.67058% | 12250  |  1.678% | 0      |  0.000% | 
 | 90   | Rotom-Heat         |  1.67054% | 12066  |  1.653% | 0      |  0.000% | 
 | 91   | Klinklang          |  1.67035% | 12481  |  1.710% | 0      |  0.000% | 
 | 92   | Liepard            |  1.66884% | 12218  |  1.674% | 0      |  0.000% | 
 | 93   | Darmanitan         |  1.66869% | 11864  |  1.625% | 0      |  0.000% | 
 | 94   | Krookodile         |  1.66847% | 12543  |  1.718% | 0      |  0.000% | 
 | 95   | Heliolisk          |  1.66844% | 12385  |  1.697% | 0      |  0.000% | 
 | 96   | Volcanion          |  1.66638% | 12042  |  1.650% | 0      |  0.000% | 
 | 97   | Sawk               |  1.66519% | 11940  |  1.636% | 0      |  0.000% | 
 | 98   | Pyroar             |  1.66436% | 12302  |  1.685% | 0      |  0.000% | 
 | 99   | Crawdaunt          |  1.66405% | 11925  |  1.634% | 0      |  0.000% | 
 | 100  | Primeape           |  1.66391% | 12187  |  1.669% | 0      |  0.000% | 
 | 101  | Clefable           |  1.66381% | 12196  |  1.671% | 0      |  0.000% | 
 | 102  | Togekiss           |  1.66371% | 11982  |  1.641% | 0      |  0.000% | 
 | 103  | Azumarill          |  1.66355% | 12144  |  1.664% | 0      |  0.000% | 
 | 104  | Empoleon           |  1.66307% | 11963  |  1.639% | 0      |  0.000% | 
 | 105  | Virizion           |  1.66232% | 12359  |  1.693% | 0      |  0.000% | 
 | 106  | Terrakion          |  1.65988% | 12558  |  1.720% | 0      |  0.000% | 
 | 107  | Registeel          |  1.65944% | 12696  |  1.739% | 0      |  0.000% | 
 | 108  | Ludicolo           |  1.65738% | 11685  |  1.601% | 0      |  0.000% | 
 | 109  | Hitmontop          |  1.65735% | 11932  |  1.635% | 0      |  0.000% | 
 | 110  | Meloetta           |  1.65660% | 12074  |  1.654% | 0      |  0.000% | 
 | 111  | Victini            |  1.65627% | 12381  |  1.696% | 0      |  0.000% | 
 | 112  | Archeops           |  1.65587% | 11884  |  1.628% | 0      |  0.000% | 
 | 113  | Granbull           |  1.65483% | 12320  |  1.688% | 0      |  0.000% | 
 | 114  | Zapdos             |  1.65212% | 11861  |  1.625% | 0      |  0.000% | 
 | 115  | Jirachi            |  1.65172% | 12226  |  1.675% | 0      |  0.000% | 
 | 116  | Darkrai            |  1.65158% | 12099  |  1.657% | 0      |  0.000% | 
 | 117  | Landorus           |  1.65047% | 11620  |  1.592% | 0      |  0.000% | 
 | 118  | Escavalier         |  1.64903% | 12245  |  1.677% | 0      |  0.000% | 
 | 119  | Omastar            |  1.64902% | 11735  |  1.608% | 0      |  0.000% | 
 | 120  | Kyurem-White       |  1.64860% | 12466  |  1.708% | 0      |  0.000% | 
 | 121  | Magmortar          |  1.64614% | 11846  |  1.623% | 0      |  0.000% | 
 | 122  | Tornadus-Therian   |  1.64463% | 12031  |  1.648% | 0      |  0.000% | 
 | 123  | Galvantula         |  1.64456% | 12374  |  1.695% | 0      |  0.000% | 
 | 124  | Honchkrow          |  1.64444% | 11989  |  1.642% | 0      |  0.000% | 
 | 125  | Venomoth           |  1.64340% | 12152  |  1.665% | 0      |  0.000% | 
 | 126  | Forretress         |  1.64310% | 12287  |  1.683% | 0      |  0.000% | 
 | 127  | Starmie            |  1.64249% | 11656  |  1.597% | 0      |  0.000% | 
 | 128  | Cloyster           |  1.64133% | 11932  |  1.635% | 0      |  0.000% | 
 | 129  | Cobalion           |  1.63996% | 12536  |  1.717% | 0      |  0.000% | 
 | 130  | Typhlosion         |  1.63598% | 11925  |  1.634% | 0      |  0.000% | 
 | 131  | Rotom-Mow          |  1.63360% | 12048  |  1.650% | 0      |  0.000% | 
 | 132  | Hitmonchan         |  1.63279% | 12107  |  1.658% | 0      |  0.000% | 
 | 133  | Genesect           |  1.63212% | 11907  |  1.631% | 0      |  0.000% | 
 | 134  | Qwilfish           |  1.63188% | 11973  |  1.640% | 0      |  0.000% | 
 | 135  | Dragonite          |  1.63082% | 11897  |  1.630% | 0      |  0.000% | 
 | 136  | Landorus-Therian   |  1.63033% | 11715  |  1.605% | 0      |  0.000% | 
 | 137  | Malamar            |  1.62994% | 12194  |  1.670% | 0      |  0.000% | 
 | 138  | Kabutops           |  1.62651% | 11707  |  1.604% | 0      |  0.000% | 
 | 139  | Skarmory           |  1.62542% | 11805  |  1.617% | 0      |  0.000% | 
 | 140  | Tentacruel         |  1.62514% | 11981  |  1.641% | 0      |  0.000% | 
 | 141  | Keldeo             |  1.62402% | 12034  |  1.648% | 0      |  0.000% | 
 | 142  | Gligar             |  1.62394% | 11781  |  1.614% | 0      |  0.000% | 
 | 143  | Thundurus          |  1.61674% | 11788  |  1.615% | 0      |  0.000% | 
 | 144  | Mienshao           |  1.61606% | 12046  |  1.650% | 0      |  0.000% | 
 | 145  | Staraptor          |  1.61492% | 11606  |  1.590% | 0      |  0.000% | 
 | 146  | Lanturn            |  1.61466% | 11995  |  1.643% | 0      |  0.000% | 
 | 147  | Seismitoad         |  1.61330% | 11919  |  1.633% | 0      |  0.000% | 
 | 148  | Throh              |  1.61319% | 12026  |  1.647% | 0      |  0.000% | 
 | 149  | Conkeldurr         |  1.61235% | 11761  |  1.611% | 0      |  0.000% | 
 | 150  | Moltres            |  1.61158% | 11692  |  1.602% | 0      |  0.000% | 
 | 151  | Tornadus           |  1.60977% | 12158  |  1.665% | 0      |  0.000% | 
 | 152  | Noivern            |  1.60935% | 11920  |  1.633% | 0      |  0.000% | 
 | 153  | Poliwrath          |  1.60605% | 11912  |  1.632% | 0      |  0.000% | 
 | 154  | Swellow            |  1.60596% | 11397  |  1.561% | 0      |  0.000% | 
 | 155  | Victreebel         |  1.60554% | 12122  |  1.661% | 0      |  0.000% | 
 | 156  | Togetic            |  1.60515% | 11957  |  1.638% | 0      |  0.000% | 
 | 157  | Greninja           |  1.60513% | 11883  |  1.628% | 0      |  0.000% | 
 | 158  | Chesnaught         |  1.60500% | 12207  |  1.672% | 0      |  0.000% | 
 | 159  | Talonflame         |  1.60448% | 11679  |  1.600% | 0      |  0.000% | 
 | 160  | Jolteon            |  1.60322% | 11632  |  1.593% | 0      |  0.000% | 
 | 161  | Serperior          |  1.59898% | 11790  |  1.615% | 0      |  0.000% | 
 | 162  | Vileplume          |  1.59813% | 12107  |  1.658% | 0      |  0.000% | 
 | 163  | Thundurus-Therian  |  1.59756% | 11805  |  1.617% | 0      |  0.000% | 
 | 164  | Crobat             |  1.59739% | 11925  |  1.634% | 0      |  0.000% | 
 | 165  | Ho-Oh              |  1.59187% | 11630  |  1.593% | 0      |  0.000% | 
 | 166  | Yveltal            |  1.58889% | 11708  |  1.604% | 0      |  0.000% | 
 | 167  | Barbaracle         |  1.58789% | 11781  |  1.614% | 0      |  0.000% | 
 | 168  | Lugia              |  1.58666% | 11668  |  1.598% | 0      |  0.000% | 
 | 169  | Lilligant          |  1.58626% | 11471  |  1.571% | 0      |  0.000% | 
 | 170  | Entei              |  1.58329% | 11911  |  1.632% | 0      |  0.000% | 
 | 171  | Carracosta         |  1.57607% | 11692  |  1.602% | 0      |  0.000% | 
 | 172  | Shaymin-Sky        |  1.57422% | 11467  |  1.571% | 0      |  0.000% | 
 | 173  | Rotom-Wash         |  1.56916% | 11570  |  1.585% | 0      |  0.000% | 
 | 174  | Gliscor            |  1.56259% | 11704  |  1.603% | 0      |  0.000% | 
 | 175  | Mantine            |  1.56137% | 11332  |  1.552% | 0      |  0.000% | 
 | 176  | Scyther            |  1.55707% | 11218  |  1.537% | 0      |  0.000% | 
 | 177  | Raikou             |  1.55702% | 11797  |  1.616% | 0      |  0.000% | 
 | 178  | Tangrowth          |  1.55339% | 11371  |  1.558% | 0      |  0.000% | 
