 Total battles: 152470
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Giratina-Origin    |  1.77545% | 5414   |  1.775% | 0      |  0.000% | 
 | 2    | Pyroar             |  1.76201% | 5373   |  1.762% | 0      |  0.000% | 
 | 3    | Bisharp            |  1.76160% | 5372   |  1.762% | 0      |  0.000% | 
 | 4    | Toxicroak          |  1.75323% | 5347   |  1.753% | 0      |  0.000% | 
 | 5    | Infernape          |  1.74988% | 5336   |  1.750% | 0      |  0.000% | 
 | 6    | Giratina           |  1.74299% | 5315   |  1.743% | 0      |  0.000% | 
 | 7    | Chandelure         |  1.74291% | 5315   |  1.743% | 0      |  0.000% | 
 | 8    | Druddigon          |  1.73873% | 5302   |  1.739% | 0      |  0.000% | 
 | 9    | Klinklang          |  1.73774% | 5299   |  1.738% | 0      |  0.000% | 
 | 10   | Reshiram           |  1.73610% | 5294   |  1.736% | 0      |  0.000% | 
 | 11   | Golurk             |  1.73512% | 5291   |  1.735% | 0      |  0.000% | 
 | 12   | Mismagius          |  1.73348% | 5286   |  1.733% | 0      |  0.000% | 
 | 13   | Rhyperior          |  1.73282% | 5284   |  1.733% | 0      |  0.000% | 
 | 14   | Hippowdon          |  1.73282% | 5284   |  1.733% | 0      |  0.000% | 
 | 15   | Galvantula         |  1.73249% | 5283   |  1.732% | 0      |  0.000% | 
 | 16   | Registeel          |  1.73151% | 5280   |  1.731% | 0      |  0.000% | 
 | 17   | Shiftry            |  1.73085% | 5278   |  1.731% | 0      |  0.000% | 
 | 18   | Ferrothorn         |  1.72790% | 5269   |  1.728% | 0      |  0.000% | 
 | 19   | Froslass           |  1.72790% | 5269   |  1.728% | 0      |  0.000% | 
 | 20   | Nidoqueen          |  1.72725% | 5267   |  1.727% | 0      |  0.000% | 
 | 21   | Xerneas            |  1.72659% | 5265   |  1.727% | 0      |  0.000% | 
 | 22   | Virizion           |  1.72495% | 5260   |  1.725% | 0      |  0.000% | 
 | 23   | Magnezone          |  1.72331% | 5255   |  1.723% | 0      |  0.000% | 
 | 24   | Tyrantrum          |  1.72298% | 5254   |  1.723% | 0      |  0.000% | 
 | 25   | Cobalion           |  1.72233% | 5252   |  1.722% | 0      |  0.000% | 
 | 26   | Pangoro            |  1.72225% | 5252   |  1.722% | 0      |  0.000% | 
 | 27   | Klefki             |  1.72200% | 5251   |  1.722% | 0      |  0.000% | 
 | 28   | Venomoth           |  1.72069% | 5247   |  1.721% | 0      |  0.000% | 
 | 29   | Goodra             |  1.72003% | 5245   |  1.720% | 0      |  0.000% | 
 | 30   | Volcarona          |  1.71938% | 5243   |  1.719% | 0      |  0.000% | 
 | 31   | Haxorus            |  1.71938% | 5243   |  1.719% | 0      |  0.000% | 
 | 32   | Dialga             |  1.71839% | 5240   |  1.718% | 0      |  0.000% | 
 | 33   | Cradily            |  1.71708% | 5236   |  1.717% | 0      |  0.000% | 
 | 34   | Cofagrigus         |  1.71544% | 5231   |  1.715% | 0      |  0.000% | 
 | 35   | Jynx               |  1.71511% | 5230   |  1.715% | 0      |  0.000% | 
 | 36   | Flygon             |  1.71511% | 5230   |  1.715% | 0      |  0.000% | 
 | 37   | Malamar            |  1.71347% | 5225   |  1.713% | 0      |  0.000% | 
 | 38   | Kyurem-Black       |  1.71216% | 5221   |  1.712% | 0      |  0.000% | 
 | 39   | Donphan            |  1.71183% | 5220   |  1.712% | 0      |  0.000% | 
 | 40   | Poliwrath          |  1.71052% | 5216   |  1.711% | 0      |  0.000% | 
 | 41   | Drapion            |  1.71052% | 5216   |  1.711% | 0      |  0.000% | 
 | 42   | Hydreigon          |  1.70856% | 5210   |  1.709% | 0      |  0.000% | 
 | 43   | Dugtrio            |  1.70757% | 5207   |  1.708% | 0      |  0.000% | 
 | 44   | Umbreon            |  1.70699% | 5206   |  1.707% | 0      |  0.000% | 
 | 45   | Excadrill          |  1.70593% | 5202   |  1.706% | 0      |  0.000% | 
 | 46   | Mamoswine          |  1.70560% | 5201   |  1.706% | 0      |  0.000% | 
 | 47   | Regirock           |  1.70495% | 5199   |  1.705% | 0      |  0.000% | 
 | 48   | Spiritomb          |  1.70298% | 5193   |  1.703% | 0      |  0.000% | 
 | 49   | Doublade           |  1.70200% | 5190   |  1.702% | 0      |  0.000% | 
 | 50   | Zygarde            |  1.70200% | 5190   |  1.702% | 0      |  0.000% | 
 | 51   | Heatran            |  1.70134% | 5188   |  1.701% | 0      |  0.000% | 
 | 52   | Aegislash          |  1.70101% | 5187   |  1.701% | 0      |  0.000% | 
 | 53   | Trevenant          |  1.69970% | 5183   |  1.700% | 0      |  0.000% | 
 | 54   | Aurorus            |  1.69872% | 5180   |  1.699% | 0      |  0.000% | 
 | 55   | Hitmonlee          |  1.69741% | 5176   |  1.697% | 0      |  0.000% | 
 | 56   | Granbull           |  1.69708% | 5175   |  1.697% | 0      |  0.000% | 
 | 57   | Escavalier         |  1.69708% | 5175   |  1.697% | 0      |  0.000% | 
 | 58   | Chesnaught         |  1.69642% | 5173   |  1.696% | 0      |  0.000% | 
 | 59   | Kyurem-White       |  1.69609% | 5172   |  1.696% | 0      |  0.000% | 
 | 60   | Darkrai            |  1.69511% | 5169   |  1.695% | 0      |  0.000% | 
 | 61   | Liepard            |  1.69511% | 5169   |  1.695% | 0      |  0.000% | 
 | 62   | Heliolisk          |  1.69445% | 5168   |  1.695% | 0      |  0.000% | 
 | 63   | Florges            |  1.69249% | 5161   |  1.692% | 0      |  0.000% | 
 | 64   | Sandslash          |  1.69216% | 5160   |  1.692% | 0      |  0.000% | 
 | 65   | Zekrom             |  1.69216% | 5160   |  1.692% | 0      |  0.000% | 
 | 66   | Scrafty            |  1.69183% | 5159   |  1.692% | 0      |  0.000% | 
 | 67   | Terrakion          |  1.68815% | 5148   |  1.688% | 0      |  0.000% | 
 | 68   | Sylveon            |  1.68724% | 5145   |  1.687% | 0      |  0.000% | 
 | 69   | Emboar             |  1.68724% | 5145   |  1.687% | 0      |  0.000% | 
 | 70   | Krookodile         |  1.68626% | 5142   |  1.686% | 0      |  0.000% | 
 | 71   | Claydol            |  1.68626% | 5142   |  1.686% | 0      |  0.000% | 
 | 72   | Whimsicott         |  1.68626% | 5142   |  1.686% | 0      |  0.000% | 
 | 73   | Jirachi            |  1.68462% | 5137   |  1.685% | 0      |  0.000% | 
 | 74   | Nidoking           |  1.68363% | 5134   |  1.684% | 0      |  0.000% | 
 | 75   | Accelgor           |  1.68265% | 5131   |  1.683% | 0      |  0.000% | 
 | 76   | Clefable           |  1.68232% | 5130   |  1.682% | 0      |  0.000% | 
 | 77   | Victini            |  1.68166% | 5128   |  1.682% | 0      |  0.000% | 
 | 78   | Weavile            |  1.68035% | 5124   |  1.680% | 0      |  0.000% | 
 | 79   | Torterra           |  1.67937% | 5121   |  1.679% | 0      |  0.000% | 
 | 80   | Rotom              |  1.67831% | 5118   |  1.678% | 0      |  0.000% | 
 | 81   | Garbodor           |  1.67773% | 5116   |  1.678% | 0      |  0.000% | 
 | 82   | Dragalge           |  1.67707% | 5114   |  1.677% | 0      |  0.000% | 
 | 83   | Ludicolo           |  1.67642% | 5112   |  1.676% | 0      |  0.000% | 
 | 84   | Meloetta           |  1.67518% | 5109   |  1.675% | 0      |  0.000% | 
 | 85   | Kingdra            |  1.67314% | 5102   |  1.673% | 0      |  0.000% | 
 | 86   | Skuntank           |  1.67281% | 5101   |  1.673% | 0      |  0.000% | 
 | 87   | Rotom-Mow          |  1.67248% | 5100   |  1.672% | 0      |  0.000% | 
 | 88   | Victreebel         |  1.67059% | 5095   |  1.671% | 0      |  0.000% | 
 | 89   | Amoonguss          |  1.66953% | 5091   |  1.670% | 0      |  0.000% | 
 | 90   | Bronzong           |  1.66789% | 5086   |  1.668% | 0      |  0.000% | 
 | 91   | Roserade           |  1.66691% | 5083   |  1.667% | 0      |  0.000% | 
 | 92   | Breloom            |  1.66658% | 5082   |  1.667% | 0      |  0.000% | 
 | 93   | Scolipede          |  1.66658% | 5082   |  1.667% | 0      |  0.000% | 
 | 94   | Throh              |  1.66592% | 5080   |  1.666% | 0      |  0.000% | 
 | 95   | Vileplume          |  1.66560% | 5079   |  1.666% | 0      |  0.000% | 
