 Total battles: 23099
 Avg. weight/team: 0.557
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Azumarill          | 36.87867% | 16513  | 35.744% | 12150  | 35.189% | 
 | 2    | Talonflame         | 29.84212% | 12810  | 27.728% | 9426   | 27.300% | 
 | 3    | Doublade           | 25.83626% | 9931   | 21.497% | 7719   | 22.356% | 
 | 4    | Metagross-Mega     | 21.16384% | 8184   | 17.715% | 6277   | 18.180% | 
 | 5    | Tyranitar          | 16.00035% | 6455   | 13.972% | 4796   | 13.890% | 
 | 6    | Pinsir-Mega        | 15.66067% | 6850   | 14.827% | 4966   | 14.383% | 
 | 7    | Lopunny-Mega       | 15.55017% | 6976   | 15.100% | 5693   | 16.488% | 
 | 8    | Rotom-Wash         | 15.49147% | 6007   | 13.003% | 4958   | 14.359% | 
 | 9    | Weavile            | 15.12674% | 7309   | 15.821% | 5125   | 14.843% | 
 | 10   | Lucario            | 11.14129% | 4961   | 10.739% | 3548   | 10.276% | 
 | 11   | Zapdos             | 10.96519% | 4385   |  9.492% | 3549   | 10.279% | 
 | 12   | Landorus-Therian   | 10.94327% | 4668   | 10.104% | 4059   | 11.756% | 
 | 13   | Crawdaunt          | 10.88062% | 4626   | 10.013% | 3445   |  9.977% | 
 | 14   | Diggersby          |  9.71713% | 3937   |  8.522% | 2815   |  8.153% | 
 | 15   | Klefki             |  8.39814% | 3614   |  7.823% | 2968   |  8.596% | 
 | 16   | Skarmory           |  8.20992% | 3351   |  7.254% | 2825   |  8.182% | 
 | 17   | Zangoose           |  7.99045% | 3480   |  7.533% | 2482   |  7.188% | 
 | 18   | Infernape          |  7.55638% | 3517   |  7.613% | 2779   |  8.049% | 
 | 19   | Volcanion          |  7.46242% | 2925   |  6.331% | 2273   |  6.583% | 
 | 20   | Scizor             |  7.09450% | 3325   |  7.197% | 2572   |  7.449% | 
 | 21   | Metagross          |  7.09238% | 2947   |  6.379% | 2200   |  6.372% | 
 | 22   | Conkeldurr         |  6.94696% | 3164   |  6.849% | 2335   |  6.763% | 
 | 23   | Heatran            |  6.88293% | 3129   |  6.773% | 2498   |  7.235% | 
 | 24   | Breloom            |  6.83381% | 3347   |  7.245% | 2496   |  7.229% | 
 | 25   | Excadrill          |  6.81921% | 3053   |  6.609% | 2095   |  6.068% | 
 | 26   | Beedrill-Mega      |  6.59870% | 3873   |  8.383% | 2685   |  7.776% | 
 | 27   | Dragonite          |  5.84397% | 2972   |  6.433% | 2129   |  6.166% | 
 | 28   | Garchomp           |  5.80101% | 2481   |  5.370% | 2108   |  6.105% | 
 | 29   | Tangrowth          |  5.65798% | 2111   |  4.569% | 1650   |  4.779% | 
 | 30   | Ferrothorn         |  5.52293% | 2424   |  5.247% | 2090   |  6.053% | 
 | 31   | Keldeo             |  5.14793% | 2483   |  5.375% | 1690   |  4.895% | 
 | 32   | Bisharp            |  5.12290% | 2589   |  5.604% | 1872   |  5.422% | 
 | 33   | Magnezone          |  5.11000% | 2224   |  4.814% | 1693   |  4.903% | 
 | 34   | Jirachi            |  4.99633% | 2412   |  5.221% | 1767   |  5.118% | 
