 Total battles: 71605
 Avg. weight/team: 0.018
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flygon             | 47.86514% | 36377  | 25.401% | 27596  | 25.200% | 
 | 2    | Registeel          | 22.00380% | 16017  | 11.184% | 13494  | 12.322% | 
 | 3    | Alomomola          | 21.65462% | 18822  | 13.143% | 14397  | 13.147% | 
 | 4    | Venusaur           | 20.67956% | 18386  | 12.838% | 14668  | 13.395% | 
 | 5    | Magneton           | 20.66342% | 18570  | 12.967% | 14811  | 13.525% | 
 | 6    | Diancie            | 19.67384% | 14485  | 10.115% | 11708  | 10.692% | 
 | 7    | Blastoise          | 17.50352% | 20121  | 14.050% | 15738  | 14.372% | 
 | 8    | Uxie               | 15.94181% | 12700  |  8.868% | 11127  | 10.161% | 
 | 9    | Virizion           | 15.75124% | 15137  | 10.570% | 10946  |  9.996% | 
 | 10   | Drapion            | 14.43830% | 17964  | 12.544% | 14254  | 13.016% | 
 | 11   | Glalie-Mega        | 13.80118% | 19959  | 13.937% | 13820  | 12.620% | 
 | 12   | Hitmonlee          | 12.81489% | 18599  | 12.987% | 13684  | 12.496% | 
 | 13   | Jolteon            | 12.23025% | 25446  | 17.768% | 19343  | 17.664% | 
 | 14   | Fletchinder        | 11.72408% | 7251   |  5.063% | 5430   |  4.959% | 
 | 15   | Sneasel            | 11.71649% | 8603   |  6.007% | 6393   |  5.838% | 
 | 16   | Slowking           | 11.17313% | 12143  |  8.479% | 9180   |  8.383% | 
 | 17   | Escavalier         | 10.46601% | 11722  |  8.185% | 9045   |  8.260% | 
 | 18   | Camerupt-Mega      | 10.07480% | 16095  | 11.239% | 12669  | 11.569% | 
 | 19   | Scrafty            |  9.86761% | 17151  | 11.976% | 13159  | 12.017% | 
 | 20   | Sigilyph           |  9.85723% | 12211  |  8.527% | 9031   |  8.247% | 
 | 21   | Rhyperior          |  9.47225% | 13466  |  9.403% | 10644  |  9.720% | 
 | 22   | Granbull           |  8.35329% | 9114   |  6.364% | 7146   |  6.526% | 
 | 23   | Braviary           |  8.22411% | 11346  |  7.923% | 8383   |  7.655% | 
 | 24   | Banette-Mega       |  8.20378% | 20537  | 14.340% | 15499  | 14.153% | 
 | 25   | Emboar             |  8.19805% | 11041  |  7.710% | 8357   |  7.631% | 
 | 26   | Aromatisse         |  8.04921% | 7635   |  5.331% | 5641   |  5.151% | 
 | 27   | Rotom-Mow          |  7.35807% | 10777  |  7.525% | 8627   |  7.878% | 
 | 28   | Meloetta           |  7.35043% | 9440   |  6.592% | 6848   |  6.253% | 
 | 29   | Druddigon          |  7.05449% | 11119  |  7.764% | 9065   |  8.278% | 
 | 30   | Delphox            |  6.94072% | 15038  | 10.501% | 10884  |  9.939% | 
 | 31   | Seismitoad         |  6.84549% | 9258   |  6.465% | 7803   |  7.126% | 
 | 32   | Sawk               |  6.47272% | 6128   |  4.279% | 4543   |  4.149% | 
 | 33   | Bronzong           |  6.34468% | 13516  |  9.438% | 11423  | 10.431% | 
 | 34   | Hoopa              |  5.87664% | 8349   |  5.830% | 6243   |  5.701% | 
 | 35   | Medicham           |  5.83252% | 7763   |  5.421% | 5749   |  5.250% | 
 | 36   | Eelektross         |  5.71175% | 13802  |  9.638% | 10717  |  9.787% | 
 | 37   | Jellicent          |  5.56082% | 11345  |  7.922% | 8921   |  8.146% | 
 | 38   | Golbat             |  4.87046% | 8244   |  5.757% | 6294   |  5.748% | 
 | 39   | Houndoom           |  4.79022% | 9449   |  6.598% | 6975   |  6.369% | 
 | 40   | Exploud            |  4.63459% | 12054  |  8.417% | 8931   |  8.156% | 
 | 41   | Audino-Mega        |  4.56154% | 2701   |  1.886% | 1967   |  1.796% | 
 | 42   | Gallade            |  4.48435% | 9206   |  6.428% | 6733   |  6.148% | 
 | 43   | Spiritomb          |  4.47789% | 6661   |  4.651% | 5304   |  4.844% | 
 | 44   | Xatu               |  4.10122% | 2673   |  1.866% | 2134   |  1.949% | 
 | 45   | Cofagrigus         |  3.98335% | 13487  |  9.418% | 10961  | 10.009% | 
 | 46   | Absol              |  3.89195% | 8985   |  6.274% | 6494   |  5.930% | 
 | 47   | Malamar            |  3.70680% | 2223   |  1.552% | 1682   |  1.536% | 
 | 48   | Aerodactyl         |  3.69261% | 9716   |  6.784% | 7480   |  6.831% | 
 | 49   | Clawitzer          |  3.61961% | 12165  |  8.495% | 8854   |  8.085% | 
 | 50   | Ambipom            |  3.30370% | 19142  | 13.366% | 15690  | 14.328% | 
 | 51   | Hitmontop          |  3.28556% | 10065  |  7.028% | 7739   |  7.067% | 
