 Total battles: 37507
 Avg. weight/team: 0.084
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flygon             | 44.85529% | 19697  | 26.258% | 15153  | 26.464% | 
 | 2    | Venusaur           | 21.42761% | 10830  | 14.437% | 8472   | 14.796% | 
 | 3    | Registeel          | 20.69979% | 9662   | 12.880% | 8136   | 14.209% | 
 | 4    | Blastoise          | 19.86443% | 12038  | 16.048% | 9349   | 16.328% | 
 | 5    | Diancie            | 19.44411% | 8178   | 10.902% | 6637   | 11.591% | 
 | 6    | Magneton           | 19.22558% | 8757   | 11.674% | 6929   | 12.101% | 
 | 7    | Alomomola          | 18.62760% | 10160  | 13.544% | 7953   | 13.890% | 
 | 8    | Uxie               | 14.75339% | 6628   |  8.836% | 5752   | 10.046% | 
 | 9    | Drapion            | 13.82596% | 9335   | 12.444% | 7426   | 12.969% | 
 | 10   | Virizion           | 13.03390% | 7401   |  9.866% | 5405   |  9.440% | 
 | 11   | Glalie-Mega        | 12.96207% | 8949   | 11.930% | 6336   | 11.066% | 
 | 12   | Slowking           | 12.42899% | 7162   |  9.548% | 5403   |  9.436% | 
 | 13   | Hitmonlee          | 12.13244% | 8660   | 11.545% | 6326   | 11.048% | 
 | 14   | Jolteon            | 11.15356% | 11951  | 15.932% | 9017   | 15.748% | 
 | 15   | Dugtrio            | 10.69735% | 5886   |  7.847% | 4396   |  7.677% | 
 | 16   | Banette-Mega       | 10.63763% | 10583  | 14.108% | 8121   | 14.183% | 
 | 17   | Rhyperior          |  9.97548% | 7334   |  9.777% | 5615   |  9.806% | 
 | 18   | Escavalier         |  9.90042% | 6334   |  8.444% | 5005   |  8.741% | 
 | 19   | Emboar             |  9.59866% | 6029   |  8.037% | 4487   |  7.836% | 
 | 20   | Scrafty            |  9.42748% | 8070   | 10.758% | 6157   | 10.753% | 
 | 21   | Sawk               |  9.19284% | 4346   |  5.794% | 3213   |  5.611% | 
 | 22   | Fletchinder        |  8.81506% | 4393   |  5.856% | 3241   |  5.660% | 
 | 23   | Rotom-Mow          |  8.62762% | 6170   |  8.225% | 5003   |  8.738% | 
 | 24   | Sigilyph           |  8.51497% | 6449   |  8.597% | 4716   |  8.236% | 
 | 25   | Jellicent          |  8.33745% | 5642   |  7.521% | 4460   |  7.789% | 
 | 26   | Sneasel            |  7.89571% | 5115   |  6.819% | 3811   |  6.656% | 
 | 27   | Bronzong           |  7.81398% | 6941   |  9.253% | 5866   | 10.245% | 
 | 28   | Meloetta           |  7.76159% | 5414   |  7.217% | 3891   |  6.796% | 
 | 29   | Druddigon          |  7.62670% | 5624   |  7.497% | 4517   |  7.889% | 
 | 30   | Braviary           |  7.58109% | 5562   |  7.415% | 4154   |  7.255% | 
 | 31   | Delphox            |  7.19672% | 7622   | 10.161% | 5516   |  9.634% | 
 | 32   | Camerupt-Mega      |  6.92186% | 7596   | 10.126% | 5809   | 10.145% | 
 | 33   | Granbull           |  6.91431% | 5079   |  6.771% | 3913   |  6.834% | 
 | 34   | Exploud            |  6.64601% | 6134   |  8.177% | 4476   |  7.817% | 
 | 35   | Cofagrigus         |  6.49621% | 7191   |  9.586% | 5766   | 10.070% | 
 | 36   | Hoopa              |  6.32989% | 4619   |  6.158% | 3366   |  5.879% | 
 | 37   | Eelektross         |  6.32764% | 7247   |  9.661% | 5796   | 10.123% | 
 | 38   | Medicham           |  6.16683% | 3809   |  5.078% | 2820   |  4.925% | 
 | 39   | Houndoom           |  5.95603% | 4504   |  6.004% | 3317   |  5.793% | 
 | 40   | Aromatisse         |  5.79113% | 4249   |  5.664% | 3112   |  5.435% | 
 | 41   | Ambipom            |  5.77044% | 9434   | 12.576% | 7681   | 13.415% | 
 | 42   | Golbat             |  5.21027% | 4297   |  5.728% | 3265   |  5.702% | 
 | 43   | Gallade            |  5.02402% | 4845   |  6.459% | 3498   |  6.109% | 
 | 44   | Aerodactyl         |  5.01987% | 5084   |  6.777% | 3938   |  6.878% | 
 | 45   | Accelgor           |  4.99278% | 5605   |  7.472% | 4340   |  7.580% | 
 | 46   | Spiritomb          |  4.98730% | 3639   |  4.851% | 2878   |  5.026% | 
 | 47   | Seismitoad         |  4.96005% | 4168   |  5.556% | 3458   |  6.039% | 
 | 48   | Togetic            |  4.74364% | 4284   |  5.711% | 3201   |  5.590% | 
 | 49   | Absol              |  4.13325% | 4500   |  5.999% | 3255   |  5.685% | 
 | 50   | Clawitzer          |  3.70261% | 5883   |  7.843% | 4290   |  7.492% | 
 | 51   | Malamar            |  3.66340% | 1555   |  2.073% | 1185   |  2.070% | 
 | 52   | Cinccino           |  3.58451% | 6813   |  9.082% | 4943   |  8.633% | 
 | 53   | Hitmontop          |  3.41102% | 4379   |  5.838% | 3337   |  5.828% | 
 | 54   | Audino-Mega        |  3.30847% | 1723   |  2.297% | 1283   |  2.241% | 
 | 55   | Qwilfish           |  3.10283% | 2763   |  3.683% | 2342   |  4.090% | 
 | 56   | Typhlosion         |  3.06300% | 5640   |  7.519% | 4092   |  7.147% | 
 | 57   | Quagsire           |  2.73436% | 2704   |  3.605% | 2051   |  3.582% | 
 | 58   | Xatu               |  2.68207% | 1473   |  1.964% | 1144   |  1.998% | 
 | 59   | Weezing            |  2.20018% | 1333   |  1.777% | 1093   |  1.909% | 
 | 60   | Scyther            |  1.94869% | 1321   |  1.761% | 1014   |  1.771% | 
 | 61   | Archeops           |  1.84403% | 891    |  1.188% | 705    |  1.231% | 
 | 62   | Smeargle           |  1.82078% | 880    |  1.173% | 773    |  1.350% | 
 | 63   | Sceptile           |  1.64587% | 2319   |  3.091% | 1652   |  2.885% | 
 | 64   | Omastar            |  1.53236% | 963    |  1.284% | 690    |  1.205% | 
 | 65   | Vivillon           |  1.42511% | 903    |  1.204% | 667    |  1.165% | 
 | 66   | Poliwrath          |  1.39031% | 985    |  1.313% | 711    |  1.242% | 
 | 67   | Leavanny           |  1.30198% | 848    |  1.130% | 764    |  1.334% | 
 | 68   | Liepard            |  1.28305% | 1073   |  1.430% | 862    |  1.505% | 
 | 69   | Rotom              |  1.26710% | 522    |  0.696% | 399    |  0.697% | 
 | 70   | Linoone            |  1.24274% | 441    |  0.588% | 316    |  0.552% | 
 | 71   | Steelix            |  1.17652% | 1022   |  1.362% | 899    |  1.570% | 
 | 72   | Kabutops           |  1.16312% | 645    |  0.860% | 506    |  0.884% | 
 | 73   | Gastrodon          |  1.12202% | 1165   |  1.553% | 900    |  1.572% | 
 | 74   | Gurdurr            |  1.06035% | 607    |  0.809% | 444    |  0.775% | 
 | 75   | Exeggutor          |  0.99298% | 756    |  1.008% | 545    |  0.952% | 
 | 76   | Garbodor           |  0.94068% | 725    |  0.966% | 589    |  1.029% | 
 | 77   | Lanturn            |  0.85835% | 682    |  0.909% | 519    |  0.906% | 
 | 78   | Dusclops           |  0.84768% | 806    |  1.074% | 630    |  1.100% | 
 | 79   | Combusken          |  0.83908% | 527    |  0.703% | 429    |  0.749% | 
 | 80   | Hitmonchan         |  0.83532% | 983    |  1.310% | 716    |  1.250% | 
 | 81   | Roselia            |  0.81575% | 461    |  0.615% | 383    |  0.669% | 
 | 82   | Claydol            |  0.79781% | 817    |  1.089% | 643    |  1.123% | 
 | 83   | Electivire         |  0.79519% | 1274   |  1.698% | 899    |  1.570% | 
 | 84   | Ludicolo           |  0.79253% | 606    |  0.808% | 453    |  0.791% | 
 | 85   | Trevenant          |  0.78974% | 1015   |  1.353% | 786    |  1.373% | 
 | 86   | Aggron             |  0.78665% | 1046   |  1.394% | 787    |  1.374% | 
 | 87   | Miltank            |  0.71723% | 806    |  1.074% | 631    |  1.102% | 
 | 88   | Machoke            |  0.69046% | 207    |  0.276% | 147    |  0.257% | 
 | 89   | Abomasnow          |  0.67755% | 434    |  0.579% | 334    |  0.583% | 
 | 90   | Sandslash          |  0.63760% | 583    |  0.777% | 480    |  0.838% | 
 | 91   | Barbaracle         |  0.63080% | 560    |  0.747% | 379    |  0.662% | 
 | 92   | Cacturne           |  0.61209% | 318    |  0.424% | 226    |  0.395% | 
 | 93   | Pyroar             |  0.59558% | 516    |  0.688% | 389    |  0.679% | 
 | 94   | Slaking            |  0.59463% | 670    |  0.893% | 468    |  0.817% | 
 | 95   | Hariyama           |  0.59093% | 454    |  0.605% | 372    |  0.650% | 
 | 96   | Kecleon            |  0.57503% | 583    |  0.777% | 469    |  0.819% | 
 | 97   | Ninjask            |  0.56828% | 564    |  0.752% | 493    |  0.861% | 
 | 98   | Mismagius          |  0.56548% | 921    |  1.228% | 744    |  1.299% | 
 | 99   | Wigglytuff         |  0.56470% | 198    |  0.264% | 149    |  0.260% | 
 | 100  | Manectric          |  0.56197% | 556    |  0.741% | 415    |  0.725% | 
 | 101  | Emolga             |  0.55979% | 237    |  0.316% | 200    |  0.349% | 
 | 102  | Swellow            |  0.52141% | 952    |  1.269% | 682    |  1.191% | 
 | 103  | Primeape           |  0.52125% | 366    |  0.488% | 272    |  0.475% | 
 | 104  | Golurk             |  0.47039% | 707    |  0.942% | 557    |  0.973% | 
 | 105  | Mantine            |  0.46352% | 454    |  0.605% | 343    |  0.599% | 
 | 106  | Ninetales          |  0.44984% | 422    |  0.563% | 338    |  0.590% | 
