 Total battles: 19464
 Avg. weight/team: 0.619
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Greninja           | 13.78021% | 5406   | 13.887% | 2691   | 14.517% | 
 | 2    | Talonflame         | 12.96698% | 4249   | 10.915% | 1916   | 10.336% | 
 | 3    | Sylveon            | 12.11229% | 4409   | 11.326% | 2440   | 13.163% | 
 | 4    | Politoed           |  8.06777% | 2844   |  7.306% | 1457   |  7.860% | 
 | 5    | Landorus-Therian   |  8.05795% | 2708   |  6.956% | 1265   |  6.824% | 
 | 6    | Weavile            |  7.76319% | 2777   |  7.134% | 1505   |  8.119% | 
 | 7    | Aegislash          |  7.41365% | 2665   |  6.846% | 1561   |  8.421% | 
 | 8    | Whimsicott         |  7.16301% | 2660   |  6.833% | 1282   |  6.916% | 
 | 9    | Hitmontop          |  7.08808% | 2221   |  5.705% | 1258   |  6.787% | 
 | 10   | Snorlax            |  6.74739% | 2570   |  6.602% | 581    |  3.134% | 
 | 11   | Kangaskhan-Mega    |  6.69527% | 2308   |  5.929% | 1106   |  5.967% | 
 | 12   | Gardevoir-Mega     |  6.63568% | 2491   |  6.399% | 920    |  4.963% | 
 | 13   | Charizard-Mega-Y   |  6.63314% | 2529   |  6.497% | 1019   |  5.497% | 
 | 14   | Meowstic           |  6.29303% | 2113   |  5.428% | 1145   |  6.177% | 
 | 15   | Ninetales          |  5.54142% | 1993   |  5.120% | 758    |  4.089% | 
 | 16   | Salamence-Mega     |  5.52116% | 2088   |  5.364% | 930    |  5.017% | 
 | 17   | Sceptile-Mega      |  5.36695% | 2345   |  6.024% | 829    |  4.472% | 
 | 18   | Heatran            |  5.10105% | 1642   |  4.218% | 865    |  4.667% | 
 | 19   | Camerupt-Mega      |  5.00786% | 1566   |  4.023% | 624    |  3.366% | 
 | 20   | Ferrothorn         |  4.98956% | 1793   |  4.606% | 1033   |  5.573% | 
 | 21   | Clefable           |  4.78044% | 1766   |  4.537% | 942    |  5.082% | 
 | 22   | Garchomp           |  4.66393% | 1751   |  4.498% | 895    |  4.828% | 
 | 23   | Gengar             |  4.51021% | 1784   |  4.583% | 789    |  4.257% | 
 | 24   | Crobat             |  4.44967% | 1507   |  3.871% | 729    |  3.933% | 
 | 25   | Gastrodon          |  4.37270% | 1404   |  3.607% | 820    |  4.424% | 
 | 26   | Chandelure         |  4.34429% | 1753   |  4.503% | 704    |  3.798% | 
 | 27   | Aurorus            |  4.09605% | 1621   |  4.164% | 761    |  4.105% | 
 | 28   | Tyranitar          |  4.02615% | 1484   |  3.812% | 742    |  4.003% | 
 | 29   | Togekiss           |  3.85697% | 1454   |  3.735% | 748    |  4.035% | 
 | 30   | Volcanion          |  3.75616% | 1439   |  3.697% | 720    |  3.884% | 
 | 31   | Thundurus-Therian  |  3.74210% | 1713   |  4.400% | 951    |  5.130% | 
 | 32   | Dragonite          |  3.68437% | 1504   |  3.864% | 800    |  4.316% | 
 | 33   | Conkeldurr         |  3.67000% | 1242   |  3.191% | 757    |  4.084% | 
 | 34   | Electivire         |  3.64393% | 1590   |  4.084% | 751    |  4.052% | 
 | 35   | Terrakion          |  3.63753% | 1255   |  3.224% | 320    |  1.726% | 
 | 36   | Ambipom            |  3.56968% | 1351   |  3.471% | 785    |  4.235% | 
 | 37   | Excadrill          |  3.54109% | 1201   |  3.085% | 670    |  3.615% | 
 | 38   | Jirachi            |  3.52518% | 1243   |  3.193% | 583    |  3.145% | 
 | 39   | Jolteon            |  3.52335% | 1410   |  3.622% | 611    |  3.296% | 
 | 40   | Gardevoir          |  3.51554% | 1372   |  3.524% | 588    |  3.172% | 
 | 41   | Serperior          |  3.50011% | 1388   |  3.566% | 632    |  3.410% | 
 | 42   | Typhlosion         |  3.48518% | 1287   |  3.306% | 497    |  2.681% | 
 | 43   | Azumarill          |  3.44672% | 1259   |  3.234% | 783    |  4.224% | 
 | 44   | Heliolisk          |  3.44081% | 1294   |  3.324% | 627    |  3.383% | 
 | 45   | Gengar-Mega        |  3.38195% | 1317   |  3.383% | 461    |  2.487% | 
 | 46   | Lanturn            |  3.32884% | 1506   |  3.869% | 742    |  4.003% | 
 | 47   | Kingdra            |  3.31753% | 1159   |  2.977% | 437    |  2.358% | 
 | 48   | Vaporeon           |  3.27250% | 1369   |  3.517% | 656    |  3.539% | 
 | 49   | Smeargle           |  3.23250% | 1317   |  3.383% | 648    |  3.496% | 
 | 50   | Tyranitar-Mega     |  3.18431% | 1096   |  2.815% | 550    |  2.967% | 
 | 51   | Jellicent          |  3.13618% | 1122   |  2.882% | 533    |  2.875% | 
 | 52   | Electrode          |  3.11103% | 1274   |  3.273% | 235    |  1.268% | 
 | 53   | Blastoise-Mega     |  3.09632% | 1159   |  2.977% | 583    |  3.145% | 
 | 54   | Mienshao           |  3.09529% | 1054   |  2.708% | 635    |  3.426% | 
 | 55   | Raichu             |  3.01044% | 1191   |  3.059% | 632    |  3.410% | 
 | 56   | Porygon-Z          |  2.97168% | 1221   |  3.137% | 699    |  3.771% | 
 | 57   | Klefki             |  2.95063% | 1093   |  2.808% | 573    |  3.091% | 
 | 58   | Volcarona          |  2.91050% | 1050   |  2.697% | 457    |  2.465% | 
 | 59   | Breloom            |  2.90817% | 1121   |  2.880% | 636    |  3.431% | 
 | 60   | Ludicolo           |  2.88012% | 1025   |  2.633% | 445    |  2.401% | 
 | 61   | Cradily            |  2.86667% | 982    |  2.523% | 551    |  2.973% | 
 | 62   | Lapras             |  2.86558% | 1192   |  3.062% | 554    |  2.989% | 
 | 63   | Thundurus          |  2.85688% | 929    |  2.386% | 317    |  1.710% | 
 | 64   | Dusclops           |  2.83312% | 921    |  2.366% | 368    |  1.985% | 
 | 65   | Sableye            |  2.79361% | 1071   |  2.751% | 481    |  2.595% | 
 | 66   | Milotic            |  2.75957% | 994    |  2.553% | 497    |  2.681% | 
 | 67   | Amoonguss          |  2.68690% | 974    |  2.502% | 484    |  2.611% | 
 | 68   | Noivern            |  2.67956% | 1064   |  2.733% | 431    |  2.325% | 
 | 69   | Cresselia          |  2.66509% | 968    |  2.487% | 472    |  2.546% | 
 | 70   | Rotom-Wash         |  2.61138% | 920    |  2.363% | 501    |  2.703% | 
 | 71   | Cofagrigus         |  2.60926% | 869    |  2.232% | 384    |  2.072% | 
 | 72   | Arcanine           |  2.59921% | 1007   |  2.587% | 497    |  2.681% | 
 | 73   | Gliscor            |  2.59806% | 1095   |  2.813% | 543    |  2.929% | 
 | 74   | Shedinja           |  2.55455% | 1434   |  3.684% | 517    |  2.789% | 
 | 75   | Mew                |  2.49101% | 982    |  2.523% | 499    |  2.692% | 
 | 76   | Bisharp            |  2.40173% | 948    |  2.435% | 522    |  2.816% | 
 | 77   | Toxicroak          |  2.37374% | 890    |  2.286% | 415    |  2.239% | 
 | 78   | Machamp            |  2.34064% | 921    |  2.366% | 481    |  2.595% | 
 | 79   | Swampert-Mega      |  2.30821% | 923    |  2.371% | 504    |  2.719% | 
