 Total battles: 3533
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 26.42230% | 1867   | 26.422% | 1487   | 28.448% | 
 | 2    | Sylveon            | 22.75686% | 1608   | 22.757% | 1142   | 21.847% | 
 | 3    | Keldeo             | 18.97821% | 1341   | 18.978% | 895    | 17.122% | 
 | 4    | Heatran            | 18.59609% | 1314   | 18.596% | 1095   | 20.948% | 
 | 5    | Ferrothorn         | 18.19983% | 1286   | 18.200% | 1092   | 20.891% | 
 | 6    | Lopunny-Mega       | 17.93094% | 1267   | 17.931% | 906    | 17.333% | 
 | 7    | Aerodactyl         | 14.12397% | 998    | 14.124% | 777    | 14.865% | 
 | 8    | Sableye            | 13.67110% | 966    | 13.671% | 809    | 15.477% | 
 | 9    | Ursaring           | 11.26521% | 796    | 11.265% | 621    | 11.880% | 
 | 10   | Talonflame         | 10.37362% | 733    | 10.374% | 550    | 10.522% | 
 | 11   | Tyranitar          |  9.93490% | 702    |  9.935% | 535    | 10.235% | 
 | 12   | Charizard-Mega-Y   |  9.46787% | 669    |  9.468% | 501    |  9.585% | 
 | 13   | Scizor             |  9.25559% | 654    |  9.256% | 498    |  9.527% | 
 | 14   | Serperior          |  8.36400% | 591    |  8.364% | 433    |  8.284% | 
 | 15   | Yanmega            |  8.25078% | 583    |  8.251% | 440    |  8.418% | 
 | 16   | Snorlax            |  8.18002% | 578    |  8.180% | 421    |  8.054% | 
 | 17   | Rotom-Wash         |  7.96773% | 563    |  7.968% | 450    |  8.609% | 
 | 18   | Latios             |  7.91112% | 559    |  7.911% | 387    |  7.404% | 
 | 19   | Pidgeot-Mega       |  7.85451% | 555    |  7.855% | 427    |  8.169% | 
 | 20   | Garchomp           |  7.41579% | 524    |  7.416% | 373    |  7.136% | 
 | 21   | Chansey            |  7.28842% | 515    |  7.288% | 379    |  7.251% | 
 | 22   | Cloyster           |  7.27427% | 514    |  7.274% | 361    |  6.906% | 
 | 23   | Breloom            |  7.10444% | 502    |  7.104% | 340    |  6.504% | 
 | 24   | Whimsicott         |  6.84970% | 484    |  6.850% | 378    |  7.231% | 
 | 25   | Azumarill          |  5.98641% | 423    |  5.986% | 285    |  5.452% | 
 | 26   | Espeon             |  5.97226% | 422    |  5.972% | 328    |  6.275% | 
 | 27   | Charizard-Mega-X   |  5.32126% | 376    |  5.321% | 278    |  5.318% | 
 | 28   | Scizor-Mega        |  5.00991% | 354    |  5.010% | 251    |  4.802% | 
 | 29   | Klefki             |  4.81177% | 340    |  4.812% | 258    |  4.936% | 
 | 30   | Terrakion          |  4.78347% | 338    |  4.783% | 233    |  4.457% | 
 | 31   | Thundurus-Therian  |  4.65610% | 329    |  4.656% | 235    |  4.496% | 
 | 32   | Zapdos             |  4.61364% | 326    |  4.614% | 240    |  4.591% | 
 | 33   | Blastoise-Mega     |  4.45797% | 315    |  4.458% | 221    |  4.228% | 
 | 34   | Excadrill          |  4.45797% | 315    |  4.458% | 234    |  4.477% | 
 | 35   | Dragonite          |  4.44382% | 314    |  4.444% | 219    |  4.190% | 
 | 36   | Gyarados           |  4.42966% | 313    |  4.430% | 234    |  4.477% | 
 | 37   | Meloetta           |  4.38721% | 310    |  4.387% | 213    |  4.075% | 
 | 38   | Amoonguss          |  4.31644% | 305    |  4.316% | 220    |  4.209% | 
 | 39   | Weavile            |  4.27399% | 302    |  4.274% | 223    |  4.266% | 
 | 40   | Gengar             |  3.97679% | 281    |  3.977% | 188    |  3.597% | 
 | 41   | Forretress         |  3.94849% | 279    |  3.948% | 247    |  4.725% | 
 | 42   | Tornadus-Therian   |  3.60883% | 255    |  3.609% | 187    |  3.577% | 
 | 43   | Infernape          |  3.53807% | 250    |  3.538% | 195    |  3.731% | 
 | 44   | Jolteon            |  3.53807% | 250    |  3.538% | 182    |  3.482% | 
 | 45   | Volcanion          |  3.46731% | 245    |  3.467% | 188    |  3.597% | 
 | 46   | Porygon2           |  3.46731% | 245    |  3.467% | 175    |  3.348% | 
 | 47   | Celebi             |  3.45316% | 244    |  3.453% | 198    |  3.788% | 
 | 48   | Regigigas          |  3.32579% | 235    |  3.326% | 166    |  3.176% | 
 | 49   | Starmie            |  3.31163% | 234    |  3.312% | 176    |  3.367% | 
 | 50   | Scolipede          |  3.24087% | 229    |  3.241% | 174    |  3.329% | 
 | 51   | Venusaur-Mega      |  3.18426% | 225    |  3.184% | 159    |  3.042% | 
 | 52   | Rotom-Heat         |  3.15596% | 223    |  3.156% | 184    |  3.520% | 
 | 53   | Slowbro-Mega       |  3.15596% | 223    |  3.156% | 157    |  3.004% | 
 | 54   | Togekiss           |  3.08520% | 218    |  3.085% | 165    |  3.157% | 
 | 55   | Zebstrika          |  3.05689% | 216    |  3.057% | 139    |  2.659% | 
 | 56   | Skarmory           |  3.02859% | 214    |  3.029% | 170    |  3.252% | 
 | 57   | Jirachi            |  2.98613% | 211    |  2.986% | 151    |  2.889% | 
 | 58   | Bisharp            |  2.98613% | 211    |  2.986% | 164    |  3.137% | 
 | 59   | Garchomp-Mega      |  2.91537% | 206    |  2.915% | 152    |  2.908% | 
 | 60   | Tyranitar-Mega     |  2.90122% | 205    |  2.901% | 161    |  3.080% | 
 | 61   | Malamar            |  2.80215% | 198    |  2.802% | 150    |  2.870% | 
 | 62   | Volcarona          |  2.80215% | 198    |  2.802% | 149    |  2.850% | 
 | 63   | Gliscor            |  2.77385% | 196    |  2.774% | 152    |  2.908% | 
 | 64   | Sceptile-Mega      |  2.75969% | 195    |  2.760% | 146    |  2.793% | 
 | 65   | Diancie-Mega       |  2.67478% | 189    |  2.675% | 145    |  2.774% | 
 | 66   | Salamence          |  2.67478% | 189    |  2.675% | 126    |  2.410% | 
 | 67   | Chandelure         |  2.44834% | 173    |  2.448% | 136    |  2.602% | 
 | 68   | Slowbro            |  2.37758% | 168    |  2.378% | 128    |  2.449% | 
 | 69   | Beedrill-Mega      |  2.15115% | 152    |  2.151% | 101    |  1.932% | 
 | 70   | Drapion            |  2.09454% | 148    |  2.095% | 94     |  1.798% | 
 | 71   | Mew                |  2.06623% | 146    |  2.066% | 123    |  2.353% | 
 | 72   | Crawdaunt          |  1.98132% | 140    |  1.981% | 110    |  2.104% | 
 | 73   | Pinsir-Mega        |  1.88225% | 133    |  1.882% | 89     |  1.703% | 
 | 74   | Sableye-Mega       |  1.85395% | 131    |  1.854% | 109    |  2.085% | 
 | 75   | Politoed           |  1.83980% | 130    |  1.840% | 102    |  1.951% | 
 | 76   | Stoutland          |  1.81149% | 128    |  1.811% | 92     |  1.760% | 
 | 77   | Bibarel            |  1.74073% | 123    |  1.741% | 97     |  1.856% | 
 | 78   | Alakazam-Mega      |  1.66997% | 118    |  1.670% | 81     |  1.550% | 
 | 79   | Manaphy            |  1.66997% | 118    |  1.670% | 84     |  1.607% | 
 | 80   | Darmanitan         |  1.62751% | 115    |  1.628% | 79     |  1.511% | 
 | 81   | Hydreigon          |  1.62751% | 115    |  1.628% | 78     |  1.492% | 
 | 82   | Noivern            |  1.55675% | 110    |  1.557% | 60     |  1.148% | 
 | 83   | Nidoking           |  1.55675% | 110    |  1.557% | 87     |  1.664% | 
 | 84   | Hawlucha           |  1.54260% | 109    |  1.543% | 76     |  1.454% | 
 | 85   | Braviary           |  1.52845% | 108    |  1.528% | 70     |  1.339% | 
 | 86   | Azelf              |  1.51429% | 107    |  1.514% | 92     |  1.760% | 
 | 87   | Lucario            |  1.47184% | 104    |  1.472% | 78     |  1.492% | 
 | 88   | Clefable           |  1.44353% | 102    |  1.444% | 74     |  1.416% | 
 | 89   | Blissey            |  1.44353% | 102    |  1.444% | 78     |  1.492% | 
 | 90   | Kangaskhan         |  1.42938% | 101    |  1.429% | 57     |  1.090% | 
 | 91   | Galvantula         |  1.41523% | 100    |  1.415% | 71     |  1.358% | 
 | 92   | Umbreon            |  1.41523% | 100    |  1.415% | 63     |  1.205% | 
 | 93   | Kingdra            |  1.40108% | 99     |  1.401% | 67     |  1.282% | 
 | 94   | Heliolisk          |  1.38692% | 98     |  1.387% | 73     |  1.397% | 
 | 95   | Latios-Mega        |  1.35862% | 96     |  1.359% | 61     |  1.167% | 
 | 96   | Shedinja           |  1.34447% | 95     |  1.344% | 73     |  1.397% | 
 | 97   | Kyurem             |  1.31616% | 93     |  1.316% | 57     |  1.090% | 
 | 98   | Latias             |  1.30201% | 92     |  1.302% | 62     |  1.186% | 
 | 99   | Gardevoir-Mega     |  1.30201% | 92     |  1.302% | 59     |  1.129% | 
 | 100  | Vaporeon           |  1.30201% | 92     |  1.302% | 69     |  1.320% | 
 | 101  | Gyarados-Mega      |  1.28786% | 91     |  1.288% | 64     |  1.224% | 
 | 102  | Empoleon           |  1.25955% | 89     |  1.260% | 69     |  1.320% | 
 | 103  | Accelgor           |  1.25955% | 89     |  1.260% | 71     |  1.358% | 
 | 104  | Golurk             |  1.24540% | 88     |  1.245% | 68     |  1.301% | 
 | 105  | Arcanine           |  1.21710% | 86     |  1.217% | 71     |  1.358% | 
 | 106  | Staraptor          |  1.20294% | 85     |  1.203% | 60     |  1.148% | 
 | 107  | Crobat             |  1.17464% | 83     |  1.175% | 57     |  1.090% | 
 | 108  | Magnezone          |  1.14633% | 81     |  1.146% | 69     |  1.320% | 
 | 109  | Heracross-Mega     |  1.13218% | 80     |  1.132% | 56     |  1.071% | 
 | 110  | Pyroar             |  1.13218% | 80     |  1.132% | 59     |  1.129% | 
 | 111  | Medicham-Mega      |  1.13218% | 80     |  1.132% | 60     |  1.148% | 
 | 112  | Tangrowth          |  1.10388% | 78     |  1.104% | 61     |  1.167% | 
 | 113  | Tentacruel         |  1.08973% | 77     |  1.090% | 63     |  1.205% | 
 | 114  | Zangoose           |  1.07557% | 76     |  1.076% | 68     |  1.301% | 
 | 115  | Escavalier         |  1.06142% | 75     |  1.061% | 49     |  0.937% | 
 | 116  | Goodra             |  1.04727% | 74     |  1.047% | 46     |  0.880% | 
 | 117  | Alakazam           |  1.03312% | 73     |  1.033% | 44     |  0.842% | 
 | 118  | Gallade-Mega       |  1.03312% | 73     |  1.033% | 47     |  0.899% | 
 | 119  | Electivire         |  0.96235% | 68     |  0.962% | 58     |  1.110% | 
 | 120  | Dugtrio            |  0.94820% | 67     |  0.948% | 54     |  1.033% | 
 | 121  | Doublade           |  0.93405% | 66     |  0.934% | 50     |  0.957% | 
 | 122  | Clawitzer          |  0.90575% | 64     |  0.906% | 47     |  0.899% | 
 | 123  | Shuckle            |  0.89159% | 63     |  0.892% | 42     |  0.803% | 
 | 124  | Cofagrigus         |  0.89159% | 63     |  0.892% | 49     |  0.937% | 
 | 125  | Krookodile         |  0.87744% | 62     |  0.877% | 42     |  0.803% | 
 | 126  | Milotic            |  0.86329% | 61     |  0.863% | 49     |  0.937% | 
 | 127  | Ninjask            |  0.86329% | 61     |  0.863% | 45     |  0.861% | 
 | 128  | Bouffalant         |  0.83498% | 59     |  0.835% | 43     |  0.823% | 
 | 129  | Victini            |  0.83498% | 59     |  0.835% | 36     |  0.689% | 
 | 130  | Hippowdon          |  0.82083% | 58     |  0.821% | 44     |  0.842% | 
 | 131  | Uxie               |  0.80668% | 57     |  0.807% | 46     |  0.880% | 
 | 132  | Metagross          |  0.79253% | 56     |  0.793% | 40     |  0.765% | 
 | 133  | Cobalion           |  0.76422% | 54     |  0.764% | 41     |  0.784% | 
 | 134  | Flareon            |  0.76422% | 54     |  0.764% | 49     |  0.937% | 
 | 135  | Swoobat            |  0.75007% | 53     |  0.750% | 36     |  0.689% | 
 | 136  | Latias-Mega        |  0.75007% | 53     |  0.750% | 33     |  0.631% | 
 | 137  | Gardevoir          |  0.73592% | 52     |  0.736% | 40     |  0.765% | 
 | 138  | Rotom-Mow          |  0.72177% | 51     |  0.722% | 43     |  0.823% | 
 | 139  | Ludicolo           |  0.72177% | 51     |  0.722% | 39     |  0.746% | 
 | 140  | Exploud            |  0.70761% | 50     |  0.708% | 41     |  0.784% | 
 | 141  | Dragalge           |  0.67931% | 48     |  0.679% | 34     |  0.650% | 
 | 142  | Piloswine          |  0.66516% | 47     |  0.665% | 46     |  0.880% | 
 | 143  | Bronzong           |  0.66516% | 47     |  0.665% | 40     |  0.765% | 
 | 144  | Ninetales          |  0.65100% | 46     |  0.651% | 36     |  0.689% | 
 | 145  | Crustle            |  0.65100% | 46     |  0.651% | 36     |  0.689% | 
 | 146  | Aggron             |  0.63685% | 45     |  0.637% | 36     |  0.689% | 
 | 147  | Slowking           |  0.63685% | 45     |  0.637% | 38     |  0.727% | 
 | 148  | Cresselia          |  0.62270% | 44     |  0.623% | 32     |  0.612% | 
 | 149  | Aggron-Mega        |  0.62270% | 44     |  0.623% | 39     |  0.746% | 
 | 150  | Liepard            |  0.62270% | 44     |  0.623% | 41     |  0.784% | 
 | 151  | Froslass           |  0.62270% | 44     |  0.623% | 34     |  0.650% | 
 | 152  | Sharpedo           |  0.60855% | 43     |  0.609% | 36     |  0.689% | 
 | 153  | Slaking            |  0.60855% | 43     |  0.609% | 33     |  0.631% | 
 | 154  | Zoroark            |  0.59440% | 42     |  0.594% | 17     |  0.325% | 
