 Total battles: 915
 Avg. weight/team: 0.093
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Venusaur-Mega      | 16.56229% | 71     |  3.880% | 49     |  3.526% | 
 | 2    | Scyther            | 16.03076% | 123    |  6.721% | 90     |  6.476% | 
 | 3    | Infernape          | 13.86277% | 61     |  3.333% | 50     |  3.598% | 
 | 4    | Sableye-Mega       | 11.78213% | 73     |  3.989% | 67     |  4.821% | 
 | 5    | Crawdaunt          | 11.31406% | 41     |  2.240% | 24     |  1.727% | 
 | 6    | Bronzong           | 10.83112% | 76     |  4.153% | 72     |  5.180% | 
 | 7    | Mandibuzz          | 10.42446% | 43     |  2.350% | 29     |  2.087% | 
 | 8    | Alomomola          | 10.31727% | 81     |  4.426% | 66     |  4.749% | 
 | 9    | Landorus-Therian   |  9.86090% | 106    |  5.792% | 85     |  6.116% | 
 | 10   | Golurk             |  9.20479% | 65     |  3.552% | 54     |  3.885% | 
 | 11   | Sandslash          |  9.02197% | 54     |  2.951% | 41     |  2.950% | 
 | 12   | Quagsire           |  8.16274% | 36     |  1.967% | 21     |  1.511% | 
 | 13   | Tyrantrum          |  7.99802% | 38     |  2.077% | 23     |  1.655% | 
 | 14   | Stoutland          |  7.90810% | 117    |  6.393% | 88     |  6.332% | 
 | 15   | Sigilyph           |  7.61037% | 52     |  2.842% | 37     |  2.662% | 
 | 16   | Tauros             |  7.33609% | 68     |  3.716% | 45     |  3.238% | 
 | 17   | Krookodile         |  6.95309% | 68     |  3.716% | 54     |  3.885% | 
 | 18   | Heatran            |  6.88839% | 70     |  3.825% | 54     |  3.885% | 
 | 19   | Pinsir             |  6.79926% | 57     |  3.115% | 47     |  3.382% | 
 | 20   | Forretress         |  6.64607% | 39     |  2.131% | 35     |  2.518% | 
 | 21   | Jellicent          |  6.36992% | 43     |  2.350% | 35     |  2.518% | 
 | 22   | Pikachu            |  6.08651% | 101    |  5.519% | 82     |  5.900% | 
 | 23   | Malamar            |  5.80859% | 89     |  4.863% | 63     |  4.533% | 
 | 24   | Scrafty            |  5.77620% | 62     |  3.388% | 42     |  3.022% | 
 | 25   | Clefable           |  5.33823% | 65     |  3.552% | 49     |  3.526% | 
 | 26   | Archeops           |  5.26293% | 45     |  2.459% | 35     |  2.518% | 
 | 27   | Gorebyss           |  5.20950% | 29     |  1.585% | 20     |  1.439% | 
 | 28   | Kadabra            |  5.16481% | 65     |  3.552% | 45     |  3.238% | 
 | 29   | Gligar             |  5.07189% | 43     |  2.350% | 33     |  2.374% | 
 | 30   | Tangela            |  5.07037% | 60     |  3.279% | 46     |  3.310% | 
 | 31   | Blissey            |  5.02351% | 27     |  1.475% | 21     |  1.511% | 
 | 32   | Frogadier          |  4.88670% | 50     |  2.732% | 39     |  2.806% | 
 | 33   | Flygon             |  4.74699% | 44     |  2.404% | 36     |  2.590% | 
 | 34   | Regigigas          |  4.45279% | 63     |  3.443% | 51     |  3.670% | 
 | 35   | Scizor-Mega        |  4.44872% | 77     |  4.208% | 61     |  4.389% | 
 | 36   | Kingler            |  4.41839% | 34     |  1.858% | 24     |  1.727% | 
 | 37   | Shiftry            |  4.24756% | 32     |  1.749% | 22     |  1.583% | 
