 Total battles: 622146
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 33.23529% | 413544 | 33.235% | 298349 | 36.356% | 
 | 2    | Xerneas            | 26.81251% | 333626 | 26.813% | 214644 | 26.156% | 
 | 3    | Greninja           | 19.83496% | 246803 | 19.835% | 173642 | 21.159% | 
 | 4    | Kyogre-Primal      | 18.46249% | 229728 | 18.463% | 147872 | 18.019% | 
 | 5    | Darkrai            | 17.90640% | 222809 | 17.906% | 150498 | 18.339% | 
 | 6    | Arceus             | 12.98973% | 161631 | 12.990% | 103061 | 12.559% | 
 | 7    | Aegislash          | 12.53923% | 156027 | 12.539% | 100444 | 12.240% | 
 | 8    | Rayquaza           | 10.81214% | 134534 | 10.812% | 84029  | 10.239% | 
 | 9    | Yveltal            | 10.43003% | 129779 | 10.430% | 87000  | 10.602% | 
 | 10   | Lugia              |  9.81346% | 122107 |  9.813% | 78431  |  9.557% | 
 | 11   | Blaziken-Mega      |  9.08370% | 113029 |  9.084% | 76293  |  9.297% | 
 | 12   | Kangaskhan-Mega    |  8.87860% | 110475 |  8.879% | 78957  |  9.621% | 
 | 13   | Gengar-Mega        |  8.82586% | 109819 |  8.826% | 73145  |  8.913% | 
 | 14   | Salamence-Mega     |  8.21496% | 102218 |  8.215% | 64319  |  7.838% | 
 | 15   | Lucario-Mega       |  8.03834% | 100022 |  8.038% | 65818  |  8.020% | 
 | 16   | Giratina-Origin    |  7.99292% | 99455  |  7.993% | 66589  |  8.114% | 
 | 17   | Mewtwo-Mega-Y      |  7.80128% | 97071  |  7.801% | 61373  |  7.479% | 
 | 18   | Ho-Oh              |  6.66261% | 82902  |  6.663% | 56230  |  6.852% | 
 | 19   | Mewtwo-Mega-X      |  6.47943% | 80624  |  6.480% | 53119  |  6.473% | 
 | 20   | Charizard-Mega-X   |  6.41503% | 79822  |  6.415% | 53895  |  6.567% | 
 | 21   | Deoxys-Attack      |  6.07051% | 75534  |  6.070% | 51125  |  6.230% | 
 | 22   | Blaziken           |  5.60464% | 69738  |  5.605% | 49506  |  6.033% | 
 | 23   | Dialga             |  5.41328% | 67356  |  5.413% | 44196  |  5.386% | 
 | 24   | Dragonite          |  4.95934% | 61709  |  4.959% | 40234  |  4.903% | 
 | 25   | Talonflame         |  4.90532% | 61036  |  4.905% | 41170  |  5.017% | 
 | 26   | Gengar             |  4.53452% | 56422  |  4.534% | 36956  |  4.503% | 
 | 27   | Genesect           |  4.41647% | 54954  |  4.416% | 38035  |  4.635% | 
 | 28   | Gliscor            |  4.19494% | 52197  |  4.195% | 35079  |  4.275% | 
 | 29   | Zekrom             |  3.99575% | 49719  |  3.996% | 31045  |  3.783% | 
 | 30   | Ferrothorn         |  3.94827% | 49128  |  3.948% | 37639  |  4.587% | 
 | 31   | Shaymin-Sky        |  3.86423% | 48082  |  3.864% | 29524  |  3.598% | 
 | 32   | Arceus-Ghost       |  3.58918% | 44660  |  3.589% | 28149  |  3.430% | 
 | 33   | Garchomp           |  3.57803% | 44522  |  3.578% | 29336  |  3.575% | 
 | 34   | Mewtwo             |  3.53839% | 44028  |  3.538% | 26929  |  3.281% | 
 | 35   | Kyurem-White       |  3.42951% | 42674  |  3.430% | 25573  |  3.116% | 
 | 36   | Serperior          |  3.21193% | 39966  |  3.212% | 24198  |  2.949% | 
 | 37   | Charizard-Mega-Y   |  3.18120% | 39583  |  3.181% | 26334  |  3.209% | 
 | 38   | Deoxys-Speed       |  3.07577% | 38271  |  3.076% | 32289  |  3.935% | 
 | 39   | Palkia             |  3.01212% | 37479  |  3.012% | 23382  |  2.849% | 
 | 40   | Sceptile-Mega      |  2.93790% | 36558  |  2.938% | 22935  |  2.795% | 
 | 41   | Cloyster           |  2.91994% | 36332  |  2.920% | 25920  |  3.159% | 
 | 42   | Hoopa-Unbound      |  2.82518% | 35153  |  2.825% | 21383  |  2.606% | 
 | 43   | Tyranitar          |  2.79756% | 34810  |  2.798% | 24212  |  2.950% | 
 | 44   | Infernape          |  2.74317% | 34134  |  2.743% | 23410  |  2.853% | 
 | 45   | Snorlax            |  2.72637% | 33925  |  2.726% | 22860  |  2.786% | 
 | 46   | Metagross-Mega     |  2.67007% | 33223  |  2.670% | 21653  |  2.639% | 
 | 47   | Scolipede          |  2.65255% | 33005  |  2.653% | 26663  |  3.249% | 
 | 48   | Smeargle           |  2.56809% | 31954  |  2.568% | 26044  |  3.174% | 
 | 49   | Mawile-Mega        |  2.55264% | 31762  |  2.553% | 20871  |  2.543% | 
 | 50   | Deoxys-Defense     |  2.50234% | 31136  |  2.502% | 22084  |  2.691% | 
 | 51   | Goodra             |  2.41127% | 30003  |  2.411% | 19699  |  2.400% | 
 | 52   | Pikachu            |  2.32222% | 28896  |  2.322% | 21273  |  2.592% | 
 | 53   | Giratina           |  2.30486% | 28679  |  2.305% | 18495  |  2.254% | 
 | 54   | Klefki             |  2.28535% | 28437  |  2.285% | 22764  |  2.774% | 
 | 55   | Noivern            |  2.28397% | 28419  |  2.284% | 18464  |  2.250% | 
 | 56   | Gardevoir-Mega     |  2.25465% | 28054  |  2.255% | 17749  |  2.163% | 
 | 57   | Sylveon            |  2.22154% | 27643  |  2.222% | 17108  |  2.085% | 
 | 58   | Garchomp-Mega      |  2.21752% | 27592  |  2.217% | 18231  |  2.222% | 
