 Total battles: 424027
 Avg. weight/team: 0.102
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Sylveon            | 24.45077% | 137814 | 16.251% | 101993 | 15.843% | 
 | 2    | Conkeldurr         | 17.80166% | 105031 | 12.385% | 82452  | 12.808% | 
 | 3    | Krookodile         | 17.61409% | 100409 | 11.840% | 78264  | 12.157% | 
 | 4    | Hydreigon          | 17.31116% | 110056 | 12.977% | 80642  | 12.527% | 
 | 5    | Crobat             | 16.65299% | 128726 | 15.179% | 99345  | 15.432% | 
 | 6    | Entei              | 16.21433% | 82157  |  9.688% | 62465  |  9.703% | 
 | 7    | Blastoise-Mega     | 13.80166% | 85586  | 10.092% | 68276  | 10.606% | 
 | 8    | Celebi             | 13.79926% | 71248  |  8.401% | 54199  |  8.419% | 
 | 9    | Forretress         | 12.74964% | 89911  | 10.602% | 77809  | 12.086% | 
 | 10   | Tentacruel         | 12.72593% | 81339  |  9.591% | 65654  | 10.198% | 
 | 11   | Beedrill-Mega      | 11.51435% | 100273 | 11.824% | 74244  | 11.533% | 
 | 12   | Empoleon           | 11.40207% | 75552  |  8.909% | 62153  |  9.655% | 
 | 13   | Aerodactyl-Mega    | 11.12187% | 81424  |  9.601% | 58290  |  9.054% | 
 | 14   | Metagross          | 10.62699% | 68332  |  8.058% | 53508  |  8.312% | 
 | 15   | Gyarados           |  9.75915% | 68836  |  8.117% | 53871  |  8.368% | 
 | 16   | Infernape          |  9.41787% | 88444  | 10.429% | 68331  | 10.614% | 
 | 17   | Arcanine           |  9.39060% | 102926 | 12.137% | 79887  | 12.409% | 
 | 18   | Chandelure         |  8.96018% | 95576  | 11.270% | 70442  | 10.942% | 
 | 19   | Mamoswine          |  8.55262% | 53091  |  6.260% | 41996  |  6.523% | 
 | 20   | Swampert-Mega      |  8.41909% | 53412  |  6.298% | 42446  |  6.593% | 
 | 21   | Suicune            |  8.28892% | 53333  |  6.289% | 41776  |  6.489% | 
 | 22   | Aggron-Mega        |  8.20922% | 64921  |  7.655% | 52277  |  8.120% | 
 | 23   | Nidoking           |  7.69181% | 68380  |  8.063% | 50902  |  7.907% | 
 | 24   | Sceptile-Mega      |  7.65606% | 74823  |  8.823% | 51502  |  8.000% | 
 | 25   | Donphan            |  7.64470% | 67514  |  7.961% | 55654  |  8.645% | 
 | 26   | Rotom-Heat         |  7.56653% | 59213  |  6.982% | 49140  |  7.633% | 
 | 27   | Heliolisk          |  7.48022% | 57092  |  6.732% | 42913  |  6.666% | 
 | 28   | Cobalion           |  7.43363% | 45324  |  5.344% | 35780  |  5.558% | 
 | 29   | Galvantula         |  7.20140% | 77697  |  9.162% | 67087  | 10.421% | 
 | 30   | Crawdaunt          |  7.02326% | 49242  |  5.806% | 37038  |  5.753% | 
 | 31   | Darmanitan         |  6.98297% | 59649  |  7.034% | 45763  |  7.109% | 
 | 32   | Florges            |  6.70870% | 63471  |  7.484% | 45409  |  7.054% | 
 | 33   | Blissey            |  6.46853% | 54037  |  6.372% | 39340  |  6.111% | 
 | 34   | Whimsicott         |  6.44855% | 53057  |  6.256% | 41293  |  6.414% | 
