 Total battles: 28683
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Sylveon            | 16.75557% | 9612   | 16.756% | 6886   | 16.039% | 
 | 2    | Crobat             | 16.32849% | 9367   | 16.328% | 7078   | 16.487% | 
 | 3    | Krookodile         | 15.52488% | 8906   | 15.525% | 6832   | 15.914% | 
 | 4    | Conkeldurr         | 12.78458% | 7334   | 12.785% | 5573   | 12.981% | 
 | 5    | Beedrill-Mega      | 11.66022% | 6689   | 11.660% | 4855   | 11.309% | 
 | 6    | Arcanine           | 11.53819% | 6619   | 11.538% | 5036   | 11.730% | 
 | 7    | Infernape          | 11.42837% | 6556   | 11.428% | 4935   | 11.495% | 
 | 8    | Chandelure         | 11.14946% | 6396   | 11.149% | 4683   | 10.908% | 
 | 9    | Forretress         | 10.72761% | 6154   | 10.728% | 5309   | 12.366% | 
 | 10   | Blastoise-Mega     | 10.42952% | 5983   | 10.430% | 4721   | 10.996% | 
 | 11   | Entei              | 10.22731% | 5867   | 10.227% | 4440   | 10.342% | 
 | 12   | Sceptile-Mega      |  9.81243% | 5629   |  9.812% | 3815   |  8.886% | 
 | 13   | Aerodactyl-Mega    |  9.78803% | 5615   |  9.788% | 4031   |  9.389% | 
 | 14   | Espeon             |  9.26507% | 5315   |  9.265% | 3786   |  8.819% | 
 | 15   | Empoleon           |  8.91817% | 5116   |  8.918% | 4163   |  9.697% | 
 | 16   | Tentacruel         |  8.76477% | 5028   |  8.765% | 3957   |  9.217% | 
 | 17   | Galvantula         |  8.68284% | 4981   |  8.683% | 4217   |  9.823% | 
 | 18   | Gyarados           |  8.48935% | 4870   |  8.489% | 3598   |  8.381% | 
 | 19   | Nidoking           |  8.13025% | 4664   |  8.130% | 3393   |  7.903% | 
 | 20   | Rotom-Heat         |  8.11282% | 4654   |  8.113% | 3856   |  8.982% | 
 | 21   | Donphan            |  8.06575% | 4627   |  8.066% | 3793   |  8.835% | 
 | 22   | Celebi             |  7.98731% | 4582   |  7.987% | 3433   |  7.996% | 
 | 23   | Metagross          |  7.89666% | 4530   |  7.897% | 3472   |  8.087% | 
 | 24   | Cloyster           |  7.72060% | 4429   |  7.721% | 3296   |  7.677% | 
 | 25   | Azelf              |  7.69968% | 4417   |  7.700% | 3848   |  8.963% | 
 | 26   | Aggron-Mega        |  7.50793% | 4307   |  7.508% | 3449   |  8.034% | 
 | 27   | Haxorus            |  7.12617% | 4088   |  7.126% | 2709   |  6.310% | 
 | 28   | Crawdaunt          |  6.81065% | 3907   |  6.811% | 2909   |  6.776% | 
 | 29   | Goodra             |  6.76010% | 3878   |  6.760% | 2682   |  6.247% | 
 | 30   | Whimsicott         |  6.69037% | 3838   |  6.690% | 2881   |  6.711% | 
 | 31   | Umbreon            |  6.62936% | 3803   |  6.629% | 2585   |  6.021% | 
 | 32   | Florges            |  6.62588% | 3801   |  6.626% | 2664   |  6.205% | 
 | 33   | Chesnaught         |  6.59101% | 3781   |  6.591% | 2883   |  6.715% | 
 | 34   | Roserade           |  6.56312% | 3765   |  6.563% | 2712   |  6.317% | 
 | 35   | Mamoswine          |  6.39054% | 3666   |  6.391% | 2849   |  6.636% | 
 | 36   | Blissey            |  6.38357% | 3662   |  6.384% | 2608   |  6.075% | 
 | 37   | Darmanitan         |  6.33825% | 3636   |  6.338% | 2731   |  6.361% | 
 | 38   | Snorlax            |  6.19182% | 3552   |  6.192% | 2479   |  5.774% | 
 | 39   | Suicune            |  6.08374% | 3490   |  6.084% | 2671   |  6.221% | 
 | 40   | Heliolisk          |  5.98089% | 3431   |  5.981% | 2567   |  5.979% | 
 | 41   | Absol-Mega         |  5.89199% | 3380   |  5.892% | 2388   |  5.562% | 
 | 42   | Swampert-Mega      |  5.88328% | 3375   |  5.883% | 2499   |  5.821% | 
 | 43   | Ampharos-Mega      |  5.75951% | 3304   |  5.760% | 2400   |  5.590% | 
 | 44   | Milotic            |  5.64794% | 3240   |  5.648% | 2503   |  5.830% | 
 | 45   | Mienshao           |  5.57473% | 3198   |  5.575% | 2435   |  5.672% | 
 | 46   | Porygon-Z          |  5.51721% | 3165   |  5.517% | 2201   |  5.127% | 
 | 47   | Lucario            |  5.46840% | 3137   |  5.468% | 2220   |  5.171% | 
 | 48   | Vaporeon           |  5.38124% | 3087   |  5.381% | 2473   |  5.760% | 
 | 49   | Cresselia          |  5.29931% | 3040   |  5.299% | 2179   |  5.075% | 
 | 50   | Cobalion           |  5.05352% | 2899   |  5.054% | 2247   |  5.234% | 
 | 51   | Feraligatr         |  4.72405% | 2710   |  4.724% | 1895   |  4.414% | 
 | 52   | Heracross          |  4.70488% | 2699   |  4.705% | 1940   |  4.519% | 
 | 53   | Gardevoir          |  4.68222% | 2686   |  4.682% | 1851   |  4.311% | 
 | 54   | Doublade           |  4.52359% | 2595   |  4.524% | 1976   |  4.603% | 
 | 55   | Machamp            |  4.48872% | 2575   |  4.489% | 1989   |  4.633% | 
 | 56   | Sableye            |  4.45909% | 2558   |  4.459% | 2053   |  4.782% | 
 | 57   | Mandibuzz          |  4.38762% | 2517   |  4.388% | 1929   |  4.493% | 
 | 58   | Swampert           |  4.32486% | 2481   |  4.325% | 2141   |  4.987% | 
 | 59   | Porygon2           |  4.21504% | 2418   |  4.215% | 1739   |  4.051% | 
 | 60   | Sharpedo-Mega      |  4.04944% | 2323   |  4.049% | 1575   |  3.669% | 
 | 61   | Gligar             |  3.91347% | 2245   |  3.913% | 1827   |  4.256% | 
 | 62   | Toxicroak          |  3.83851% | 2202   |  3.839% | 1599   |  3.724% | 
 | 63   | Reuniclus          |  3.81062% | 2186   |  3.811% | 1558   |  3.629% | 
 | 64   | Tornadus           |  3.24583% | 1862   |  3.246% | 1385   |  3.226% | 
 | 65   | Nidoqueen          |  3.21968% | 1847   |  3.220% | 1489   |  3.468% | 
 | 66   | Honchkrow          |  3.09068% | 1773   |  3.091% | 1266   |  2.949% | 
 | 67   | Jolteon            |  3.08719% | 1771   |  3.087% | 1347   |  3.138% | 
 | 68   | Houndoom-Mega      |  3.06105% | 1756   |  3.061% | 1244   |  2.898% | 
 | 69   | Yanmega            |  3.02444% | 1735   |  3.024% | 1284   |  2.991% | 
 | 70   | Slurpuff           |  2.67057% | 1532   |  2.671% | 949    |  2.210% | 
 | 71   | Noivern            |  2.38120% | 1366   |  2.381% | 995    |  2.318% | 
 | 72   | Kingdra            |  2.22257% | 1275   |  2.223% | 870    |  2.026% | 
 | 73   | Zoroark            |  2.12670% | 1220   |  2.127% | 554    |  1.290% | 
 | 74   | Abomasnow-Mega     |  2.03954% | 1170   |  2.040% | 871    |  2.029% | 
 | 75   | Kyurem             |  1.95063% | 1119   |  1.951% | 774    |  1.803% | 
 | 76   | Rotom-Mow          |  1.88962% | 1084   |  1.890% | 884    |  2.059% | 
 | 77   | Shuckle            |  1.80595% | 1036   |  1.806% | 884    |  2.059% | 
 | 78   | Froslass           |  1.79898% | 1032   |  1.799% | 871    |  2.029% | 
 | 79   | Shaymin            |  1.72750% | 991    |  1.728% | 734    |  1.710% | 
 | 80   | Bronzong           |  1.71879% | 986    |  1.719% | 837    |  1.950% | 
 | 81   | Alomomola          |  1.66126% | 953    |  1.661% | 740    |  1.724% | 
 | 82   | Tyrantrum          |  1.64906% | 946    |  1.649% | 643    |  1.498% | 
 | 83   | Dragalge           |  1.54796% | 888    |  1.548% | 624    |  1.453% | 
