 Total battles: 308292
 Avg. weight/team: 0.009
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon-Primal     | 69.65550% | 297636 | 48.272% | 0      |  0.000% | 
 | 2    | Xerneas            | 61.44581% | 208921 | 33.884% | 0      |  0.000% | 
 | 3    | Kangaskhan-Mega    | 57.94400% | 214060 | 34.717% | 0      |  0.000% | 
 | 4    | Smeargle           | 53.17966% | 155758 | 25.261% | 0      |  0.000% | 
 | 5    | Salamence-Mega     | 49.75933% | 160896 | 26.095% | 0      |  0.000% | 
 | 6    | Kyogre-Primal      | 36.45935% | 280008 | 45.413% | 0      |  0.000% | 
 | 7    | Bronzong           | 33.83459% | 123397 | 20.013% | 0      |  0.000% | 
 | 8    | Talonflame         | 32.78324% | 124414 | 20.178% | 0      |  0.000% | 
 | 9    | Cresselia          | 19.20464% | 95951  | 15.562% | 0      |  0.000% | 
 | 10   | Rayquaza-Mega      | 17.32056% | 154495 | 25.057% | 0      |  0.000% | 
 | 11   | Amoonguss          | 16.18965% | 72895  | 11.822% | 0      |  0.000% | 
 | 12   | Gengar-Mega        | 14.90466% | 115907 | 18.798% | 0      |  0.000% | 
 | 13   | Hitmontop          | 12.65428% | 83345  | 13.517% | 0      |  0.000% | 
 | 14   | Thundurus          | 12.26206% | 83645  | 13.566% | 0      |  0.000% | 
 | 15   | Whimsicott         |  9.81636% | 75302  | 12.213% | 0      |  0.000% | 
 | 16   | Raichu             |  8.78334% | 108729 | 17.634% | 0      |  0.000% | 
 | 17   | Scrafty            |  7.17107% | 29600  |  4.801% | 0      |  0.000% | 
 | 18   | Yveltal            |  6.95950% | 63951  | 10.372% | 0      |  0.000% | 
 | 19   | Gengar             |  5.80183% | 24392  |  3.956% | 0      |  0.000% | 
 | 20   | Mawile-Mega        |  5.16251% | 51269  |  8.315% | 0      |  0.000% | 
 | 21   | Crobat             |  5.15560% | 70896  | 11.498% | 0      |  0.000% | 
 | 22   | Ferrothorn         |  5.11078% | 80408  | 13.041% | 0      |  0.000% | 
 | 23   | Meowstic           |  4.00062% | 23283  |  3.776% | 0      |  0.000% | 
 | 24   | Clefairy           |  3.10106% | 10657  |  1.728% | 0      |  0.000% | 
 | 25   | Ditto              |  2.95340% | 16165  |  2.622% | 0      |  0.000% | 
 | 26   | Landorus-Therian   |  2.78367% | 43279  |  7.019% | 0      |  0.000% | 
 | 27   | Sylveon            |  2.35500% | 15634  |  2.536% | 0      |  0.000% | 
 | 28   | Dialga             |  2.32255% | 22632  |  3.671% | 0      |  0.000% | 
 | 29   | Aegislash          |  2.29409% | 28979  |  4.700% | 0      |  0.000% | 
 | 30   | Weavile            |  1.90941% | 41910  |  6.797% | 0      |  0.000% | 
 | 31   | Infernape          |  1.76284% | 12046  |  1.954% | 0      |  0.000% | 
 | 32   | Liepard            |  1.74268% | 18758  |  3.042% | 0      |  0.000% | 
 | 33   | Manectric-Mega     |  1.50430% | 15442  |  2.504% | 0      |  0.000% | 
 | 34   | Togekiss           |  1.38034% | 19984  |  3.241% | 0      |  0.000% | 
 | 35   | Kyogre             |  1.37160% | 7136   |  1.157% | 0      |  0.000% | 
 | 36   | Klefki             |  1.29753% | 11197  |  1.816% | 0      |  0.000% | 
 | 37   | Aerodactyl         |  1.18825% | 3043   |  0.494% | 0      |  0.000% | 
 | 38   | Arcanine           |  1.18009% | 13087  |  2.123% | 0      |  0.000% | 
 | 39   | Ho-Oh              |  0.97482% | 9432   |  1.530% | 0      |  0.000% | 
 | 40   | Zapdos             |  0.91498% | 14509  |  2.353% | 0      |  0.000% | 
 | 41   | Volcarona          |  0.90948% | 7799   |  1.265% | 0      |  0.000% | 
 | 42   | Rotom-Wash         |  0.86711% | 8565   |  1.389% | 0      |  0.000% | 
 | 43   | Ludicolo           |  0.82964% | 11545  |  1.872% | 0      |  0.000% | 
 | 44   | Scizor             |  0.79403% | 13175  |  2.137% | 0      |  0.000% | 
 | 45   | Sableye            |  0.77717% | 12422  |  2.015% | 0      |  0.000% | 
 | 46   | Kyurem-White       |  0.74226% | 13551  |  2.198% | 0      |  0.000% | 
 | 47   | Jellicent          |  0.63018% | 2788   |  0.452% | 0      |  0.000% | 
 | 48   | Heatran            |  0.62906% | 4449   |  0.722% | 0      |  0.000% | 
 | 49   | Cottonee           |  0.60518% | 225    |  0.036% | 0      |  0.000% | 
 | 50   | Mewtwo             |  0.58510% | 11915  |  1.932% | 0      |  0.000% | 
 | 51   | Lickilicky         |  0.56763% | 1798   |  0.292% | 0      |  0.000% | 
 | 52   | Shedinja           |  0.55845% | 6004   |  0.974% | 0      |  0.000% | 
 | 53   | Suicune            |  0.54617% | 8793   |  1.426% | 0      |  0.000% | 
 | 54   | Latios             |  0.52597% | 2709   |  0.439% | 0      |  0.000% | 
 | 55   | Lapras             |  0.51501% | 5308   |  0.861% | 0      |  0.000% | 
 | 56   | Gothitelle         |  0.50915% | 6359   |  1.031% | 0      |  0.000% | 
 | 57   | Zekrom             |  0.49855% | 6735   |  1.092% | 0      |  0.000% | 
 | 58   | Exeggutor          |  0.44169% | 2855   |  0.463% | 0      |  0.000% | 
 | 59   | Venusaur           |  0.42516% | 3267   |  0.530% | 0      |  0.000% | 
 | 60   | Azumarill          |  0.41747% | 5713   |  0.927% | 0      |  0.000% | 
 | 61   | Gyarados-Mega      |  0.37808% | 5253   |  0.852% | 0      |  0.000% | 
 | 62   | Greninja           |  0.36289% | 23224  |  3.767% | 0      |  0.000% | 
 | 63   | Jumpluff           |  0.34389% | 7010   |  1.137% | 0      |  0.000% | 
 | 64   | Sceptile-Mega      |  0.32803% | 8429   |  1.367% | 0      |  0.000% | 
 | 65   | Palkia             |  0.27292% | 9452   |  1.533% | 0      |  0.000% | 
 | 66   | Giratina-Origin    |  0.25988% | 9163   |  1.486% | 0      |  0.000% | 
 | 67   | Giratina           |  0.25036% | 2712   |  0.440% | 0      |  0.000% | 
 | 68   | Terrakion          |  0.24998% | 6207   |  1.007% | 0      |  0.000% | 
 | 69   | Murkrow            |  0.24722% | 3526   |  0.572% | 0      |  0.000% | 
 | 70   | Gardevoir-Mega     |  0.24431% | 10580  |  1.716% | 0      |  0.000% | 
 | 71   | Gastrodon          |  0.22821% | 6936   |  1.125% | 0      |  0.000% | 
 | 72   | Magmar             |  0.20451% | 107    |  0.017% | 0      |  0.000% | 
 | 73   | Golduck            |  0.20411% | 6575   |  1.066% | 0      |  0.000% | 
