 Total battles: 19488
 Avg. weight/team: 0.264
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 42.74786% | 12056  | 30.932% | 9607   | 30.631% | 
 | 2    | Heatran            | 34.25715% | 9941   | 25.505% | 8396   | 26.770% | 
 | 3    | Starmie            | 30.52139% | 9377   | 24.058% | 7521   | 23.980% | 
 | 4    | Jirachi            | 26.44369% | 8317   | 21.339% | 6712   | 21.401% | 
 | 5    | Flygon             | 24.57008% | 7392   | 18.966% | 6100   | 19.449% | 
 | 6    | Breloom            | 23.10911% | 6821   | 17.501% | 5247   | 16.730% | 
 | 7    | Gyarados           | 23.09208% | 7118   | 18.263% | 5891   | 18.783% | 
 | 8    | Infernape          | 19.84561% | 7406   | 19.001% | 5951   | 18.974% | 
 | 9    | Zapdos             | 19.78957% | 5015   | 12.867% | 4107   | 13.095% | 
 | 10   | Scizor             | 19.28888% | 7344   | 18.842% | 5766   | 18.384% | 
 | 11   | Dragonite          | 19.18888% | 7224   | 18.534% | 5327   | 16.985% | 
 | 12   | Rotom-Wash         | 16.83637% | 4519   | 11.594% | 3793   | 12.094% | 
 | 13   | Lucario            | 15.76294% | 5240   | 13.444% | 3785   | 12.068% | 
 | 14   | Metagross          | 15.46653% | 5072   | 13.013% | 4201   | 13.394% | 
 | 15   | Swampert           | 15.02597% | 4824   | 12.377% | 4225   | 13.471% | 
 | 16   | Gengar             | 14.12817% | 7349   | 18.855% | 5577   | 17.782% | 
 | 17   | Kingdra            | 12.71968% | 5000   | 12.828% | 3820   | 12.180% | 
 | 18   | Azelf              | 12.58239% | 5180   | 13.290% | 4833   | 15.410% | 
 | 19   | Skarmory           | 12.42244% | 4317   | 11.076% | 3745   | 11.941% | 
 | 20   | Machamp            | 12.09000% | 5469   | 14.032% | 4550   | 14.507% | 
 | 21   | Suicune            | 11.80495% | 3575   |  9.172% | 2847   |  9.077% | 
 | 22   | Celebi             | 11.53432% | 3636   |  9.329% | 2977   |  9.492% | 
 | 23   | Roserade           | 10.57859% | 3244   |  8.323% | 2757   |  8.790% | 
 | 24   | Rotom-Heat         |  9.40213% | 2739   |  7.027% | 2253   |  7.183% | 
 | 25   | Magnezone          |  8.56888% | 3097   |  7.946% | 2430   |  7.748% | 
 | 26   | Bronzong           |  8.42040% | 3543   |  9.090% | 3130   |  9.980% | 
 | 27   | Blissey            |  8.12359% | 3517   |  9.024% | 2816   |  8.979% | 
 | 28   | Empoleon           |  6.89632% | 2688   |  6.897% | 2201   |  7.018% | 
 | 29   | Forretress         |  6.20592% | 2222   |  5.701% | 1937   |  6.176% | 
 | 30   | Gliscor            |  6.03506% | 2385   |  6.119% | 2018   |  6.434% | 
 | 31   | Aerodactyl         |  5.89512% | 2474   |  6.347% | 2238   |  7.136% | 
 | 32   | Uxie               |  5.84496% | 1260   |  3.233% | 1200   |  3.826% | 
 | 33   | Shaymin            |  5.81071% | 1622   |  4.162% | 1290   |  4.113% | 
 | 34   | Hippowdon          |  5.56614% | 2277   |  5.842% | 2056   |  6.555% | 
 | 35   | Clefable           |  4.95928% | 932    |  2.391% | 752    |  2.398% | 
 | 36   | Raikou             |  3.77033% | 1200   |  3.079% | 916    |  2.921% | 
 | 37   | Weavile            |  3.65993% | 2294   |  5.886% | 1720   |  5.484% | 
 | 38   | Nidoqueen          |  3.21538% | 552    |  1.416% | 504    |  1.607% | 
 | 39   | Tentacruel         |  3.20472% | 1535   |  3.938% | 1212   |  3.864% | 
 | 40   | Snorlax            |  3.01964% | 2134   |  5.475% | 1638   |  5.223% | 
 | 41   | Vaporeon           |  2.96268% | 1241   |  3.184% | 1004   |  3.201% | 
 | 42   | Dugtrio            |  2.93916% | 1087   |  2.789% | 792    |  2.525% | 
 | 43   | Mamoswine          |  2.85661% | 1399   |  3.589% | 1156   |  3.686% | 
 | 44   | Jolteon            |  2.60955% | 1781   |  4.569% | 1418   |  4.521% | 
 | 45   | Crobat             |  2.30769% | 816    |  2.094% | 720    |  2.296% | 
 | 46   | Milotic            |  2.25683% | 1011   |  2.594% | 812    |  2.589% | 
 | 47   | Cresselia          |  2.15606% | 1097   |  2.815% | 862    |  2.748% | 
 | 48   | Froslass           |  1.81274% | 915    |  2.348% | 785    |  2.503% | 
