 Total leads: 30
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Diglett            | 59.14733% | 3      | 10.000% | 
 | 2    | Drifloon           | 40.85267% | 3      | 10.000% | 
 | 3    | Pichu              |  0.00000% | 1      |  3.333% | 
 | 4    | Croagunk           |  0.00000% | 1      |  3.333% | 
 | 5    | Chimchar           |  0.00000% | 6      | 20.000% | 
 | 6    | Houndour           |  0.00000% | 2      |  6.667% | 
 | 7    | Chingling          |  0.00000% | 1      |  3.333% | 
 | 8    | Aipom              |  0.00000% | 1      |  3.333% | 
 | 9    | Gible              |  0.00000% | 1      |  3.333% | 
 | 10   | Cyndaquil          |  0.00000% | 1      |  3.333% | 
 | 11   | Buneary            |  0.00000% | 1      |  3.333% | 
 | 12   | Exeggcute          |  0.00000% | 1      |  3.333% | 
 | 13   | Hippopotas         |  0.00000% | 1      |  3.333% | 
 | 14   | Rattata            |  0.00000% | 1      |  3.333% | 
 | 15   | Barboach           |  0.00000% | 1      |  3.333% | 
 | 16   | Starly             |  0.00000% | 1      |  3.333% | 
 | 17   | Munchlax           |  0.00000% | 1      |  3.333% | 
 | 18   | Gastly             |  0.00000% | 1      |  3.333% | 
 | 19   | Meowth             |  0.00000% | 1      |  3.333% | 
 | 20   | Taillow            |  0.00000% | 1      |  3.333% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
