 Total battles: 235
 Avg. weight/team: 0.222
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Giratina-Origin    | 55.41872% | 143    | 30.426% | 91     | 26.569% | 
 | 2    | Rayquaza           | 49.22819% | 130    | 27.660% | 84     | 24.526% | 
 | 3    | Kyogre             | 43.70064% | 175    | 37.234% | 125    | 36.496% | 
 | 4    | Mewtwo             | 41.25123% | 124    | 26.383% | 84     | 24.526% | 
 | 5    | Deoxys-Speed       | 36.35246% | 79     | 16.809% | 78     | 22.774% | 
 | 6    | Lugia              | 33.41270% | 88     | 18.723% | 70     | 20.438% | 
 | 7    | Darkrai            | 32.62190% | 150    | 31.915% | 113    | 32.993% | 
 | 8    | Palkia             | 29.24894% | 64     | 13.617% | 42     | 12.263% | 
 | 9    | Deoxys-Attack      | 28.95931% | 72     | 15.319% | 47     | 13.723% | 
 | 10   | Forretress         | 26.65080% | 60     | 12.766% | 53     | 15.474% | 
 | 11   | Groudon            | 25.37763% | 99     | 21.064% | 78     | 22.774% | 
 | 12   | Dialga             | 23.27756% | 104    | 22.128% | 83     | 24.234% | 
 | 13   | Bronzong           | 16.05512% | 28     |  5.957% | 22     |  6.423% | 
 | 14   | Ho-Oh              | 15.27103% | 61     | 12.979% | 43     | 12.555% | 
 | 15   | Garchomp           | 14.36060% | 143    | 30.426% | 95     | 27.737% | 
 | 16   | Giratina           | 12.80518% | 36     |  7.660% | 23     |  6.715% | 
 | 17   | Scizor             |  9.11054% | 39     |  8.298% | 31     |  9.051% | 
 | 18   | Tyranitar          |  8.62632% | 48     | 10.213% | 42     | 12.263% | 
 | 19   | Kingdra            |  8.40932% | 26     |  5.532% | 14     |  4.088% | 
 | 20   | Cresselia          |  7.43802% | 12     |  2.553% | 10     |  2.920% | 
 | 21   | Blissey            |  7.43802% | 38     |  8.085% | 25     |  7.299% | 
 | 22   | Heatran            |  6.83267% | 24     |  5.106% | 17     |  4.964% | 
 | 23   | Wobbuffet          |  6.51955% | 42     |  8.936% | 31     |  9.051% | 
 | 24   | Mew                |  5.40740% | 34     |  7.234% | 29     |  8.467% | 
 | 25   | Jirachi            |  5.22149% | 16     |  3.404% | 6      |  1.752% | 
 | 26   | Celebi             |  4.87261% | 7      |  1.489% | 5      |  1.460% | 
 | 27   | Shaymin-Sky        |  3.93626% | 46     |  9.787% | 33     |  9.635% | 
 | 28   | Froslass           |  3.82420% | 9      |  1.915% | 8      |  2.336% | 
 | 29   | Kabutops           |  3.10518% | 8      |  1.702% | 6      |  1.752% | 
 | 30   | Mamoswine          |  3.09546% | 29     |  6.170% | 24     |  7.007% | 
 | 31   | Latios             |  2.87156% | 33     |  7.021% | 22     |  6.423% | 
 | 32   | Heracross          |  2.86697% | 13     |  2.766% | 7      |  2.044% | 
 | 33   | Gengar             |  2.86697% | 30     |  6.383% | 24     |  7.007% | 
 | 34   | Cloyster           |  2.86374% | 5      |  1.064% | 5      |  1.460% | 
 | 35   | Skarmory           |  2.51365% | 19     |  4.043% | 17     |  4.964% | 
 | 36   | Electivire         |  1.47541% | 27     |  5.745% | 16     |  4.672% | 
 | 37   | Salamence          |  1.47385% | 31     |  6.596% | 16     |  4.672% | 
 | 38   | Lucario            |  1.30749% | 27     |  5.745% | 21     |  6.131% | 
 | 39   | Umbreon            |  1.18634% | 11     |  2.340% | 8      |  2.336% | 
 | 40   | Breloom            |  1.13930% | 5      |  1.064% | 5      |  1.460% | 
 | 41   | Drapion            |  1.13930% | 8      |  1.702% | 7      |  2.044% | 
 | 42   | Deoxys-Defense     |  1.08216% | 12     |  2.553% | 11     |  3.212% | 
 | 43   | Manaphy            |  0.95808% | 23     |  4.894% | 17     |  4.964% | 
 | 44   | Jolteon            |  0.87841% | 16     |  3.404% | 13     |  3.796% | 
 | 45   | Vaporeon           |  0.82524% | 6      |  1.277% | 4      |  1.168% | 
 | 46   | Machamp            |  0.66229% | 10     |  2.128% | 8      |  2.336% | 
 | 47   | Shuckle            |  0.65618% | 4      |  0.851% | 3      |  0.876% | 
 | 48   | Milotic            |  0.57195% | 14     |  2.979% | 9      |  2.628% | 
 | 49   | Gallade            |  0.42435% | 10     |  2.128% | 6      |  1.752% | 
 | 50   | Arcanine           |  0.42430% | 3      |  0.638% | 2      |  0.584% | 
 | 51   | Porygon-Z          |  0.42418% | 6      |  1.277% | 6      |  1.752% | 
 | 52   | Empoleon           |  0.42418% | 18     |  3.830% | 14     |  4.088% | 
 | 53   | Crobat             |  0.34595% | 3      |  0.638% | 1      |  0.292% | 
 | 54   | Clefable           |  0.34595% | 1      |  0.213% | 1      |  0.292% | 
 | 55   | Magnezone          |  0.34595% | 3      |  0.638% | 1      |  0.292% | 
 | 56   | Infernape          |  0.32367% | 39     |  8.298% | 31     |  9.051% | 
 | 57   | Spiritomb          |  0.30372% | 16     |  3.404% | 12     |  3.504% | 
 | 58   | Roserade           |  0.25199% | 13     |  2.766% | 8      |  2.336% | 
 | 59   | Typhlosion         |  0.25199% | 3      |  0.638% | 3      |  0.876% | 
 | 60   | Latias             |  0.23168% | 12     |  2.553% | 8      |  2.336% | 
 | 61   | Yanmega            |  0.22599% | 9      |  1.915% | 5      |  1.460% | 
 | 62   | Jumpluff           |  0.17231% | 1      |  0.213% | 1      |  0.292% | 
 | 63   | Shiftry            |  0.17231% | 1      |  0.213% | 1      |  0.292% | 
 | 64   | Smeargle           |  0.07773% | 3      |  0.638% | 2      |  0.584% | 
 | 65   | Torterra           |  0.00808% | 20     |  4.255% | 14     |  4.088% | 
 | 66   | Staraptor          |  0.00808% | 14     |  2.979% | 10     |  2.920% | 
 | 67   | Gliscor            |  0.00808% | 17     |  3.617% | 9      |  2.628% | 
 | 68   | Gible              |  0.00808% | 2      |  0.426% | 2      |  0.584% | 
 | 69   | Pikachu            |  0.00808% | 5      |  1.064% | 4      |  1.168% | 
 | 70   | Rotom-Mow          |  0.00612% | 4      |  0.851% | 3      |  0.876% | 
 | 71   | Ninjask            |  0.00612% | 10     |  2.128% | 8      |  2.336% | 
 | 72   | Sudowoodo          |  0.00612% | 3      |  0.638% | 1      |  0.292% | 
 | 73   | Blaziken           |  0.00427% | 12     |  2.553% | 10     |  2.920% | 
