 Total battles: 1
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Jirachi            |  0.00000% | 1      | 50.000% | 1      | 120.000% | 
 | 2    | Rotom-Wash         |  0.00000% | 1      | 50.000% | 0      |  0.000% | 
 | 3    | Starmie            |  0.00000% | 1      | 50.000% | 0      |  0.000% | 
 | 4    | Breloom            |  0.00000% | 1      | 50.000% | 0      |  0.000% | 
 | 5    | Electivire         |  0.00000% | 1      | 50.000% | 0      |  0.000% | 
 | 6    | Empoleon           |  0.00000% | 1      | 50.000% | 1      | 120.000% | 
 | 7    | Scizor             |  0.00000% | 1      | 50.000% | 1      | 120.000% | 
 | 8    | Skarmory           |  0.00000% | 1      | 50.000% | 0      |  0.000% | 
 | 9    | Yanmega            |  0.00000% | 1      | 50.000% | 1      | 120.000% | 
 | 10   | Infernape          |  0.00000% | 1      | 50.000% | 0      |  0.000% | 
 | 11   | Blissey            |  0.00000% | 1      | 50.000% | 0      |  0.000% | 
 | 12   | Garchomp           |  0.00000% | 1      | 50.000% | 1      | 120.000% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
