 Total battles: 3
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mewtwo             | 66.66667% | 4      | 66.667% | 3      | 62.069% | 
 | 2    | Groudon            | 50.00000% | 3      | 50.000% | 2      | 41.379% | 
 | 3    | Rayquaza           | 33.33333% | 2      | 33.333% | 2      | 41.379% | 
 | 4    | Mew                | 33.33333% | 2      | 33.333% | 2      | 41.379% | 
 | 5    | Giratina-Origin    | 33.33333% | 2      | 33.333% | 2      | 41.379% | 
 | 6    | Dialga             | 33.33333% | 2      | 33.333% | 1      | 20.690% | 
 | 7    | Palkia             | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 8    | Cloyster           | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 9    | Froslass           | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 10   | Regirock           | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 11   | Registeel          | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 12   | Ursaring           | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 13   | Hariyama           | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 14   | Electabuzz         | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 15   | Azelf              | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 16   | Jumpluff           | 16.66667% | 1      | 16.667% | 0      |  0.000% | 
 | 17   | Kyogre             | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 18   | Regice             | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 19   | Monferno           | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 20   | Lairon             | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 21   | Forretress         | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 22   | Scizor             | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 23   | Nidoking           | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 | 24   | Ninjask            | 16.66667% | 1      | 16.667% | 1      | 20.690% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
