 Total leads: 28
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Houndoom           | 17.85714% | 5      | 17.857% | 
 | 2    | Drapion            | 14.28571% | 4      | 14.286% | 
 | 3    | Froslass           | 10.71429% | 3      | 10.714% | 
 | 4    | Alakazam           | 10.71429% | 3      | 10.714% | 
 | 5    | Gardevoir          |  7.14286% | 2      |  7.143% | 
 | 6    | Floatzel           |  7.14286% | 2      |  7.143% | 
 | 7    | Staraptor          |  3.57143% | 1      |  3.571% | 
 | 8    | Mamoswine          |  3.57143% | 1      |  3.571% | 
 | 9    | Deoxys-Attack      |  3.57143% | 1      |  3.571% | 
 | 10   | Tentacruel         |  3.57143% | 1      |  3.571% | 
 | 11   | Darkrai            |  3.57143% | 1      |  3.571% | 
 | 12   | Garchomp           |  3.57143% | 1      |  3.571% | 
 | 13   | Roserade           |  3.57143% | 1      |  3.571% | 
 | 14   | Infernape          |  3.57143% | 1      |  3.571% | 
 | 15   | Shaymin-Sky        |  3.57143% | 1      |  3.571% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
