 Total battles: 79
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Regirock           | 29.11392% | 46     | 29.114% | 44     | 32.795% | 
 | 2    | Slowking           | 27.84810% | 44     | 27.848% | 37     | 27.578% | 
 | 3    | Charizard          | 27.84810% | 44     | 27.848% | 37     | 27.578% | 
 | 4    | Hitmonchan         | 25.31646% | 40     | 25.316% | 31     | 23.106% | 
 | 5    | Tauros             | 20.25316% | 32     | 20.253% | 28     | 20.870% | 
 | 6    | Sandslash          | 18.35443% | 29     | 18.354% | 28     | 20.870% | 
 | 7    | Skuntank           | 16.45570% | 26     | 16.456% | 23     | 17.143% | 
 | 8    | Gardevoir          | 15.82278% | 25     | 15.823% | 19     | 14.161% | 
 | 9    | Medicham           | 15.82278% | 25     | 15.823% | 23     | 17.143% | 
 | 10   | Golduck            | 14.55696% | 23     | 14.557% | 12     |  8.944% | 
 | 11   | Drifblim           | 14.55696% | 23     | 14.557% | 22     | 16.398% | 
 | 12   | Camerupt           | 13.92405% | 22     | 13.924% | 16     | 11.925% | 
 | 13   | Linoone            | 12.65823% | 20     | 12.658% | 15     | 11.180% | 
 | 14   | Sharpedo           | 12.65823% | 20     | 12.658% | 20     | 14.907% | 
 | 15   | Dusclops           | 12.02532% | 19     | 12.025% | 19     | 14.161% | 
 | 16   | Cacturne           | 11.39241% | 18     | 11.392% | 14     | 10.435% | 
 | 17   | Gastrodon          | 11.39241% | 18     | 11.392% | 15     | 11.180% | 
 | 18   | Marowak            | 10.75949% | 17     | 10.759% | 14     | 10.435% | 
 | 19   | Magmortar          | 10.12658% | 16     | 10.127% | 14     | 10.435% | 
 | 20   | Haunter            | 10.12658% | 16     | 10.127% | 12     |  8.944% | 
 | 21   | Articuno           |  8.86076% | 14     |  8.861% | 11     |  8.199% | 
 | 22   | Crawdaunt          |  8.86076% | 14     |  8.861% | 13     |  9.689% | 
 | 23   | Manectric          |  8.86076% | 14     |  8.861% | 10     |  7.453% | 
 | 24   | Typhlosion         |  8.22785% | 13     |  8.228% | 10     |  7.453% | 
 | 25   | Vileplume          |  7.59494% | 12     |  7.595% | 9      |  6.708% | 
 | 26   | Gligar             |  6.96203% | 11     |  6.962% | 10     |  7.453% | 
 | 27   | Muk                |  6.96203% | 11     |  6.962% | 7      |  5.217% | 
 | 28   | Jynx               |  6.96203% | 11     |  6.962% | 11     |  8.199% | 
 | 29   | Gorebyss           |  6.32911% | 10     |  6.329% | 7      |  5.217% | 
 | 30   | Dragonair          |  5.69620% | 9      |  5.696% | 7      |  5.217% | 
 | 31   | Nidoqueen          |  5.69620% | 9      |  5.696% | 7      |  5.217% | 
 | 32   | Lickilicky         |  5.69620% | 9      |  5.696% | 9      |  6.708% | 
 | 33   | Glalie             |  5.69620% | 9      |  5.696% | 9      |  6.708% | 
 | 34   | Rampardos          |  5.06329% | 8      |  5.063% | 6      |  4.472% | 
 | 35   | Porygon2           |  5.06329% | 8      |  5.063% | 7      |  5.217% | 
 | 36   | Electrode          |  5.06329% | 8      |  5.063% | 5      |  3.727% | 
 | 37   | Banette            |  4.43038% | 7      |  4.430% | 6      |  4.472% | 
 | 38   | Arbok              |  4.43038% | 7      |  4.430% | 7      |  5.217% | 
