 Total leads: 172
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Darkrai            | 17.44186% | 30     | 17.442% | 
 | 2    | Deoxys-Speed       |  9.30233% | 16     |  9.302% | 
 | 3    | Deoxys-Attack      |  6.39535% | 11     |  6.395% | 
 | 4    | Froslass           |  5.81395% | 10     |  5.814% | 
 | 5    | Rayquaza           |  5.23256% | 9      |  5.233% | 
 | 6    | Dialga             |  5.23256% | 9      |  5.233% | 
 | 7    | Groudon            |  4.65116% | 8      |  4.651% | 
 | 8    | Slowking           |  4.06977% | 7      |  4.070% | 
 | 9    | Tyranitar          |  3.48837% | 6      |  3.488% | 
 | 10   | Mew                |  2.90698% | 5      |  2.907% | 
 | 11   | Forretress         |  2.90698% | 5      |  2.907% | 
 | 12   | Palkia             |  2.32558% | 4      |  2.326% | 
 | 13   | Cloyster           |  2.32558% | 4      |  2.326% | 
 | 14   | Garchomp           |  2.32558% | 4      |  2.326% | 
 | 15   | Salamence          |  1.74419% | 3      |  1.744% | 
 | 16   | Mewtwo             |  1.74419% | 3      |  1.744% | 
 | 17   | Kyogre             |  1.74419% | 3      |  1.744% | 
 | 18   | Bronzong           |  1.16279% | 2      |  1.163% | 
 | 19   | Wobbuffet          |  1.16279% | 2      |  1.163% | 
 | 20   | Qwilfish           |  1.16279% | 2      |  1.163% | 
 | 21   | Aerodactyl         |  1.16279% | 2      |  1.163% | 
 | 22   | Giratina-Origin    |  1.16279% | 2      |  1.163% | 
 | 23   | Tentacruel         |  1.16279% | 2      |  1.163% | 
 | 24   | Lugia              |  1.16279% | 2      |  1.163% | 
 | 25   | Ninjask            |  1.16279% | 2      |  1.163% | 
 | 26   | Pichu              |  0.58140% | 1      |  0.581% | 
 | 27   | Staraptor          |  0.58140% | 1      |  0.581% | 
 | 28   | Jolteon            |  0.58140% | 1      |  0.581% | 
 | 29   | Spiritomb          |  0.58140% | 1      |  0.581% | 
 | 30   | Sandslash          |  0.58140% | 1      |  0.581% | 
 | 31   | Raichu             |  0.58140% | 1      |  0.581% | 
 | 32   | Abomasnow          |  0.58140% | 1      |  0.581% | 
 | 33   | Infernape          |  0.58140% | 1      |  0.581% | 
 | 34   | Drapion            |  0.58140% | 1      |  0.581% | 
 | 35   | Torterra           |  0.58140% | 1      |  0.581% | 
 | 36   | Blissey            |  0.58140% | 1      |  0.581% | 
 | 37   | Shaymin-Sky        |  0.58140% | 1      |  0.581% | 
 | 38   | Smeargle           |  0.58140% | 1      |  0.581% | 
 | 39   | Gengar             |  0.58140% | 1      |  0.581% | 
 | 40   | Deoxys-Defense     |  0.58140% | 1      |  0.581% | 
 | 41   | Typhlosion         |  0.58140% | 1      |  0.581% | 
 | 42   | Empoleon           |  0.58140% | 1      |  0.581% | 
 | 43   | Heracross          |  0.58140% | 1      |  0.581% | 
 | 44   | Gliscor            |  0.58140% | 1      |  0.581% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
