 Total battles: 2
 Avg. weight/team: 0.704
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Haunter            | 92.40300% | 3      | 75.000% | 3      | 81.818% | 
 | 2    | Tauros             | 92.40300% | 3      | 75.000% | 3      | 81.818% | 
 | 3    | Charizard          | 64.49167% | 3      | 75.000% | 2      | 54.545% | 
 | 4    | Gardevoir          | 56.89467% | 2      | 50.000% | 1      | 27.273% | 
 | 5    | Regirock           | 56.89467% | 2      | 50.000% | 2      | 54.545% | 
 | 6    | Floatzel           | 56.89467% | 2      | 50.000% | 2      | 54.545% | 
 | 7    | Pinsir             | 35.50833% | 1      | 25.000% | 1      | 27.273% | 
 | 8    | Jynx               | 35.50833% | 1      | 25.000% | 1      | 27.273% | 
 | 9    | Rhydon             | 35.50833% | 1      | 25.000% | 1      | 27.273% | 
 | 10   | Politoed           | 35.50833% | 1      | 25.000% | 1      | 27.273% | 
 | 11   | Quagsire           |  7.59700% | 1      | 25.000% | 1      | 27.273% | 
 | 12   | Lapras             |  7.59700% | 1      | 25.000% | 1      | 27.273% | 
 | 13   | Sandslash          |  7.59700% | 1      | 25.000% | 1      | 27.273% | 
 | 14   | Ninetales          |  7.59700% | 1      | 25.000% | 1      | 27.273% | 
 | 15   | Skuntank           |  7.59700% | 1      | 25.000% | 1      | 27.273% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
