 Total battles: 111
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Heracross          | 26.57658% | 59     | 26.577% | 25     | 67.568% | 
 | 2    | Raikou             | 14.86486% | 33     | 14.865% | 11     | 29.730% | 
 | 3    | Starmie            | 13.51351% | 30     | 13.514% | 4      | 10.811% | 
 | 4    | Umbreon            | 12.61261% | 28     | 12.613% | 9      | 24.324% | 
 | 5    | Machamp            | 12.16216% | 27     | 12.162% | 11     | 29.730% | 
 | 6    | Suicune            | 11.71171% | 26     | 11.712% | 9      | 24.324% | 
 | 7    | Blissey            | 10.36036% | 23     | 10.360% | 9      | 24.324% | 
 | 8    | Gengar             |  8.55856% | 19     |  8.559% | 8      | 21.622% | 
 | 9    | Tyranitar          |  8.55856% | 19     |  8.559% | 5      | 13.514% | 
 | 10   | Marowak            |  7.65766% | 17     |  7.658% | 6      | 16.216% | 
 | 11   | Zapdos             |  6.75676% | 15     |  6.757% | 8      | 21.622% | 
 | 12   | Miltank            |  6.75676% | 15     |  6.757% | 11     | 29.730% | 
 | 13   | Porygon2           |  6.30631% | 14     |  6.306% | 12     | 32.432% | 
 | 14   | Venusaur           |  6.30631% | 14     |  6.306% | 6      | 16.216% | 
 | 15   | Alakazam           |  5.85586% | 13     |  5.856% | 4      | 10.811% | 
 | 16   | Tauros             |  4.50450% | 10     |  4.505% | 2      |  5.405% | 
 | 17   | Vaporeon           |  4.05405% | 9      |  4.054% | 3      |  8.108% | 
 | 18   | Scizor             |  4.05405% | 9      |  4.054% | 4      | 10.811% | 
 | 19   | Electrode          |  4.05405% | 9      |  4.054% | 4      | 10.811% | 
 | 20   | Crobat             |  3.60360% | 8      |  3.604% | 1      |  2.703% | 
 | 21   | Persian            |  3.60360% | 8      |  3.604% | 4      | 10.811% | 
 | 22   | Shuckle            |  3.60360% | 8      |  3.604% | 2      |  5.405% | 
 | 23   | Exeggutor          |  3.60360% | 8      |  3.604% | 1      |  2.703% | 
 | 24   | Nidoking           |  3.60360% | 8      |  3.604% | 2      |  5.405% | 
 | 25   | Dragonite          |  3.15315% | 7      |  3.153% | 1      |  2.703% | 
 | 26   | Jynx               |  3.15315% | 7      |  3.153% | 4      | 10.811% | 
 | 27   | Jumpluff           |  3.15315% | 7      |  3.153% | 2      |  5.405% | 
 | 28   | Forretress         |  3.15315% | 7      |  3.153% | 5      | 13.514% | 
 | 29   | Charizard          |  3.15315% | 7      |  3.153% | 1      |  2.703% | 
 | 30   | Steelix            |  2.70270% | 6      |  2.703% | 1      |  2.703% | 
 | 31   | Misdreavus         |  2.70270% | 6      |  2.703% | 3      |  8.108% | 
 | 32   | Cloyster           |  2.25225% | 5      |  2.252% | 2      |  5.405% | 
 | 33   | Ditto              |  2.25225% | 5      |  2.252% | 4      | 10.811% | 
 | 34   | Skarmory           |  2.25225% | 5      |  2.252% | 2      |  5.405% | 
 | 35   | Snorlax            |  1.80180% | 4      |  1.802% | 0      |  0.000% | 
 | 36   | Muk                |  1.80180% | 4      |  1.802% | 2      |  5.405% | 
