 Total battles: 283096
 Avg. weight/team: 0.488
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rayquaza-Mega      | 18.85563% | 83759  | 14.793% | 52430  | 14.676% | 
 | 2    | Groudon-Primal     | 16.64651% | 73585  | 12.996% | 50739  | 14.203% | 
 | 3    | Marshadow          | 12.20643% | 53416  |  9.434% | 34628  |  9.693% | 
 | 4    | Xerneas            | 12.02375% | 51944  |  9.174% | 31733  |  8.883% | 
 | 5    | Kyogre-Primal      | 11.60302% | 53534  |  9.455% | 32969  |  9.229% | 
 | 6    | Smeargle           | 11.44068% | 64085  | 11.319% | 40016  | 11.201% | 
 | 7    | Aegislash          |  7.87647% | 41928  |  7.405% | 27130  |  7.594% | 
 | 8    | Greninja-Ash       |  7.23143% | 41739  |  7.372% | 27845  |  7.794% | 
 | 9    | Ferrothorn         |  6.88901% | 35632  |  6.293% | 27003  |  7.559% | 
 | 10   | Necrozma-Dusk-Mane |  6.49209% | 27254  |  4.814% | 17586  |  4.923% | 
 | 11   | Ditto              |  6.23105% | 33242  |  5.871% | 12577  |  3.521% | 
 | 12   | Darkrai            |  5.70489% | 30448  |  5.378% | 19089  |  5.343% | 
 | 13   | Gliscor            |  5.69173% | 31076  |  5.489% | 20651  |  5.781% | 
 | 14   | Arceus             |  5.24068% | 22254  |  3.930% | 13424  |  3.758% | 
 | 15   | Garchomp           |  5.18670% | 28310  |  5.000% | 19001  |  5.319% | 
 | 16   | Mimikyu            |  5.08781% | 26425  |  4.667% | 17717  |  4.959% | 
 | 17   | Blaziken-Mega      |  5.05696% | 28178  |  4.977% | 19047  |  5.332% | 
 | 18   | Yveltal            |  5.01676% | 21591  |  3.813% | 14013  |  3.923% | 
 | 19   | Mewtwo-Mega-Y      |  4.63438% | 22796  |  4.026% | 14423  |  4.037% | 
 | 20   | Cloyster           |  4.50391% | 23016  |  4.065% | 15306  |  4.284% | 
 | 21   | Toxapex            |  4.48974% | 23274  |  4.111% | 16299  |  4.562% | 
 | 22   | Shuckle            |  4.25365% | 24770  |  4.375% | 15952  |  4.465% | 
 | 23   | Lugia              |  4.04545% | 18249  |  3.223% | 11471  |  3.211% | 
 | 24   | Gengar-Mega        |  4.03019% | 22364  |  3.950% | 14351  |  4.017% | 
