 Total battles: 56375
 Avg. weight/team: 0.052
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Celesteela         | 15.37224% | 7026   |  6.231% | 5262   |  6.462% | 
 | 2    | Dragonite          | 13.83739% | 6962   |  6.175% | 4779   |  5.869% | 
 | 3    | Kyurem-Black       | 12.44704% | 5256   |  4.662% | 3652   |  4.485% | 
 | 4    | Garchomp           | 11.08140% | 5811   |  5.154% | 4628   |  5.683% | 
 | 5    | Latios             | 10.88930% | 3938   |  3.493% | 2725   |  3.346% | 
 | 6    | Kommo-o            | 10.28006% | 6148   |  5.453% | 4409   |  5.414% | 
 | 7    | Lopunny-Mega       |  9.84539% | 5947   |  5.275% | 4649   |  5.709% | 
 | 8    | Charizard-Mega-Y   |  9.44761% | 6245   |  5.539% | 4546   |  5.583% | 
 | 9    | Heatran            |  9.30478% | 6990   |  6.200% | 5252   |  6.450% | 
 | 10   | Staraptor          |  8.92605% | 5525   |  4.900% | 3919   |  4.813% | 
 | 11   | Volcarona          |  8.57413% | 11633  | 10.318% | 7715   |  9.474% | 
 | 12   | Excadrill          |  8.23831% | 5544   |  4.917% | 3804   |  4.671% | 
 | 13   | Chansey            |  8.14222% | 4337   |  3.847% | 3357   |  4.122% | 
 | 14   | Muk-Alola          |  8.04704% | 6933   |  6.149% | 5136   |  6.307% | 
 | 15   | Ditto              |  7.84000% | 4128   |  3.661% | 2736   |  3.360% | 
 | 16   | Altaria-Mega       |  7.81129% | 3115   |  2.763% | 1979   |  2.430% | 
 | 17   | Hydreigon          |  7.73612% | 7842   |  6.955% | 5343   |  6.561% | 
 | 18   | Scizor-Mega        |  7.68750% | 6825   |  6.053% | 4679   |  5.746% | 
 | 19   | Toxapex            |  7.39969% | 6977   |  6.188% | 5322   |  6.536% | 
 | 20   | Greninja           |  7.23956% | 8891   |  7.886% | 5780   |  7.098% | 
 | 21   | Ferrothorn         |  6.93655% | 6564   |  5.822% | 5298   |  6.506% | 
 | 22   | Tapu Koko          |  6.38248% | 6168   |  5.471% | 4847   |  5.952% | 
 | 23   | Landorus-Therian   |  6.24314% | 3353   |  2.974% | 2630   |  3.230% | 
 | 24   | Azumarill          |  6.00269% | 6126   |  5.433% | 4295   |  5.274% | 
 | 25   | Gallade-Mega       |  5.99098% | 4925   |  4.368% | 3299   |  4.051% | 
 | 26   | Porygon2           |  5.95769% | 3013   |  2.672% | 2260   |  2.775% | 
 | 27   | Victini            |  5.87185% | 4531   |  4.019% | 3362   |  4.129% | 
 | 28   | Tyranitar          |  5.74792% | 4648   |  4.122% | 3184   |  3.910% | 
 | 29   | Venusaur-Mega      |  5.65745% | 6448   |  5.719% | 4597   |  5.645% | 
 | 30   | Infernape          |  5.56819% | 6076   |  5.389% | 4298   |  5.278% | 
 | 31   | Diggersby          |  5.43330% | 3005   |  2.665% | 2134   |  2.621% | 
 | 32   | Thundurus-Therian  |  5.33663% | 2387   |  2.117% | 1681   |  2.064% | 
 | 33   | Porygon-Z          |  5.26761% | 3878   |  3.439% | 2672   |  3.281% | 
 | 34   | Sableye-Mega       |  5.25719% | 5657   |  5.017% | 4600   |  5.649% | 
 | 35   | Ninetales-Alola    |  5.15899% | 5086   |  4.511% | 4157   |  5.105% | 
 | 36   | Pelipper           |  5.12088% | 5156   |  4.573% | 4551   |  5.589% | 
 | 37   | Gliscor            |  4.89054% | 5149   |  4.567% | 3884   |  4.770% | 
 | 38   | Mandibuzz          |  4.88404% | 3611   |  3.203% | 2589   |  3.179% | 
 | 39   | Swampert-Mega      |  4.81376% | 5558   |  4.929% | 4250   |  5.219% | 
 | 40   | Weavile            |  4.61234% | 4501   |  3.992% | 3260   |  4.003% | 
 | 41   | Galvantula         |  4.57232% | 7374   |  6.540% | 5960   |  7.319% | 
 | 42   | Diancie-Mega       |  4.53836% | 3954   |  3.507% | 2965   |  3.641% | 
 | 43   | Keldeo             |  4.53224% | 3624   |  3.214% | 2381   |  2.924% | 
 | 44   | Mamoswine          |  4.46192% | 4066   |  3.606% | 2994   |  3.677% | 
 | 45   | Zapdos             |  4.44134% | 4784   |  4.243% | 3518   |  4.320% | 
 | 46   | Tapu Bulu          |  4.35352% | 3353   |  2.974% | 2194   |  2.694% | 
 | 47   | Togekiss           |  4.12244% | 4363   |  3.870% | 2959   |  3.634% | 
 | 48   | Gyarados           |  4.05454% | 2603   |  2.309% | 1860   |  2.284% | 
 | 49   | Scizor             |  4.05441% | 4052   |  3.594% | 2808   |  3.448% | 
 | 50   | Hawlucha           |  3.95459% | 3223   |  2.859% | 2194   |  2.694% | 
