 Total battles: 9454
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Eelektross         | 15.75524% | 2979   | 15.755% | 2439   | 16.424% | 
 | 2    | Hitmonchan         | 14.75037% | 2789   | 14.750% | 2251   | 15.158% | 
 | 3    | Zangoose           | 11.24392% | 2126   | 11.244% | 1527   | 10.283% | 
 | 4    | Dodrio             | 10.11212% | 1912   | 10.112% | 1334   |  8.983% | 
 | 5    | Mudsdale           | 10.06981% | 1904   | 10.070% | 1564   | 10.532% | 
 | 6    | Aggron             |  9.10197% | 1721   |  9.102% | 1417   |  9.542% | 
 | 7    | Primeape           |  8.89042% | 1681   |  8.890% | 1305   |  8.788% | 
 | 8    | Haunter            |  8.65771% | 1637   |  8.658% | 1267   |  8.532% | 
 | 9    | Jellicent          |  8.31923% | 1573   |  8.319% | 1270   |  8.552% | 
 | 10   | Sandslash-Alola    |  8.23990% | 1558   |  8.240% | 1247   |  8.397% | 
 | 11   | Regirock           |  7.90142% | 1494   |  7.901% | 1238   |  8.337% | 
 | 12   | Gastrodon          |  7.72689% | 1461   |  7.727% | 1148   |  7.731% | 
 | 13   | Aurorus            |  7.64756% | 1446   |  7.648% | 1141   |  7.683% | 
 | 14   | Lurantis           |  7.49947% | 1418   |  7.499% | 1135   |  7.643% | 
 | 15   | Gurdurr            |  7.35139% | 1390   |  7.351% | 1120   |  7.542% | 
 | 16   | Persian-Alola      |  7.18215% | 1358   |  7.182% | 1088   |  7.327% | 
 | 17   | Claydol            |  7.16099% | 1354   |  7.161% | 1132   |  7.623% | 
 | 18   | Sableye            |  7.13983% | 1350   |  7.140% | 1130   |  7.609% | 
 | 19   | Absol              |  7.11868% | 1346   |  7.119% | 1014   |  6.828% | 
 | 20   | Scyther            |  7.07108% | 1337   |  7.071% | 1039   |  6.997% | 
 | 21   | Victreebel         |  6.95473% | 1315   |  6.955% | 1050   |  7.071% | 
 | 22   | Articuno           |  6.84895% | 1295   |  6.849% | 948    |  6.384% | 
 | 23   | Drampa             |  6.78020% | 1282   |  6.780% | 936    |  6.303% | 
 | 24   | Qwilfish           |  6.58980% | 1246   |  6.590% | 1075   |  7.239% | 
 | 25   | Raichu-Alola       |  6.33594% | 1198   |  6.336% | 873    |  5.879% | 
 | 26   | Omastar            |  6.16670% | 1166   |  6.167% | 871    |  5.865% | 
 | 27   | Lycanroc           |  6.10853% | 1155   |  6.109% | 879    |  5.919% | 
 | 28   | Shuckle            |  6.01862% | 1138   |  6.019% | 1001   |  6.741% | 
 | 29   | Ferroseed          |  6.00804% | 1136   |  6.008% | 1026   |  6.909% | 
 | 30   | Skuntank           |  5.93400% | 1122   |  5.934% | 876    |  5.899% | 
 | 31   | Musharna           |  5.63783% | 1066   |  5.638% | 782    |  5.266% | 
 | 32   | Spiritomb          |  5.59552% | 1058   |  5.596% | 840    |  5.657% | 
 | 33   | Rotom-Frost        |  5.53205% | 1046   |  5.532% | 856    |  5.764% | 
 | 34   | Mr. Mime           |  5.42099% | 1025   |  5.421% | 809    |  5.448% | 
 | 35   | Kabutops           |  5.39983% | 1021   |  5.400% | 726    |  4.889% | 
 | 36   | Carracosta         |  5.34694% | 1011   |  5.347% | 786    |  5.293% | 
 | 37   | Smeargle           |  5.26232% | 995    |  5.262% | 875    |  5.892% | 
 | 38   | Golurk             |  5.25703% | 994    |  5.257% | 786    |  5.293% | 
 | 39   | Lanturn            |  5.07193% | 959    |  5.072% | 748    |  5.037% | 
 | 40   | Tangela            |  4.99788% | 945    |  4.998% | 745    |  5.017% | 
 | 41   | Audino             |  4.82864% | 913    |  4.829% | 705    |  4.747% | 
 | 42   | Silvally-Fairy     |  4.67527% | 884    |  4.675% | 677    |  4.559% | 
 | 43   | Cryogonal          |  4.60652% | 871    |  4.607% | 665    |  4.478% | 
 | 44   | Ludicolo           |  4.24159% | 802    |  4.242% | 643    |  4.330% | 
 | 45   | Abomasnow          |  4.17284% | 789    |  4.173% | 615    |  4.141% | 
 | 46   | Liepard            |  4.06177% | 768    |  4.062% | 625    |  4.209% | 
 | 47   | Clefairy           |  3.82907% | 724    |  3.829% | 568    |  3.825% | 
 | 48   | Flareon            |  3.81849% | 722    |  3.818% | 565    |  3.805% | 
 | 49   | Torterra           |  3.81320% | 721    |  3.813% | 604    |  4.067% | 
 | 50   | Manectric          |  3.79733% | 718    |  3.797% | 558    |  3.758% | 
 | 51   | Ditto              |  3.70214% | 700    |  3.702% | 509    |  3.428% | 
 | 52   | Kecleon            |  3.55934% | 673    |  3.559% | 513    |  3.455% | 
 | 53   | Drifblim           |  3.54876% | 671    |  3.549% | 463    |  3.118% | 
 | 54   | Poliwrath          |  3.51174% | 664    |  3.512% | 503    |  3.387% | 
 | 55   | Kadabra            |  3.17326% | 600    |  3.173% | 455    |  3.064% | 
 | 56   | Electivire         |  3.06748% | 580    |  3.067% | 447    |  3.010% | 
 | 57   | Kangaskhan         |  3.05162% | 577    |  3.052% | 467    |  3.145% | 
 | 58   | Rampardos          |  3.03575% | 574    |  3.036% | 451    |  3.037% | 
 | 59   | Rapidash           |  2.91411% | 551    |  2.914% | 413    |  2.781% | 
 | 60   | Altaria            |  2.88238% | 545    |  2.882% | 427    |  2.875% | 
 | 61   | Dugtrio-Alola      |  2.87180% | 543    |  2.872% | 425    |  2.862% | 
