 Total battles: 10570
 Avg. weight/team: 0.074
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Metagross          | 28.50847% | 4101   | 19.399% | 3264   | 19.580% | 
 | 2    | Blastoise-Mega     | 25.67745% | 3728   | 17.635% | 2935   | 17.607% | 
 | 3    | Milotic            | 19.79944% | 3394   | 16.055% | 2730   | 16.377% | 
 | 4    | Donphan            | 19.11044% | 2234   | 10.568% | 1926   | 11.554% | 
 | 5    | Umbreon            | 16.71710% | 2028   |  9.593% | 1554   |  9.322% | 
 | 6    | Nidoqueen          | 14.22292% | 1711   |  8.094% | 1479   |  8.872% | 
 | 7    | Florges            | 14.09749% | 2223   | 10.516% | 1697   | 10.180% | 
 | 8    | Porygon2           | 12.59327% | 1299   |  6.145% | 1017   |  6.101% | 
 | 9    | Machamp            | 12.21375% | 1918   |  9.073% | 1544   |  9.262% | 
 | 10   | Snorlax            | 11.94025% | 2539   | 12.010% | 1939   | 11.632% | 
 | 11   | Roserade           | 11.82824% | 1825   |  8.633% | 1460   |  8.758% | 
 | 12   | Golisopod          | 11.42797% | 1831   |  8.661% | 1481   |  8.884% | 
 | 13   | Mandibuzz          | 11.31332% | 1840   |  8.704% | 1496   |  8.974% | 
 | 14   | Arcanine           | 11.20436% | 3192   | 15.099% | 2509   | 15.051% | 
 | 15   | Registeel          | 11.06107% | 1799   |  8.510% | 1552   |  9.310% | 
 | 16   | Raikou             | 10.72347% | 1402   |  6.632% | 1074   |  6.443% | 
 | 17   | Cloyster           | 10.64185% | 2524   | 11.939% | 1907   | 11.440% | 
 | 18   | Araquanid          | 10.57262% | 1802   |  8.524% | 1527   |  9.160% | 
 | 19   | Forretress         | 10.36345% | 2168   | 10.255% | 1966   | 11.794% | 
 | 20   | Honchkrow          | 10.17235% | 1726   |  8.165% | 1299   |  7.793% | 
 | 21   | Goodra             |  9.83868% | 1580   |  7.474% | 1193   |  7.157% | 
 | 22   | Sceptile-Mega      |  9.33511% | 2441   | 11.547% | 1734   | 10.402% | 
 | 23   | Shaymin            |  8.37014% | 786    |  3.718% | 565    |  3.389% | 
 | 24   | Gardevoir          |  8.10945% | 2355   | 11.140% | 1788   | 10.726% | 
 | 25   | Virizion           |  7.21319% | 1267   |  5.993% | 934    |  5.603% | 
 | 26   | Cresselia          |  7.19998% | 1099   |  5.199% | 820    |  4.919% | 
 | 27   | Slurpuff           |  7.15836% | 601    |  2.843% | 460    |  2.760% | 
 | 28   | Bronzong           |  6.95464% | 1829   |  8.652% | 1632   |  9.790% | 
 | 29   | Zygarde-10%        |  6.74571% | 909    |  4.300% | 660    |  3.959% | 
 | 30   | Venusaur           |  6.73048% | 1269   |  6.003% | 1025   |  6.149% | 
 | 31   | Vaporeon           |  6.09955% | 469    |  2.219% | 377    |  2.262% | 
 | 32   | Yanmega            |  6.01111% | 1488   |  7.039% | 1135   |  6.809% | 
 | 33   | Rhyperior          |  5.89666% | 832    |  3.936% | 690    |  4.139% | 
 | 34   | Golbat             |  5.88834% | 240    |  1.135% | 205    |  1.230% | 
 | 35   | Salazzle           |  5.87605% | 2202   | 10.416% | 1635   |  9.808% | 
 | 36   | Toxicroak          |  5.85631% | 1256   |  5.941% | 921    |  5.525% | 
 | 37   | Noivern            |  5.72432% | 1424   |  6.736% | 1140   |  6.839% | 
