 Total battles: 214
 Avg. weight/team: 0.006
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Swoobat            | 83.61895% | 23     |  5.374% | 16     |  5.047% | 
 | 2    | Ribombee           | 66.52073% | 27     |  6.308% | 25     |  7.886% | 
 | 3    | Swellow            | 66.52041% | 7      |  1.636% | 5      |  1.577% | 
 | 4    | Marowak-Alola      | 66.52041% | 7      |  1.636% | 5      |  1.577% | 
 | 5    | Ursaring           | 49.57505% | 30     |  7.009% | 25     |  7.886% | 
 | 6    | Pikachu            | 49.57496% | 11     |  2.570% | 8      |  2.524% | 
 | 7    | Krookodile         | 20.91170% | 9      |  2.103% | 8      |  2.524% | 
 | 8    | Tapu Koko          | 17.32836% | 3      |  0.701% | 3      |  0.946% | 
 | 9    | Blastoise-Mega     | 17.09836% | 13     |  3.037% | 9      |  2.839% | 
 | 10   | Raichu-Alola       | 17.09825% | 7      |  1.636% | 3      |  0.946% | 
 | 11   | Druddigon          | 17.09825% | 2      |  0.467% | 0      |  0.000% | 
 | 12   | Lurantis           | 16.94577% | 13     |  3.037% | 12     |  3.785% | 
 | 13   | Eevee              | 16.94544% | 3      |  0.701% | 1      |  0.315% | 
 | 14   | Delphox            |  6.78592% | 10     |  2.336% | 8      |  2.524% | 
 | 15   | Ditto              |  6.08036% | 17     |  3.972% | 10     |  3.155% | 
 | 16   | Scrafty            |  5.12806% | 5      |  1.168% | 3      |  0.946% | 
 | 17   | Heliolisk          |  5.12806% | 12     |  2.804% | 9      |  2.839% | 
 | 18   | Miltank            |  5.12806% | 2      |  0.467% | 2      |  0.631% | 
 | 19   | Golbat             |  5.12806% | 2      |  0.467% | 2      |  0.631% | 
 | 20   | Decidueye          |  4.19251% | 15     |  3.505% | 14     |  4.416% | 
 | 21   | Haxorus            |  3.69934% | 4      |  0.935% | 3      |  0.946% | 
 | 22   | Metagross          |  3.65914% | 10     |  2.336% | 8      |  2.524% | 
 | 23   | Silvally-Fairy     |  3.65914% | 2      |  0.467% | 2      |  0.631% | 
 | 24   | Alomomola          |  3.65914% | 1      |  0.234% | 1      |  0.315% | 
 | 25   | Klefki             |  1.77674% | 33     |  7.710% | 27     |  8.517% | 
 | 26   | Toxapex            |  1.75935% | 17     |  3.972% | 14     |  4.416% | 
 | 27   | Cloyster           |  1.72062% | 25     |  5.841% | 19     |  5.994% | 
 | 28   | Dugtrio-Alola      |  1.65787% | 8      |  1.869% | 7      |  2.208% | 
 | 29   | Slaking            |  1.65787% | 23     |  5.374% | 15     |  4.732% | 
 | 30   | Jirachi            |  1.65787% | 8      |  1.869% | 7      |  2.208% | 
 | 31   | Ferrothorn         |  1.57340% | 43     | 10.047% | 38     | 11.987% | 
 | 32   | Tyranitar-Mega     |  1.51075% | 13     |  3.037% | 11     |  3.470% | 
 | 33   | Hawlucha           |  1.51017% | 10     |  2.336% | 7      |  2.208% | 
 | 34   | Tapu Lele          |  1.51017% | 9      |  2.103% | 6      |  1.893% | 
 | 35   | Rotom-Heat         |  1.51017% | 13     |  3.037% | 9      |  2.839% | 
 | 36   | Jolteon            |  1.46305% | 10     |  2.336% | 8      |  2.524% | 
 | 37   | Regice             |  1.12819% | 34     |  7.944% | 18     |  5.678% | 
 | 38   | Mimikyu            |  0.95256% | 33     |  7.710% | 18     |  5.678% | 
 | 39   | Sceptile           |  0.95243% | 36     |  8.411% | 25     |  7.886% | 
 | 40   | Ambipom            |  0.85515% | 19     |  4.439% | 13     |  4.101% | 
 | 41   | Victini            |  0.82432% | 4      |  0.935% | 3      |  0.946% | 
 | 42   | Regirock           |  0.82432% | 3      |  0.701% | 2      |  0.631% | 
 | 43   | Bellossom          |  0.82432% | 4      |  0.935% | 3      |  0.946% | 
 | 44   | Flareon            |  0.82432% | 2      |  0.467% | 0      |  0.000% | 
 | 45   | Chatot             |  0.82432% | 1      |  0.234% | 1      |  0.315% | 
 | 46   | Beedrill-Mega      |  0.60939% | 18     |  4.206% | 15     |  4.732% | 
 | 47   | Gourgeist-Super    |  0.60452% | 7      |  1.636% | 7      |  2.208% | 
 | 48   | Combusken          |  0.53338% | 13     |  3.037% | 10     |  3.155% | 
 | 49   | Frogadier          |  0.53338% | 12     |  2.804% | 9      |  2.839% | 
 | 50   | Slurpuff           |  0.53338% | 11     |  2.570% | 10     |  3.155% | 
 | 51   | Umbreon            |  0.49759% | 8      |  1.869% | 8      |  2.524% | 
 | 52   | Tyranitar          |  0.48343% | 18     |  4.206% | 9      |  2.839% | 
 | 53   | Aggron             |  0.48336% | 7      |  1.636% | 6      |  1.893% | 
 | 54   | Fraxure            |  0.48336% | 4      |  0.935% | 2      |  0.631% | 
 | 55   | Trevenant          |  0.48336% | 7      |  1.636% | 7      |  2.208% | 
 | 56   | Tsareena           |  0.48336% | 14     |  3.271% | 12     |  3.785% | 
