 Total battles: 9969
 Avg. weight/team: 0.537
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 58.08946% | 10294  | 51.630% | 5265   | 58.249% | 
 | 2    | Tapu Koko          | 40.47765% | 7100   | 35.610% | 2752   | 30.446% | 
 | 3    | Groudon-Primal     | 34.98434% | 6347   | 31.834% | 4457   | 49.309% | 
 | 4    | Kyogre-Primal      | 34.00972% | 6252   | 31.357% | 4104   | 45.404% | 
 | 5    | Rayquaza-Mega      | 29.43131% | 5208   | 26.121% | 3126   | 34.584% | 
 | 6    | Xerneas            | 27.06078% | 4890   | 24.526% | 2927   | 32.382% | 
 | 7    | Tapu Fini          | 18.64183% | 3395   | 17.028% | 1444   | 15.976% | 
 | 8    | Salamence-Mega     | 18.21263% | 3377   | 16.938% | 1315   | 14.548% | 
 | 9    | Celesteela         | 15.38922% | 2511   | 12.594% | 878    |  9.714% | 
 | 10   | Lunala             | 13.59581% | 2328   | 11.676% | 1391   | 15.389% | 
 | 11   | Tapu Lele          | 12.72033% | 2404   | 12.057% | 1040   | 11.506% | 
 | 12   | Nihilego           | 12.71353% | 1840   |  9.229% | 475    |  5.255% | 
 | 13   | Gengar-Mega        | 11.40988% | 2203   | 11.049% | 693    |  7.667% | 
 | 14   | Amoonguss          | 10.74901% | 2007   | 10.066% | 576    |  6.373% | 
 | 15   | Landorus-Therian   | 10.40760% | 2096   | 10.513% | 847    |  9.371% | 
 | 16   | Stakataka          |  9.04093% | 1661   |  8.331% | 582    |  6.439% | 
 | 17   | Yveltal            |  8.84677% | 1597   |  8.010% | 793    |  8.773% | 
 | 18   | Smeargle           |  8.31444% | 1648   |  8.266% | 492    |  5.443% | 
 | 19   | Necrozma-Dawn-Wings |  8.30691% | 1502   |  7.533% | 785    |  8.685% | 
 | 20   | Kangaskhan-Mega    |  8.15983% | 1333   |  6.686% | 541    |  5.985% | 
 | 21   | Kartana            |  8.06551% | 1636   |  8.205% | 583    |  6.450% | 
 | 22   | Metagross-Mega     |  6.75298% | 1304   |  6.540% | 467    |  5.167% | 
 | 23   | Ferrothorn         |  5.90086% | 1261   |  6.325% | 487    |  5.388% | 
 | 24   | Tornadus           |  5.39956% | 903    |  4.529% | 296    |  3.275% | 
 | 25   | Whimsicott         |  5.07219% | 915    |  4.589% | 381    |  4.215% | 
 | 26   | Crobat             |  4.59563% | 853    |  4.278% | 256    |  2.832% | 
 | 27   | Shedinja           |  3.66952% | 732    |  3.671% | 279    |  3.087% | 
 | 28   | Togedemaru         |  3.48229% | 582    |  2.919% | 201    |  2.224% | 
 | 29   | Snorlax            |  3.37830% | 856    |  4.293% | 403    |  4.459% | 
 | 30   | Gastrodon          |  3.29368% | 656    |  3.290% | 263    |  2.910% | 
 | 31   | Lucario-Mega       |  3.26896% | 611    |  3.064% | 216    |  2.390% | 
 | 32   | Aegislash          |  2.59751% | 589    |  2.954% | 209    |  2.312% | 
 | 33   | Venusaur           |  2.52642% | 439    |  2.202% | 109    |  1.206% | 
 | 34   | Bronzong           |  2.50627% | 510    |  2.558% | 180    |  1.991% | 
 | 35   | Ditto              |  2.49561% | 500    |  2.508% | 214    |  2.368% | 
 | 36   | Necrozma-Dusk-Mane |  2.47503% | 616    |  3.090% | 345    |  3.817% | 
 | 37   | Clefairy           |  2.14807% | 522    |  2.618% | 100    |  1.106% | 
 | 38   | Murkrow            |  2.02928% | 355    |  1.781% | 99     |  1.095% | 
 | 39   | Hitmontop          |  2.02537% | 468    |  2.347% | 197    |  2.179% | 
 | 40   | Garchomp           |  2.01166% | 566    |  2.839% | 195    |  2.157% | 
