 Total battles: 609
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Electivire         | 20.60755% | 251    | 20.608% | 198    | 20.256% | 
 | 2    | Komala             | 14.77833% | 180    | 14.778% | 147    | 15.038% | 
 | 3    | Golem              | 12.64368% | 154    | 12.644% | 136    | 13.913% | 
 | 4    | Altaria            | 11.57635% | 141    | 11.576% | 112    | 11.458% | 
 | 5    | Swanna             | 10.50903% | 128    | 10.509% | 103    | 10.537% | 
 | 6    | Glaceon            |  9.52381% | 116    |  9.524% | 91     |  9.309% | 
 | 7    | Torterra           |  8.70279% | 106    |  8.703% | 91     |  9.309% | 
 | 8    | Ditto              |  7.88177% | 96     |  7.882% | 70     |  7.161% | 
 | 9    | Sandslash          |  7.79967% | 95     |  7.800% | 88     |  9.003% | 
 | 10   | Rampardos          |  7.71757% | 94     |  7.718% | 76     |  7.775% | 
 | 11   | Pinsir             |  7.71757% | 94     |  7.718% | 64     |  6.547% | 
 | 12   | Crustle            |  7.71757% | 94     |  7.718% | 84     |  8.593% | 
 | 13   | Floatzel           |  7.63547% | 93     |  7.635% | 76     |  7.775% | 
 | 14   | Chatot             |  7.38916% | 90     |  7.389% | 73     |  7.468% | 
 | 15   | Silvally-Dragon    |  7.38916% | 90     |  7.389% | 71     |  7.263% | 
 | 16   | Poliwrath          |  6.81445% | 83     |  6.814% | 62     |  6.343% | 
 | 17   | Exeggutor          |  6.56814% | 80     |  6.568% | 60     |  6.138% | 
 | 18   | Rotom-Fan          |  6.32184% | 77     |  6.322% | 70     |  7.161% | 
 | 19   | Arbok              |  6.23974% | 76     |  6.240% | 58     |  5.934% | 
 | 20   | Dusknoir           |  6.23974% | 76     |  6.240% | 62     |  6.343% | 
 | 21   | Raichu             |  6.15764% | 75     |  6.158% | 58     |  5.934% | 
 | 22   | Silvally-Water     |  6.15764% | 75     |  6.158% | 64     |  6.547% | 
 | 23   | Shuckle            |  5.99343% | 73     |  5.993% | 66     |  6.752% | 
 | 24   | Lickilicky         |  5.82923% | 71     |  5.829% | 54     |  5.524% | 
 | 25   | Toucannon          |  5.66502% | 69     |  5.665% | 64     |  6.547% | 
 | 26   | Rapidash           |  5.58292% | 68     |  5.583% | 58     |  5.934% | 
 | 27   | Mawile             |  5.50082% | 67     |  5.501% | 50     |  5.115% | 
 | 28   | Avalugg            |  5.50082% | 67     |  5.501% | 54     |  5.524% | 
 | 29   | Gourgeist-Super    |  5.41872% | 66     |  5.419% | 47     |  4.808% | 
 | 30   | Camerupt           |  5.25452% | 64     |  5.255% | 55     |  5.627% | 
 | 31   | Probopass          |  5.09031% | 62     |  5.090% | 55     |  5.627% | 
 | 32   | Lapras             |  5.00821% | 61     |  5.008% | 51     |  5.217% | 
 | 33   | Ampharos           |  5.00821% | 61     |  5.008% | 51     |  5.217% | 
 | 34   | Granbull           |  5.00821% | 61     |  5.008% | 45     |  4.604% | 
 | 35   | Bastiodon          |  5.00821% | 61     |  5.008% | 50     |  5.115% | 
 | 36   | Butterfree         |  4.92611% | 60     |  4.926% | 40     |  4.092% | 
 | 37   | Muk                |  4.92611% | 60     |  4.926% | 54     |  5.524% | 
 | 38   | Torkoal            |  4.92611% | 60     |  4.926% | 47     |  4.808% | 
 | 39   | Kecleon            |  4.92611% | 60     |  4.926% | 53     |  5.422% | 
 | 40   | Armaldo            |  4.84401% | 59     |  4.844% | 48     |  4.910% | 
 | 41   | Zebstrika          |  4.84401% | 59     |  4.844% | 47     |  4.808% | 
 | 42   | Drifblim           |  4.67980% | 57     |  4.680% | 45     |  4.604% | 
 | 43   | Slaking            |  4.67980% | 57     |  4.680% | 44     |  4.501% | 
 | 44   | Lycanroc-Midnight  |  4.35140% | 53     |  4.351% | 49     |  5.013% | 
 | 45   | Cradily            |  4.26929% | 52     |  4.269% | 44     |  4.501% | 
 | 46   | Kadabra            |  4.18719% | 51     |  4.187% | 33     |  3.376% | 
 | 47   | Ninjask            |  4.18719% | 51     |  4.187% | 41     |  4.194% | 
 | 48   | Pyukumuku          |  4.10509% | 50     |  4.105% | 37     |  3.785% | 
 | 49   | Basculin           |  4.10509% | 50     |  4.105% | 37     |  3.785% | 
 | 50   | Bronzor            |  4.10509% | 50     |  4.105% | 46     |  4.706% | 
 | 51   | Mareanie           |  4.02299% | 49     |  4.023% | 45     |  4.604% | 
 | 52   | Fearow             |  4.02299% | 49     |  4.023% | 41     |  4.194% | 
 | 53   | Beheeyem           |  4.02299% | 49     |  4.023% | 37     |  3.785% | 
 | 54   | Regigigas          |  3.94089% | 48     |  3.941% | 38     |  3.887% | 
 | 55   | Unfezant           |  3.94089% | 48     |  3.941% | 40     |  4.092% | 
 | 56   | Ariados            |  3.94089% | 48     |  3.941% | 39     |  3.990% | 
 | 57   | Carbink            |  3.85878% | 47     |  3.859% | 45     |  4.604% | 
 | 58   | Togetic            |  3.77668% | 46     |  3.777% | 38     |  3.887% | 
 | 59   | Combusken          |  3.77668% | 46     |  3.777% | 36     |  3.683% | 
 | 60   | Bibarel            |  3.77668% | 46     |  3.777% | 31     |  3.171% | 
 | 61   | Farfetch'd         |  3.69458% | 45     |  3.695% | 40     |  4.092% | 
 | 62   | Sawsbuck           |  3.69458% | 45     |  3.695% | 36     |  3.683% | 
 | 63   | Bouffalant         |  3.61248% | 44     |  3.612% | 36     |  3.683% | 
 | 64   | Pidgeot            |  3.61248% | 44     |  3.612% | 39     |  3.990% | 
 | 65   | Volbeat            |  3.61248% | 44     |  3.612% | 42     |  4.297% | 
 | 66   | Golduck            |  3.53038% | 43     |  3.530% | 36     |  3.683% | 
 | 67   | Meowstic           |  3.44828% | 42     |  3.448% | 34     |  3.478% | 
 | 68   | Ivysaur            |  3.36617% | 41     |  3.366% | 38     |  3.887% | 
 | 69   | Mr. Mime           |  3.36617% | 41     |  3.366% | 36     |  3.683% | 
 | 70   | Leavanny           |  3.36617% | 41     |  3.366% | 38     |  3.887% | 
 | 71   | Noctowl            |  3.36617% | 41     |  3.366% | 33     |  3.376% | 
 | 72   | Leafeon            |  3.28407% | 40     |  3.284% | 28     |  2.864% | 
 | 73   | Regice             |  3.20197% | 39     |  3.202% | 31     |  3.171% | 
 | 74   | Electrode          |  3.11987% | 38     |  3.120% | 31     |  3.171% | 
 | 75   | Silvally-Fighting  |  3.11987% | 38     |  3.120% | 30     |  3.069% | 
 | 76   | Meganium           |  3.11987% | 38     |  3.120% | 28     |  2.864% | 
 | 77   | Swoobat            |  3.03777% | 37     |  3.038% | 25     |  2.558% | 
