 Total battles: 8021
 Avg. weight/team: 0.583
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 39.67763% | 5963   | 37.171% | 4536   | 38.408% | 
 | 2    | Corviknight        | 28.83376% | 4421   | 27.559% | 3479   | 29.458% | 
 | 3    | Cinderace          | 23.72702% | 3882   | 24.199% | 2910   | 24.640% | 
 | 4    | Corsola-Galar      | 21.57649% | 3445   | 21.475% | 2609   | 22.091% | 
 | 5    | Toxapex            | 19.64075% | 2681   | 16.712% | 2109   | 17.857% | 
 | 6    | Ferrothorn         | 18.78397% | 3013   | 18.782% | 2506   | 21.219% | 
 | 7    | Mandibuzz          | 16.67478% | 2209   | 13.770% | 1715   | 14.521% | 
 | 8    | Dracozolt          | 14.23874% | 2293   | 14.294% | 1626   | 13.768% | 
 | 9    | Kommo-o            | 13.71432% | 2148   | 13.390% | 1469   | 12.438% | 
 | 10   | Noivern            | 13.36246% | 2048   | 12.766% | 1493   | 12.642% | 
 | 11   | Hydreigon          | 12.65995% | 1825   | 11.376% | 1298   | 10.991% | 
 | 12   | Snorlax            | 11.90732% | 1751   | 10.915% | 1332   | 11.278% | 
 | 13   | Gengar             | 11.88155% | 1709   | 10.653% | 1165   |  9.864% | 
 | 14   | Excadrill          | 11.43255% | 1660   | 10.348% | 1240   | 10.499% | 
 | 15   | Dracovish          | 11.27259% | 1951   | 12.162% | 1420   | 12.024% | 
 | 16   | Hatterene          | 11.02344% | 1802   | 11.233% | 1266   | 10.720% | 
 | 17   | Golisopod          | 10.86233% | 1585   |  9.880% | 1159   |  9.814% | 
 | 18   | Hippowdon          | 10.30126% | 1303   |  8.122% | 1055   |  8.933% | 
 | 19   | Mew                |  9.76337% | 1498   |  9.338% | 1145   |  9.695% | 
 | 20   | Barraskewda        |  9.43877% | 1769   | 11.027% | 1150   |  9.737% | 
 | 21   | Toxtricity         |  9.04752% | 1568   |  9.774% | 1150   |  9.737% | 
 | 22   | Goodra             |  8.86161% | 1214   |  7.568% | 834    |  7.062% | 
