 Total battles: 39727
 Avg. weight/team: 0.117
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Eternatus          | 46.37889% | 27567  | 34.696% | 16359  | 35.543% | 
 | 2    | Melmetal           | 35.12177% | 10949  | 13.780% | 7446   | 16.178% | 
 | 3    | Zacian-Crowned     | 29.95022% | 27982  | 35.218% | 15831  | 34.396% | 
 | 4    | Dragapult          | 26.14968% | 23460  | 29.527% | 14231  | 30.919% | 
 | 5    | Zekrom             | 24.68539% | 9074   | 11.420% | 5533   | 12.021% | 
 | 6    | Wobbuffet          | 24.43800% | 14279  | 17.971% | 8814   | 19.150% | 
 | 7    | Reshiram           | 23.37006% | 5877   |  7.397% | 3896   |  8.465% | 
 | 8    | Aegislash          | 20.82470% | 10515  | 13.234% | 7312   | 15.887% | 
 | 9    | Shedinja           | 19.35616% | 23700  | 29.829% | 13134  | 28.536% | 
 | 10   | Kyurem-White       | 16.17265% | 6094   |  7.670% | 3686   |  8.009% | 
 | 11   | Zamazenta-Crowned  | 14.31574% | 14243  | 17.926% | 8259   | 17.944% | 
 | 12   | Snorlax            | 13.89357% | 7596   |  9.560% | 4788   | 10.403% | 
 | 13   | Toxapex            | 13.63127% | 8071   | 10.158% | 5964   | 12.958% | 
 | 14   | Kyurem-Black       | 13.33349% | 5861   |  7.377% | 3470   |  7.539% | 
 | 15   | Zacian             | 13.01755% | 9979   | 12.559% | 6017   | 13.073% | 
 | 16   | Zamazenta          | 12.59989% | 8457   | 10.644% | 5435   | 11.809% | 
 | 17   | Barraskewda        | 11.36564% | 13480  | 16.966% | 7828   | 17.008% | 
 | 18   | Darmanitan-Galar-Zen | 11.24212% | 2981   |  3.752% | 2006   |  4.358% | 
 | 19   | Mewtwo             | 11.14189% | 5649   |  7.110% | 3396   |  7.378% | 
 | 20   | Necrozma-Dusk-Mane | 10.02311% | 4285   |  5.393% | 2632   |  5.719% | 
 | 21   | Necrozma-Dawn-Wings |  9.85945% | 2099   |  2.642% | 1130   |  2.455% | 
 | 22   | Munchlax           |  9.48588% | 4813   |  6.058% | 3225   |  7.007% | 
 | 23   | Solgaleo           |  8.85095% | 2538   |  3.194% | 1752   |  3.807% | 
 | 24   | Golisopod          |  8.77466% | 4105   |  5.167% | 2728   |  5.927% | 
 | 25   | Shuckle            |  8.68490% | 14464  | 18.204% | 8641   | 18.774% | 
 | 26   | Ferrothorn         |  8.59571% | 5582   |  7.025% | 4032   |  8.760% | 
 | 27   | Corsola-Galar      |  8.18082% | 8567   | 10.782% | 5923   | 12.869% | 
 | 28   | Tyranitar          |  8.08031% | 5115   |  6.438% | 3281   |  7.129% | 
 | 29   | Lunala             |  7.00734% | 1475   |  1.856% | 912    |  1.981% | 
 | 30   | Type: Null         |  6.81521% | 2637   |  3.319% | 1859   |  4.039% | 
